#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
52.48;0;52.48;52.48;-9286.85
57.21;1;57.21;57.21;-9422.22
59.12;0;59.12;59.12;-8840.72
60.62;2;60.62;60.62;-9693.89
61.32;1;61.32;8.71;-9995.04
63.13;0;63.13;63.13;-9280.68
64.88;2;64.88;64.88;-9765.64
65.5;1;12.9;8.25;-9378.48
67.25;0;67.25;67.25;-9151.35
69.23;2;69.23;16.62;-10121.97
69.88;1;69.88;8.21;-10206.1
73.23;2;14.06;12.56;-9604.01
74.25;1;74.25;8.54;-10505.11
77.38;2;77.38;12.29;-10383.29
78.95;1;78.95;8.81;-10621.98
78.99;0;78.99;21.74;-10349.66
81.47;2;81.47;12.15;-10516.11
83.11;1;83.11;8.55;-11168.5
83.38;0;83.38;24.22;-10470.05
85.52;2;85.52;12.15;-10938.21
87.2;0;87.2;23.92;-10961.21
89.28;1;89.28;89.28;-9314.8
89.28;2;89.28;11.85;-11984
97.69;1;97.69;97.69;-9320.83
100.36;2;100.36;100.36;-9725.84
105.61;1;105.61;22.22;-9557.61
107.37;0;107.37;107.37;-8911.84
109.84;1;109.84;24.19;-10395.35
113.92;1;26.45;24.23;-10567.97
116.48;2;116.48;18.7;-10342.09
117.92;1;117.92;20.14;-10762.22
120.51;2;120.51;20.06;-10528.65
121.92;1;121.92;16.1;-11086.96
123.8;0;63.13;40.37;-10624.09
124.42;2;54.29;7.9;-11061.07
126.02;1;126.02;16.14;-11180.05
130.13;1;130.13;16.13;-11403.89
134.18;1;134.18;16.13;-11429.74
135.94;0;135.94;30.12;-10354.07
138.1;1;58.71;16.01;-11489.01
140.1;0;140.1;32.68;-11164.48
142.11;1;17.45;15.98;-11239.38
144.24;0;22.15;20.37;-10309.32
146.28;1;60.63;16.1;-11654.72
147.95;0;147.95;11.82;-11888.61
152.33;0;152.33;12.06;-12470.22
161.88;1;161.88;161.88;-9250.4
164.02;2;164.02;164.02;-9613.81
169.71;1;169.71;31.44;-9953.51
172.09;0;19.69;19.65;-11769.75
172.09;2;172.09;172.09;-9639.18
176.51;2;176.51;51.85;-10215.02
178.01;1;178.01;35.7;-10050.92
179.33;0;179.33;179.33;-8914.53
180.93;2;180.93;19.01;-10887.08
183.72;0;183.72;96.24;-11086.14
185.4;2;185.4;21;-11435.54
186.3;1;186.3;24.37;-9657.22
187.78;0;25.85;10.91;-10358.99
190.51;1;190.51;28.58;-9800.85
191.6;0;191.6;11.89;-10502.99
194.85;1;194.85;24.85;-9830.08
195.85;0;195.85;12.09;-12602.64
197.06;2;197.06;197.06;-9621.89
198.88;1;113.24;20.83;-10273.39
203.02;1;17.31;16.55;-10348.41
211.4;1;211.4;20.85;-10838.26
215.31;1;98.79;20.34;-10919.21
219.57;1;219.57;20.56;-10975.96
223.97;1;223.97;20.91;-11449.84
228.06;1;228.06;16.57;-11834.25
232.21;1;232.21;16.67;-11989.42
236.38;1;66.37;16.76;-12177.02
240.29;1;240.29;16.28;-12175.91
244.03;0;244.03;164.64;-10060.39
248.27;0;248.27;248.27;-9141.58
248.27;1;248.27;248.27;-9414.71
260;1;60.98;23.47;-9773.65
268.36;0;128.09;76.48;-10285.23
268.4;1;268.4;24.11;-10113.73
272.11;0;272.11;31.54;-10233.38
