#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.68;0;2
6.81;0;2
9.48;0;1
10.56;0;1
12.32;0;1
14.78;0;1
15.8;0;2
18.47;0;1
22.89;0;1
25.31;0;1
26.31;0;2
29.18;0;1
30.22;0;1
31.94;0;1
33.36;0;1
34.45;0;1
35.48;0;1
36.86;0;1
38.41;0;1
46.15;0;1
49.4;0;1
50.87;0;1
51.87;0;1
55.16;0;1
56.3;0;1
60;0;1
61.09;0;1
64.83;0;1
71.34;0;1
81.6;0;1
84.89;0;1
86.11;0;1
88.19;0;2
90.44;0;1
93.11;0;1
94.36;0;1
95.73;0;1
97.02;0;1
98.4;0;1
99.69;0;1
103.36;0;1
105.56;0;1
108.65;0;1
109.84;0;1
111.16;0;1
112.46;0;1
116.48;0;1
117.72;0;2
119.1;0;1
122.66;0;1
123.75;0;1
127.22;0;1
130.64;0;1
132.64;0;1
133.78;0;1
134.8;0;1
135.89;0;1
137.27;0;1
141.44;0;1
145.05;0;1
146.23;0;1
147.28;0;1
153.28;0;1
154.37;0;1
163.41;0;1
164.45;0;1
165.5;0;1
171.07;0;1
174.7;0;1
178.01;0;1
179.29;0;1
181.91;0;1
183.21;0;1
188.04;0;1
191.92;0;1
194.81;0;1
195.81;0;1
198.21;0;1
199.48;0;1
202.98;0;1
205.64;0;1
207.49;0;1
208.49;0;1
209.89;0;1
210.94;0;1
212.11;0;2
213.39;0;1
215.58;0;1
217.77;0;1
218.85;0;1
220;0;2
223.35;0;1
233.56;0;1
234.57;0;1
235.71;0;1
236.79;0;1
237.88;0;1
239.02;0;1
240.05;0;1
242.52;0;1
248.72;0;1
250.22;0;1
251.35;0;1
252.84;0;1
255.01;0;1
257.56;0;1
258.85;0;1
260.38;0;1
263.65;0;1
267.01;0;1
269.18;0;1
272.63;0;1
273.72;0;1
276.13;0;1
277.22;0;1
279.26;0;1
280.31;0;1
286.48;0;1
288.1;0;1
289.76;0;1
290.77;0;1
292.59;0;1
300.39;0;1
301.75;0;1
312.36;0;1
313.45;0;1
314.98;0;1
316.29;0;1
318.28;0;1
319.37;0;1
320.46;0;1
321.78;0;1
322.92;0;1
324.2;0;1
328.42;0;1
330.37;0;1
331.92;0;1
335.92;0;1
341.12;0;1
342.54;0;1
345.67;0;1
347.04;0;1
348.7;0;1
352.04;0;1
356.71;0;1
358.54;0;1
360.25;0;1
362.18;0;1
363.62;0;1
