#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;79.24;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.92;80.55;0.17;PP/0,TA/0.13,IS/0,PS/0.07,RB/0,OB/0.01,RP/0
119.91;80.55;0.2;PP/0.01,TA/0.14,IS/0,PS/0.07,RB/0,OB/0.01,RP/0
179.74;80.55;0.27;PP/0.01,TA/0.18,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
239.97;80.55;0.31;PP/0.01,TA/0.19,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
299.98;80.55;0.33;PP/0.01,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
359.95;80.55;0.37;PP/0.02,TA/0.21,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
419.96;80.55;0.4;PP/0.02,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
479.76;81.39;0.43;PP/0.02,TA/0.22,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
539.8;81.39;0.46;PP/0.02,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
599.88;81.39;0.49;PP/0.03,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
659.92;81.39;0.54;PP/0.03,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
719.89;81.39;0.58;PP/0.03,TA/0.28,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
779.81;81.39;0.62;PP/0.03,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
839.96;81.39;0.65;PP/0.04,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
899.78;81.39;0.68;PP/0.04,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
959.75;81.39;0.71;PP/0.04,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1019.96;81.39;0.73;PP/0.05,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1079.89;81.39;0.76;PP/0.05,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1139.85;81.39;0.78;PP/0.05,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1199.74;81.39;0.81;PP/0.05,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1259.91;81.39;0.84;PP/0.06,TA/0.35,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1319.91;81.39;0.89;PP/0.06,TA/0.36,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1379.96;81.39;0.92;PP/0.06,TA/0.37,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1440;81.39;0.95;PP/0.06,TA/0.37,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1499.69;81.39;0.98;PP/0.07,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.07,RP/0
1559.58;81.39;1.01;PP/0.07,TA/0.39,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1619.91;81.43;1.04;PP/0.08,TA/0.4,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1679.86;81.43;1.08;PP/0.08,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.08,RP/0
1739.68;81.43;1.11;PP/0.09,TA/0.41,IS/0,PS/0.17,RB/0,OB/0.08,RP/0
1799.73;81.36;1.13;PP/0.09,TA/0.41,IS/0,PS/0.17,RB/0,OB/0.08,RP/0
