#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
56.61;2;56.61;56.61;-9773.91
61.21;0;61.21;61.21;-9240.26
65.72;0;65.72;65.72;-9273.61
69.85;0;69.85;69.85;-9273.96
73.9;0;73.9;17.24;-10099.35
77.97;0;77.97;16.66;-10096.35
79.94;1;79.94;79.94;-9554.09
82.07;0;82.07;16.31;-10210.34
83.96;1;83.96;14.06;-10289.92
86.49;0;86.49;16.6;-10356.12
88.38;1;88.38;8.39;-10440.75
90.91;0;90.91;16.94;-10439.68
92.73;1;92.73;8.7;-10608.21
95;0;95;16.99;-10501.02
96.91;1;27.02;8.46;-10765.93
96.91;2;96.91;96.91;-9722.04
99.44;0;99.44;17.01;-10545.48
101.05;1;101.05;8.18;-10899.14
103.45;0;103.45;16.79;-10713.22
105.4;1;105.4;8.42;-10983.56
107.45;0;19;16.46;-10120.46
109.4;1;9.92;8;-10480.31
111.45;0;111.45;16.4;-10739.63
113.4;1;113.4;7.68;-11563.57
115.84;0;115.84;16.35;-11133.34
117.21;2;117.21;28.76;-9209.95
117.83;1;117.83;8.06;-11633.71
120;0;120;16.27;-11291.09
121.49;2;121.49;24.51;-9883.53
124.25;0;18.52;16.48;-10594.53
124.41;1;124.41;124.41;-9355.02
125.96;2;125.96;8.55;-11245.3
128.67;1;128.67;128.67;-9539.6
130.43;2;13.03;8.64;-10363.89
138.51;2;138.51;138.51;-9666.57
140.76;1;140.76;20.72;-8827.74
142.56;2;142.56;85.9;-9800.8
143.16;0;143.16;143.16;-9246.69
144.69;1;144.69;20.04;-10182.13
147.2;0;147.2;31.32;-10848.7
149.11;1;149.11;20.39;-10404.32
150.6;2;150.6;19.97;-10924.58
152.85;1;152.85;11.78;-10495.84
154.27;2;154.27;15.71;-9902.09
155.29;0;155.29;35.24;-10894.37
157.2;1;157.2;12.09;-10581.23
158.51;2;158.51;19.95;-8674.11
161.02;1;161.02;11.86;-10980.96
162.52;2;88.55;19.92;-10489.13
163.38;0;163.38;32.33;-10242.69
165.29;1;16.13;12.09;-9612.79
166.67;2;166.67;16.03;-10556.68
167.42;0;24.82;24.12;-11097.23
169.33;1;169.33;12.09;-12453.22
170.84;2;170.84;16.15;-11875.2
171.47;0;171.47;24.12;-11181.58
175.26;2;175.26;16.52;-11945.46
175.48;0;175.48;20.1;-11868.36
191.74;1;191.74;191.74;-9212.34
196.3;1;113.87;30.97;-8968.11
200.04;1;200.04;30.66;-10309.93
200.57;0;200.57;200.57;-9046.44
204.47;1;204.47;12.46;-10951.31
208.47;1;53.77;16.46;-11178.92
212.47;1;212.47;16.12;-11824.09
216.89;0;46;45.37;-9774.6
216.89;1;216.89;16.47;-11970.6
219.42;2;219.42;219.42;-9591.85
223.84;2;223.84;223.84;-9614.38
225.34;0;225.34;49.77;-10539.56
228.01;2;228.01;61.18;-11081.98
229.43;0;72.18;33.08;-8910.72
231.99;2;231.99;61.1;-11382.13
240.5;2;240.5;27.77;-11044.47
242.82;0;242.82;242.82;-8851.04
244.47;2;244.47;24.89;-11182.67
252.31;1;252.31;252.31;-9159.96
256.89;1;115.82;44.15;-9784.43
260.96;1;48.22;8.4;-12444.76
262.76;0;262.76;37.38;-9827.78
264.76;1;264.76;12.21;-11154.88
265.51;2;265.51;265.51;-9420.73
269.68;2;172.69;94.37;-9817.85
274.82;0;107.34;34.25;-8989.12
279.31;0;82.96;36.42;-9703.37
283.77;0;116.95;20.81;-9764.91
288.06;0;288.06;12.97;-9842.47
289.54;2;93.19;28.49;-11371.52
292.27;0;51.7;12.77;-10132.83
294.18;2;68.8;28.51;-11828.15
296.07;1;296.07;79.11;-9776.04
296.18;0;95.77;12.37;-10175.32
298.24;2;23.15;22.73;-10837.75
300.18;1;300.18;39.18;-10663.79
300.27;0;39.27;12.03;-10713.45
307.45;0;307.45;77.76;-10043.7
307.87;1;307.87;15.43;-10230.6
315.49;0;315.49;18.98;-9881.72
323.45;0;323.45;15.96;-10166.56
343.83;2;343.83;343.83;-9349.74
347.68;2;347.68;347.68;-9406.83
352.37;2;223.66;120.06;-9703.47
353.69;1;353.69;353.69;-9105.1
356.31;2;164.3;128.26;-10419.8
362.17;1;362.17;61.94;-12060.71
