#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;1
4.85;0;1
6.18;0;2
7.27;0;3
9.74;0;1
12.2;0;1
13.4;0;3
14.67;0;2
15.86;0;1
17.13;0;2
18.33;0;1
19.71;0;2
20.79;0;3
21.8;0;3
22.8;0;1
25.47;0;1
26.48;0;2
28.97;0;1
30;0;1
31.42;0;1
32.42;0;2
33.51;0;2
34.6;0;1
35.69;0;2
40.11;0;1
41.2;0;1
43.68;0;1
44.74;0;3
47.2;0;1
48.25;0;1
49.65;0;1
50.66;0;1
52.38;0;1
54.87;0;1
55.94;0;1
57.75;0;1
64.16;0;1
65.25;0;1
66.53;0;1
67.62;0;1
68.97;0;1
75.1;0;1
77.14;0;1
78.43;0;1
81.1;0;1
85.27;0;1
100;0;1
102.63;0;1
107.77;0;1
116.07;0;1
117.16;0;1
125.29;0;1
127.14;0;1
128.42;0;1
129.76;0;1
137.02;0;1
138.56;0;1
139.93;0;1
141.07;0;1
145.34;0;1
147.16;0;1
150.04;0;2
152.18;0;1
158.74;0;1
160.35;0;1
161.43;0;1
163.33;0;1
166.63;0;1
169.33;0;1
172.76;0;1
174.12;0;1
175.21;0;1
176.3;0;1
177.35;0;1
179.56;0;1
180.65;0;1
182.21;0;1
183.34;0;1
186.01;0;1
187.24;0;2
191.07;0;1
192.38;0;1
196.26;0;1
197.49;0;1
199.9;0;1
200.91;0;1
202.53;0;1
204.73;0;1
205.82;0;1
209.57;0;1
210.73;0;1
214.23;0;1
222.63;0;1
224.71;0;1
225.73;0;1
227.12;0;1
228.31;0;1
229.38;0;1
230.78;0;1
232.57;0;1
237.35;0;1
238.48;0;1
239.55;0;1
243.51;0;1
247.56;0;1
248.73;0;1
250.19;0;1
251.22;0;1
253.63;0;1
257.31;0;1
258.39;0;1
267.13;0;1
268.38;0;1
269.63;0;1
270.85;0;1
272.1;0;2
274.15;0;1
277.8;0;1
280.32;0;1
281.72;0;2
283.14;0;1
284.24;0;1
295.18;0;1
297.14;0;1
298.19;0;1
299.23;0;1
300.23;0;1
302.9;0;1
304.36;0;1
305.45;0;1
306.78;0;2
307.78;0;1
308.95;0;1
311.07;0;1
316.07;0;1
318.66;0;1
319.82;0;1
321;0;1
322.07;0;1
323.41;0;1
325.82;0;1
327.04;0;1
328.29;0;1
332.59;0;1
333.62;0;1
334.71;0;1
337.71;0;1
338.83;0;1
343.21;0;1
346.01;0;1
349.08;0;1
350.14;0;1
353.64;0;1
366.89;0;1
371.4;0;1
377.52;0;1
379.57;0;1
383.07;0;1
384.08;0;1
387.05;0;1
388.92;0;1
392.91;0;1
395.66;0;1
397;0;1
399.05;0;1
400.42;0;1
405.22;0;1
406.54;0;1
408.59;0;1
411.92;0;1
416.09;0;1
418.72;0;1
421.34;0;1
422.64;0;1
425.31;0;1
427.31;0;1
428.6;0;1
432.06;0;1
435.6;0;1
436.9;0;1
437.91;0;1
439.05;0;1
440.07;0;3
447.58;0;1
448.91;0;2
451.08;0;1
452.24;0;1
453.31;0;1
454.91;0;1
455.96;0;1
464.53;0;1
465.86;0;1
467.42;0;1
471.97;0;1
473.06;0;1
474.25;0;1
477.09;0;1
478.17;0;1
484.81;0;1
486.3;0;1
490.6;0;1
491.89;0;1
495.01;0;1
496.36;0;1
497.91;0;1
500.45;0;1
502.08;0;1
503.12;0;1
507.12;0;1
508.16;0;1
514.83;0;1
516.83;0;1
517.97;0;1
523.47;0;2
525.75;0;1
526.97;0;1
528.38;0;1
533.89;0;1
535.15;0;1
536.29;0;1
537.78;0;1
543.86;0;1
545.4;0;1
546.43;0;1
547.79;0;1
549.2;0;1
550.34;0;1
554.71;0;1
560.39;0;1
563.35;0;1
564.38;0;1
565.38;0;1
566.38;0;1
567.47;0;2
568.51;0;1
570.51;0;1
573.82;0;1
581.35;0;1
584.85;0;1
587.36;0;1
588.44;0;1
590.61;0;1
596.53;0;1
597.66;0;1
600.33;0;1
604.11;0;1
607.37;0;1
608.45;0;1
610.43;0;1
612.77;0;1
613.92;0;1
617.34;0;1
619.73;0;1
621.61;0;1
623.9;0;1
625.76;0;1
627.05;0;1
628.09;0;1
631.17;0;1
634.81;0;1
637.72;0;1
638.81;0;1
639.88;0;1
642.51;0;1
643.89;0;1
644.98;0;1
648.72;0;1
650.13;0;1
652.62;0;1
654.1;0;1
656.81;0;1
658.05;0;1
659.1;0;1
661.55;0;1
662.89;0;1
670.39;0;1
671.8;0;1
672.85;0;2
673.89;0;2
676.18;0;1
682.68;0;2
687.55;0;1
688.6;0;1
690.22;0;1
691.31;0;1
692.85;0;1
693.98;0;1
695.05;0;1
696.44;0;1
699.22;0;1
701.8;0;1
703.05;0;1
707.89;0;1
713.46;0;1
714.57;0;1
718.12;0;1
722.95;0;1
724.18;0;1
728.39;0;1
731.79;0;1
733.18;0;1
740.65;0;1
741.77;0;1
744.72;0;1
748.02;0;1
753.27;0;1
755.56;0;1
758.27;0;1
759.44;0;1
761.6;0;1
762.6;0;1
763.65;0;2
764.65;0;1
