#TimeStamp;Bot;Pod;OutputStation
41.68;4;57;0
46.03;4;57;0
49.9;4;57;0
50.07;3;27;2
53.7;4;57;0
54.07;3;27;2
57.87;4;57;0
58.19;3;27;2
62.07;4;57;0
62.07;3;27;2
62.82;5;20;1
66.13;4;57;0
66.4;3;27;2
66.82;5;20;1
70.4;4;57;0
70.83;3;27;2
71.04;5;20;1
75.04;5;20;1
75.04;3;27;2
77.42;2;26;0
79.41;5;20;1
79.41;3;27;2
81.83;2;26;0
83.79;5;20;1
85.88;2;26;0
86.92;1;4;2
87.83;5;20;1
90;2;26;0
91.08;1;4;2
92.25;5;20;1
94.25;2;26;0
95.24;1;4;2
96.3;5;20;1
98.3;2;26;0
99.39;1;4;2
100.34;5;20;1
103.52;1;4;2
104.39;5;20;1
107.26;1;4;2
108.43;5;20;1
111.57;1;4;2
112.85;5;20;1
115.73;1;4;2
119.89;1;4;2
120.84;0;0;1
124.94;0;0;1
129.2;0;0;1
133.24;0;0;1
137.29;0;0;1
141.26;0;0;1
142.04;4;13;0
145.33;0;0;1
146.32;4;13;0
147.16;3;15;2
149.41;0;0;1
150.75;4;13;0
151.12;3;15;2
153.38;0;0;1
154.92;4;13;0
155.12;3;15;2
157.64;0;0;1
158.92;4;13;0
159.08;3;15;2
161.67;0;0;1
162.81;4;13;0
163.08;3;15;2
166.72;4;13;0
167.21;3;15;2
171.08;4;13;0
171.46;3;15;2
172.22;5;59;1
175.12;4;13;0
175.17;3;15;2
176.27;5;59;1
179.55;3;15;2
180.35;5;59;1
181.97;2;19;0
183.97;3;15;2
184.79;5;59;1
186.02;2;19;0
188.02;3;15;2
189.1;5;59;1
190;2;19;0
192.06;3;15;2
193.21;5;59;1
194.05;2;19;0
196.13;3;15;2
197.63;5;59;1
198.1;2;19;0
200.26;3;15;2
201.68;5;59;1
202.1;2;19;0
206.12;5;59;1
206.26;2;19;0
206.72;1;54;2
210.26;5;59;1
210.3;2;19;0
210.77;1;54;2
214.3;5;59;1
214.35;2;19;0
214.81;1;54;2
218.35;5;59;1
218.39;2;19;0
218.85;1;54;2
222.4;2;19;0
222.4;5;59;1
222.87;1;54;2
226.09;2;19;0
226.45;5;59;1
226.87;1;54;2
230.87;1;54;2
234.19;0;53;1
234.91;1;54;2
238.01;0;53;1
238.88;1;54;2
240.31;4;20;0
242.26;0;53;1
242.96;1;54;2
246.27;0;53;1
247;1;54;2
250.28;0;53;1
251.05;1;54;2
254.24;0;53;1
255.09;1;54;2
258.32;0;53;1
262.29;0;53;1
266.37;0;53;1
270.42;0;53;1
274.84;0;53;1
278.88;0;53;1
282.93;0;53;1
283.17;3;34;2
283.28;2;37;0
287.28;3;34;2
287.38;2;37;0
291.35;3;34;2
291.6;2;37;0
295.19;3;34;2
295.69;2;37;0
299.12;5;45;1
299.39;3;34;2
299.77;2;37;0
303.18;5;45;1
303.77;2;37;0
303.77;3;34;2
307.23;5;45;1
308;3;34;2
310.87;4;23;0
311.24;5;45;1
312.2;3;34;2
315.25;4;23;0
315.25;5;45;1
316.54;3;34;2
319.2;4;23;0
319.2;5;45;1
323.22;5;45;1
323.29;4;23;0
327.24;5;45;1
331.33;5;45;1
335;1;59;2
335.75;5;45;1
339.45;1;59;2
340.17;5;45;1
343.81;1;59;2
344.3;5;45;1
347.72;1;59;2
359.73;0;21;1
363.77;0;21;1
368.19;0;21;1
372.28;0;21;1
375.28;2;29;0
376.61;0;21;1
378;3;25;2
379.33;2;29;0
382.14;3;25;2
383.66;2;29;0
386.31;3;25;2
387.77;2;29;0
390.4;3;25;2
391.43;2;29;0
394.44;3;25;2
395.82;2;29;0
398.49;3;25;2
399.49;2;29;0
402.53;3;25;2
404.54;5;47;1
406.28;4;53;0
406.5;3;25;2
408.77;5;47;1
410.77;3;25;2
412.74;5;47;1
414.81;3;25;2
416.69;5;47;1
420.61;5;47;1
424.78;5;47;1
428.48;1;19;2
428.82;5;47;1
432.78;1;19;2
432.87;5;47;1
436.71;1;19;2
437.11;5;47;1
453.78;0;40;1
457.83;0;40;1
462.25;0;40;1
463.13;2;42;0
466.63;0;40;1
467.25;2;42;0
470.34;0;40;1
471.67;2;42;0
474.68;0;40;1
476.01;2;42;0
478.76;0;40;1
482.93;4;49;0
483;0;40;1
484.76;3;32;2
487;4;49;0
488.91;3;32;2
491.05;4;49;0
492.95;3;32;2
494.81;4;49;0
497.09;3;32;2
498.58;5;5;1
498.94;4;49;0
501.13;3;32;2
502.94;4;49;0
502.94;5;5;1
505.57;3;32;2
507.07;5;5;1
507.11;4;49;0
509.71;3;32;2
511.11;5;5;1
511.2;4;49;0
513.79;3;32;2
514.74;5;5;1
515.62;4;49;0
517.87;3;32;2
519.16;5;5;1
519.67;4;49;0
521.92;3;32;2
523.58;5;5;1
523.71;4;49;0
525.8;3;32;2
527.71;4;49;0
527.71;5;5;1
529.8;3;32;2
531.76;4;49;0
537.8;1;21;2
541.6;2;43;0
545.65;2;43;0
549.98;2;43;0
553.77;2;43;0
554.89;0;9;1
558.01;2;43;0
559.18;0;9;1
562.05;2;43;0
563.6;0;9;1
566.11;2;43;0
567.98;0;9;1
570.23;2;43;0
572.02;0;9;1
574.61;2;43;0
575.83;0;9;1
578.69;2;43;0
580.07;0;9;1
582.74;2;43;0
584.49;0;9;1
587.03;2;43;0
588.87;0;9;1
591.01;2;43;0
592.96;0;9;1
595;2;43;0
597.03;0;9;1
600.37;1;4;2
601.66;4;38;0
603.75;5;57;1
605.71;4;38;0
607.87;5;57;1
