#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.7;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.76;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
179.84;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.92;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
299.94;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
359.98;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
419.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
479.7;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
539.95;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
600;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
659.79;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.58;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
779.67;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
899.95;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
959.83;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.74;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1079.83;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.64;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1199.73;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1259.94;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1319.97;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1379.83;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1439.99;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1499.79;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1559.74;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1619.73;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1679.78;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1739.77;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1799.85;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
