#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
47.83;1;47.83;47.83;-9356.25
51.59;0;51.59;51.59;-9249.88
52.46;2;52.46;52.46;-9663.63
55.55;0;55.55;55.55;-9334.3
56.43;1;56.43;8.39;-10644.51
59.88;0;59.88;59.88;-9283.93
60.42;1;60.42;12.38;-9981.29
60.8;2;60.8;60.8;-9750.48
63.93;0;63.93;15.89;-9992.44
64.55;1;64.55;8.08;-12357.78
65.13;2;65.13;65.13;-9765.39
67.72;0;67.72;16.07;-10106.59
72.29;0;72.29;16.55;-10283.8
73.38;2;73.38;25.35;-9513.13
76.22;0;76.22;16.3;-10647.13
78.01;2;78.01;25.51;-9811.42
80.27;0;80.27;16.27;-10663.54
81.97;2;81.97;21.13;-10390.14
84.58;0;19.32;16.5;-10164.25
86.52;2;86.52;21.26;-12246.1
88.77;0;88.77;16.43;-10745.83
90;1;90;90;-9328.52
93.19;0;33.26;16.8;-10757.08
97.14;2;97.14;97.14;-9721.81
101.56;2;101.56;101.56;-9724.64
101.61;0;101.61;21.18;-11083.33
105.77;0;57.73;21.14;-11615.12
109.4;2;109.4;31.27;-9397.72
110.06;0;110.06;21.02;-11641.49
110.06;1;110.06;23.5;-10182.35
114.34;1;46.26;24.29;-10689.07
117.69;0;117.69;117.69;-8782.16
117.69;2;117.69;35.46;-10068.72
118.38;1;118.38;7.91;-10830
121.84;0;121.84;121.84;-8897.37
122.43;1;35.87;7.91;-10994.68
125.84;2;61.84;39.28;-10845.91
127.14;1;127.14;8.55;-11549.83
129.98;0;129.98;28.21;-9654.51
129.98;2;39.93;36.63;-10143.91
134.06;2;53.63;36.87;-10180.92
142.46;2;142.46;40.85;-10907.2
146.2;0;146.2;35.72;-10247.23
150.44;0;39.97;35.92;-9454.95
150.55;2;150.55;40.78;-10990.59
153.43;1;153.43;153.43;-9305.36
154.43;0;154.43;36.52;-10196.75
155.01;2;155.01;37.1;-11482.97
157.81;1;157.81;157.81;-9510.46
162.43;0;47.92;40.47;-10209.35
166.43;0;166.43;36.41;-10393.7
170.64;0;52.72;24.18;-10872.56
173.61;1;43.59;23.11;-9797.14
175.06;0;175.06;24.55;-11033.28
177.91;1;101.53;24.27;-10024.77
178.61;2;178.61;178.61;-9575.9
179.08;0;179.08;24.53;-11142.87
182.21;1;182.21;24.24;-10209.32
183.08;0;183.08;20.48;-11890.2
186.49;1;23.89;12.47;-10063.76
187.07;2;187.07;52.63;-11067.88
191;1;138.5;12.8;-11308.41
195.48;1;195.48;12.87;-12220.73
199.37;1;199.37;12.59;-12230.33
199.37;2;41.4;28.69;-10257.16
203.37;1;203.37;12.3;-12445.72
203.37;2;203.37;24.71;-11357.78
206.33;0;206.33;206.33;-9012.28
207.61;1;16.54;12.08;-13572.57
207.61;2;29.41;20.49;-11516.79
214.8;0;214.8;44.11;-10430.19
222.13;1;222.13;94.94;-9535.44
222.6;0;222.6;47.5;-11578.85
226.17;1;226.17;226.17;-9459.27
235.01;0;48.22;43.94;-10524.57
238.23;1;31.7;15.76;-10284.96
239.44;0;48.38;32.91;-10999.96
246.61;2;246.61;246.61;-9446.97
247.53;0;39.87;32.62;-11367
250.64;2;164.08;120.62;-9804.26
252.29;0;252.29;29.34;-11368.65
256.58;0;34.11;21.44;-11435.12
258.75;2;152.56;55.13;-8443.16
263.83;0;263.83;263.83;-8830.02
267.28;2;267.28;20.47;-10981.9
267.87;0;267.87;84.68;-9754.34
271.76;2;271.76;24.94;-10170.85
280.05;0;53.53;27.69;-8506.86
281.51;1;281.51;281.51;-9352.52
285.93;1;285.93;78.27;-9566.45
287.85;0;64.9;23.73;-11512.66
290.18;1;229.34;51.62;-10188.09
290.76;2;290.76;135.42;-9906.45
292.14;0;44.2;28.02;-11071.5
294.18;1;79.27;13.97;-8772.83
294.81;2;294.81;143.88;-9872.18
298.27;1;123.17;16.4;-9415.41
300.04;0;13.84;13.79;-9157.58
