#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;1
5.73;0;1
6.81;0;2
7.9;0;1
8.99;0;1
10.16;0;3
11.16;0;2
12.21;0;1
13.25;0;2
14.3;0;2
15.34;0;2
16.39;0;2
17.39;0;1
18.48;0;1
19.48;0;1
20.52;0;2
22.61;0;1
23.7;0;1
30.78;0;2
32.53;0;2
33.56;0;2
34.56;0;1
35.98;0;2
36.98;0;1
38.1;0;1
45.12;0;1
46.15;0;1
47.42;0;1
48.42;0;2
49.42;0;2
50.51;0;1
52.82;0;1
54.01;0;1
56.17;0;1
57.51;0;1
64.29;0;1
73.79;0;1
77.55;0;1
84.01;0;1
86.52;0;1
87.61;0;1
90.68;0;1
100;0;1
101.05;0;2
103.54;0;1
104.92;0;1
110.22;0;1
111.23;0;1
112.59;0;1
113.63;0;1
114.72;0;1
116.1;0;3
119.6;0;1
123.88;0;1
124.93;0;1
126.13;0;1
127.6;0;1
128.91;0;1
129.99;0;1
137.27;0;1
138.36;0;1
139.77;0;1
141.11;0;2
142.92;0;1
145.27;0;1
146.41;0;1
147.77;0;1
149.98;0;1
151.24;0;1
153.27;0;1
156.5;0;1
159.44;0;1
160.53;0;1
161.63;0;1
162.72;0;1
169.92;0;1
172.22;0;1
174.75;0;1
179.47;0;1
182.05;0;1
183.31;0;1
184.6;0;2
191.44;0;1
192.65;0;1
194.77;0;1
196.83;0;1
204.61;0;1
205.89;0;2
207.18;0;1
208.43;0;1
209.8;0;1
216.59;0;1
217.93;0;2
220.6;0;1
226.77;0;1
228.02;0;1
229.11;0;1
233.13;0;1
234.19;0;1
235.77;0;1
237.48;0;1
238.65;0;1
239.7;0;1
240.71;0;1
244.98;0;1
248.48;0;2
249.73;0;2
250.75;0;1
252.69;0;1
262.01;0;1
263.83;0;1
264.92;0;1
266.28;0;1
271.74;0;1
272.83;0;1
274.66;0;1
278.18;0;1
283.01;0;1
284.51;0;1
286.51;0;1
287.6;0;1
299.17;0;1
300.75;0;1
301.84;0;1
303.03;0;1
305.26;0;1
307.2;0;1
311.3;0;1
312.39;0;1
314.8;0;1
317.27;0;1
318.27;0;1
322.11;0;1
328.1;0;2
330.28;0;1
331.53;0;1
333.78;0;1
337.88;0;1
340.02;0;1
343.97;0;1
346.43;0;1
348.48;0;1
349.7;0;1
353.98;0;1
355.97;0;1
357.48;0;1
358.57;0;1
359.65;0;1
362.57;0;1
363.6;0;2
