#TimeStamp;TripTime;Type
33;13;O
39;23;O
43;15;O
49;28;O
64;12;O
75;18;O
123;17;O
154;13;O
171;22;O
182;15;O
196;18;O
203;22;O
236;21;O
270;26;O
290;17;O
305;18;O
311;17;O
344;27;O
369;21;O
383;17;O
389;13;O
403;25;O
412;22;O
453;23;O
481;26;O
486;21;O
496;30;O
510;18;O
552;15;O
559;26;O
583;26;O
588;18;O
598;20;O
646;24;O
668;14;O
691;25;O
706;30;O
717;33;O
723;13;O
757;31;O
782;25;O
790;26;O
822;25;O
840;19;O
844;28;O
858;11;O
895;12;O
903;24;O
937;25;O
960;7;O
979;31;O
992;19;O
996;27;O
1015;15;O
1034;17;O
1035;13;O
1089;13;O
1100;15;O
1127;23;O
1134;27;O
1145;26;O
1164;24;O
1166;25;O
1184;22;O
1227;22;O
1250;17;O
1261;28;O
1265;25;O
1306;28;O
1307;32;O
1321;7;O
1337;23;O
1343;20;O
1401;28;O
1410;19;O
1437;15;O
1455;22;O
1459;23;O
1470;26;O
1534;25;O
1535;28;O
1563;17;O
1566;15;O
1589;77;O
1621;31;O
1644;16;O
1651;23;O
1663;17;O
1685;60;O
1686;19;O
1701;28;O
1734;29;O
1741;24;O
1759;29;O
1762;21;O
