#TimeStamp;Bot;Pod;OutputStation
48.14;2;30;0
52.2;2;30;0
52.85;5;52;1
56.3;2;30;0
57.21;5;52;1
60.38;2;30;0
61.39;5;52;1
64.46;2;30;0
65.45;5;52;1
66.29;3;57;2
68.72;2;30;0
69.87;5;52;1
70.69;3;57;2
72.78;2;30;0
73.94;5;52;1
74.73;3;57;2
77.2;2;30;0
78.36;5;52;1
79.15;3;57;2
81.57;2;30;0
82.79;5;52;1
83.57;3;57;2
85.62;2;30;0
87.21;5;52;1
87.62;3;57;2
89.66;2;30;0
91.32;5;52;1
91.66;3;57;2
93.72;2;30;0
95.68;5;52;1
95.72;3;57;2
98.14;2;30;0
99.72;5;52;1
100.14;3;57;2
102.19;2;30;0
104;5;52;1
104.19;3;57;2
106.25;2;30;0
108.21;5;52;1
108.21;3;57;2
112.25;5;52;1
113.51;4;7;0
115.34;1;54;2
116.67;5;52;1
117.71;4;7;0
119.71;1;54;2
121.09;5;52;1
121.75;4;7;0
123.47;1;54;2
125.42;5;52;1
125.75;4;7;0
127.75;1;54;2
129.55;5;52;1
129.8;4;7;0
131.75;1;54;2
133.8;4;7;0
135.76;1;54;2
137.23;0;11;1
137.85;4;7;0
139.81;1;54;2
141.27;0;11;1
142.27;4;7;0
143.85;1;54;2
145.01;0;11;1
146.32;4;7;0
147.9;1;54;2
149.32;0;11;1
150.36;4;7;0
151.94;1;54;2
153.1;0;11;1
154.4;4;7;0
155.98;1;54;2
157.36;0;11;1
158.45;4;7;0
160.04;1;54;2
161.41;0;11;1
162.46;4;7;0
165.45;0;11;1
166.51;4;7;0
169.49;0;11;1
170.55;4;7;0
173.54;0;11;1
176.03;3;42;2
177.24;2;49;0
177.58;0;11;1
180.15;3;42;2
181.58;2;49;0
181.63;0;11;1
184.49;3;42;2
185.24;2;49;0
185.67;0;11;1
188.25;3;42;2
189.41;2;49;0
189.72;0;11;1
192.51;3;42;2
193.55;2;49;0
193.76;0;11;1
196.57;3;42;2
197.41;2;49;0
197.63;0;11;1
200.99;3;42;2
201.41;2;49;0
201.81;0;11;1
205.41;3;42;2
205.63;2;49;0
205.85;0;11;1
209.45;3;42;2
213.56;5;17;1
213.63;3;42;2
217.56;5;17;1
218.05;3;42;2
221.63;5;17;1
222.09;3;42;2
225.43;5;17;1
226.14;3;42;2
229.27;5;17;1
230.56;3;42;2
233.67;5;17;1
234.6;3;42;2
237.69;5;17;1
239.03;3;42;2
241.73;5;17;1
243.35;3;42;2
245.77;5;17;1
247.7;3;42;2
249.77;5;17;1
251.7;3;42;2
252.36;4;25;0
253.82;5;17;1
256.52;4;25;0
257.86;5;17;1
258.98;1;4;2
260.94;4;25;0
261.91;5;17;1
263.13;1;4;2
265.11;4;25;0
265.95;5;17;1
267.2;1;4;2
269.1;4;25;0
269.99;5;17;1
271.2;1;4;2
273.15;4;25;0
274.04;5;17;1
275.31;1;4;2
277.27;4;25;0
278.08;5;17;1
279.63;1;4;2
281.61;4;25;0
282.04;5;17;1
283.85;1;4;2
286.02;4;25;0
286.13;5;17;1
289.84;4;25;0
293.42;0;35;1
297.46;2;12;0
297.51;0;35;1
301.42;2;12;0
301.63;0;35;1
305.51;2;12;0
305.55;0;35;1
309.55;2;12;0
309.6;0;35;1
313.6;0;35;1
317.61;0;35;1
330.51;1;57;2
334.39;1;57;2
338.3;1;57;2
346.04;3;51;2
349.99;3;51;2
351.15;4;37;0
354.31;3;51;2
356.82;5;6;1
358.36;3;51;2
361.23;5;6;1
362.38;3;51;2
365.49;5;6;1
369.91;5;6;1
372.84;2;43;0
373.72;5;6;1
376.96;2;43;0
377.97;5;6;1
381.06;2;43;0
382.39;5;6;1
385.27;2;43;0
386.81;5;6;1
389.38;2;43;0
391.03;5;6;1
393.62;2;43;0
395.16;5;6;1
397.85;2;43;0
399.16;5;6;1
401.9;2;43;0
407.16;0;59;1
411.2;0;59;1
415.36;0;59;1
419.42;0;59;1
423.71;0;59;1
427.04;1;5;2
427.83;0;59;1
431.25;1;5;2
431.88;0;59;1
435.47;1;5;2
435.94;0;59;1
439.89;1;5;2
440.04;0;59;1
444;0;59;1
444;1;5;2
445.81;4;56;0
448.09;0;59;1
448.26;1;5;2
450.05;4;56;0
452.67;1;5;2
454.09;4;56;0
454.76;5;47;1
458.08;4;56;0
459.18;5;47;1
460;3;29;2
462.48;4;56;0
462.85;5;47;1
464.04;3;29;2
466.69;4;56;0
467.22;5;47;1
467.73;3;29;2
470.8;4;56;0
471.27;5;47;1
472.09;3;29;2
475.03;4;56;0
475.31;5;47;1
476.1;3;29;2
479.33;4;56;0
479.37;5;47;1
480.16;3;29;2
483.37;4;56;0
483.79;5;47;1
484.58;3;29;2
487.79;4;56;0
487.84;5;47;1
491.84;4;56;0
491.88;5;47;1
495.84;4;56;0
495.93;5;47;1
499.66;4;56;0
499.98;5;47;1
503.79;4;56;0
504.02;5;47;1
507.82;4;56;0
508.06;5;47;1
512.11;5;47;1
514.68;2;53;0
516.15;5;47;1
517.88;1;12;2
518.99;2;53;0
521.56;1;12;2
523.04;2;53;0
523.5;0;2;1
525.96;1;12;2
527.1;2;53;0
527.56;0;2;1
530.03;1;12;2
531.52;2;53;0
531.98;0;2;1
534.17;1;12;2
535.56;2;53;0
536.03;0;2;1
539.61;2;53;0
540.15;0;2;1
543.65;2;53;0
544.2;0;2;1
547.7;2;53;0
548.62;0;2;1
550.63;3;38;2
551.78;2;53;0
552.89;0;2;1
554.89;3;38;2
556.2;2;53;0
556.94;0;2;1
558.94;3;38;2
560;2;53;0
560.98;0;2;1
562.71;3;38;2
565.02;0;2;1
567;3;38;2
569.46;0;2;1
571.46;3;38;2
573.92;0;2;1
575.91;3;38;2
578.34;0;2;1
580.12;3;38;2
582.67;0;2;1
584.54;3;38;2
586.72;0;2;1
588.72;3;38;2
590.76;0;2;1
592.76;3;38;2
594.81;0;2;1
596.81;3;38;2
600.85;3;38;2
601.69;5;18;1
602.76;4;33;0
605.02;3;38;2
606.04;5;18;1
606.93;4;33;0
609.02;3;38;2
610.11;5;18;1
610.98;4;33;0
614.36;5;18;1
614.99;4;33;0
616.87;1;27;2
618.33;5;18;1
618.91;4;33;0
621.27;1;27;2
622.37;5;18;1
623.3;4;33;0
625.32;1;27;2
626.01;5;18;1
627.25;4;33;0
629.39;1;27;2
631.08;4;33;0
633.79;1;27;2
635.26;4;33;0
637.84;1;27;2
639.34;4;33;0
641.88;1;27;2
643.76;4;33;0
645.93;1;27;2
647.89;4;33;0
649.98;1;27;2
651.91;4;33;0
654.02;1;27;2
658.11;1;27;2
658.53;2;51;0
662.53;1;27;2
662.93;2;51;0
666.48;0;26;1
666.57;1;27;2
670.53;0;26;1
670.62;1;27;2
674.62;0;26;1
674.66;1;27;2
678.69;0;26;1
678.74;1;27;2
682.74;0;26;1
683.03;1;27;2
687.03;0;26;1
687.07;1;27;2
691.07;0;26;1
693.78;3;16;2
695.11;0;26;1
698.08;3;16;2
699.28;0;26;1
702.12;3;16;2
703.45;0;26;1
706.33;3;16;2
707.62;0;26;1
710.49;3;16;2
712.04;0;26;1
714.13;3;16;2
716.08;0;26;1
718.21;3;16;2
720;0;26;1
722.17;3;16;2
724.13;0;26;1
726.39;3;16;2
728.53;0;26;1
730.53;3;16;2
732.52;0;26;1
734.58;3;16;2
735.25;4;45;0
736.58;0;26;1
738.62;3;16;2
739.55;4;45;0
740.63;0;26;1
742.64;3;16;2
743.94;4;45;0
746.69;3;16;2
747.58;5;28;1
747.98;4;45;0
751.13;3;16;2
752.02;4;45;0
752.02;5;28;1
755.55;3;16;2
756.02;5;28;1
756.06;4;45;0
759.6;3;16;2
760;5;28;1
760.48;4;45;0
763.64;3;16;2
764.06;5;28;1
764.9;4;45;0
767.69;3;16;2
767.99;5;28;1
769.32;4;45;0
771.66;3;16;2
772.11;5;28;1
776.15;2;21;0
778.28;1;3;2
780.25;2;21;0
782.38;1;3;2
784.66;2;21;0
786.66;1;3;2
788.5;2;21;0
790.54;1;3;2
792.45;2;21;0
794.47;1;3;2
821.63;0;20;1
825.92;0;20;1
830.01;0;20;1
831.73;3;10;2
834.06;0;20;1
836.01;3;10;2
836.87;4;37;0
838.21;0;20;1
840.06;3;10;2
840.92;4;37;0
842.27;0;20;1
844.18;3;10;2
845.34;4;37;0
846.42;0;20;1
848.23;3;10;2
849.59;4;37;0
850.84;0;20;1
852.39;3;10;2
853.76;4;37;0
855.01;0;20;1
856.43;3;10;2
858.18;4;37;0
858.85;0;20;1
860.65;3;10;2
862.6;4;37;0
864.81;3;10;2
865.43;5;23;1
866.81;4;37;0
868.85;3;10;2
869.48;5;23;1
870.86;4;37;0
872.89;3;10;2
873.52;5;23;1
874.91;4;37;0
876.94;3;10;2
877.56;5;23;1
878.54;4;37;0
881;3;10;2
881.58;5;23;1
882.92;4;37;0
885.12;3;10;2
885.58;5;23;1
889.54;3;10;2
889.58;2;43;0
893.58;3;10;2
893.63;2;43;0
897.63;2;43;0
897.63;3;10;2
901.67;3;10;2
908.8;1;59;2
912.89;1;59;2
917.31;1;59;2
921.16;1;59;2
923.52;0;34;1
925.29;1;59;2
929.03;1;59;2
946.69;4;25;0
950.72;4;25;0
954.81;4;25;0
958.85;4;25;0
962.9;4;25;0
969.93;2;36;0
974.11;2;36;0
977.99;2;36;0
978.15;3;24;2
979.35;5;5;1
982.14;2;36;0
982.44;3;24;2
983.53;5;5;1
986.19;2;36;0
986.86;3;24;2
987.53;5;5;1
990.97;3;24;2
991.95;5;5;1
995.39;3;24;2
996.01;5;5;1
999.21;3;24;2
1000.12;5;5;1
1004.54;5;5;1
1008.59;5;5;1
1010.17;1;23;2
1014.37;1;23;2
1015.98;0;17;1
1039.57;4;29;0
1043.66;4;29;0
1047.7;4;29;0
1051.81;4;29;0
1055.61;4;29;0
1059.88;4;29;0
1064;4;29;0
1065.76;3;9;2
1068.34;4;29;0
1069.7;3;9;2
1072.43;4;29;0
1073.31;5;31;1
1073.8;3;9;2
1076.47;4;29;0
1077.46;5;31;1
1078.12;3;9;2
1081.88;5;31;1
1081.88;3;9;2
1083.58;2;19;0
1086.22;5;31;1
1087.73;2;19;0
1090.28;5;31;1
1091.77;2;19;0
1095.7;1;40;2
1095.74;2;19;0
1097.83;0;33;1
1099.74;2;19;0
1099.74;1;40;2
1103.62;2;19;0
1103.82;1;40;2
1107.84;2;19;0
1107.88;1;40;2
1111.88;2;19;0
1112.3;1;40;2
1115.93;2;19;0
1116.72;1;40;2
1119.97;2;19;0
1120.78;1;40;2
1124.04;2;19;0
1124.87;1;40;2
1128.21;2;19;0
1128.92;1;40;2
1132.26;2;19;0
1133.34;1;40;2
1137.67;1;40;2
1142.09;1;40;2
1142.97;4;34;0
1146.25;1;40;2
1147.16;4;34;0
1150.51;1;40;2
1151.33;4;34;0
1154.9;1;40;2
1155.32;4;34;0
1159.32;4;34;0
1159.32;1;40;2
1161.37;5;41;1
1163.46;4;34;0
1163.46;1;40;2
1167.27;4;34;0
1170.64;3;13;2
1171.23;4;34;0
1174.81;3;13;2
1175.28;4;34;0
1178.64;3;13;2
1182.74;3;13;2
1183.81;0;49;1
1186.86;3;13;2
1187.86;0;49;1
1190.9;3;13;2
1191.99;0;49;1
1194.95;3;13;2
1195.83;0;49;1
1198.99;3;13;2
1200.12;0;49;1
1203.04;3;13;2
1204.22;0;49;1
1207.08;3;13;2
1208.53;0;49;1
1211.13;3;13;2
1214.89;2;1;0
1215.17;3;13;2
1219;2;1;0
1219.21;3;13;2
1223.21;2;1;0
1223.26;3;13;2
1227.27;2;1;0
1227.31;3;13;2
1231.29;2;1;0
1231.33;3;13;2
1235.33;2;1;0
1239.73;2;1;0
1244.84;1;55;2
1248.94;1;55;2
1253.24;1;55;2
1254.41;5;0;1
1257.55;1;55;2
1257.66;4;50;0
1258.46;5;0;1
1261.66;1;55;2
1261.81;4;50;0
1262.74;5;0;1
1265.81;1;55;2
1265.86;4;50;0
1266.84;5;0;1
1269.86;4;50;0
1269.86;1;55;2
1270.97;5;0;1
1274.14;4;50;0
1275.05;5;0;1
1277.89;4;50;0
1279.12;5;0;1
1282.28;4;50;0
1286.43;0;6;1
1286.6;4;50;0
1300.88;3;12;2
1304.94;3;12;2
1307.66;2;41;0
1308.96;3;12;2
1311.72;2;41;0
1313.03;3;12;2
1316.14;2;41;0
1317.14;3;12;2
1320.56;2;41;0
1324.89;2;41;0
1329.02;2;41;0
1333.37;2;41;0
1337.11;2;41;0
1341.29;5;37;1
1341.33;2;41;0
1345.19;5;37;1
1346.7;1;46;2
1351.11;1;46;2
1355.31;1;46;2
1358.03;4;24;0
1362.07;4;24;0
1366.48;4;24;0
1366.91;0;4;1
1370.66;4;24;0
1370.87;0;4;1
1374.82;4;24;0
1375.12;0;4;1
1378.99;4;24;0
1379.5;0;4;1
1383.04;4;24;0
1386.85;3;28;2
1386.89;4;24;0
1390.89;3;28;2
1391.02;4;24;0
1394.94;3;28;2
1395.18;4;24;0
1398.97;3;28;2
1403.15;2;0;0
1407.35;2;0;0
1411.77;2;0;0
1415.19;5;32;1
1416.19;2;0;0
1419.33;5;32;1
1420.39;2;0;0
1423.53;5;32;1
1423.53;1;53;2
1424.59;2;0;0
1427.35;5;32;1
1427.65;1;53;2
1428.33;2;0;0
1431.3;5;32;1
