#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.25
59.99;200;200;0;49.35;0;59.99;0;0.26
119.75;200;200;0;92.38;0;114.32;0;0.22
179.65;200;200;0;120.1;0;157.46;0;0.32
239.58;200;200;0;153.14;0;221.26;0;0.24
299.76;200;200;0;171.25;0;275.78;0;0.27
359.73;200;200;0;195.41;0;292.45;0;0.28
419.96;200;200;0;214.91;0;356.71;0;0.34
479.9;200;200;0;226.05;0;373.64;0;0.31
539.91;200;200;0;250.45;0;438.25;0;0.31
599.76;200;200;0;236.01;0;420.98;0;0.31
659.99;200;200;0;264.34;0;467.59;0;0.4
719.69;200;200;0;294.72;0;544.03;0;0.41
779.96;200;200;0;299.94;0;589.3;0;0.46
839.96;200;200;0;324.35;0;652.22;0;0.43
899.97;200;200;0;369.64;0;725.89;0;0.41
959.71;200;200;0;368.39;0;662.67;0;0.42
1019.76;200;200;0;371.19;0;811.4;0;0.45
1079.64;200;200;0;399.79;0;830.47;0;0.46
1139.9;200;188;0;417.92;0;878.07;0;0.43
1199.92;200;171;0;448.17;0;953.08;0;0.42
1259.6;200;159;0;462.6;0;1004.54;0;0.4
1319.8;200;145;0;516.19;0;1095.66;0;0.38
1379.86;200;132;0;521.52;0;1109.53;0;0.45
1439.68;200;126;0;543.75;0;1205.46;0;0.42
1499.98;200;113;0;548.32;0;1332.67;0;0.35
1559.97;200;108;0;568.91;0;1322.3;0;0.33
1619.59;200;103;0;527.76;0;1327;0;0.4
1679.89;200;91;0;549.88;0;1501.32;0;0.3
1739.73;200;87;0;563.32;0;1622.44;0;0.29
1799.99;200;77;0;530.43;0;1672.15;0;0.31
