#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.92;0;1;1;3;0/59.92;0/43.73,1/50.37,2/59.92;0/59.92;0/59.92,1/59.92,2/59.92;0/0;0/11,1/11,2/10;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/5,1/3,2/0
119.86;0;3;1;3;0/119.86;0/60.74,1/58.33,2/75.18;0/119.86;0/119.86,1/119.86,2/119.86;0/0;0/12,1/13,2/11;0/0;0/18,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/0;0/0;0/16,1/17,2/12
179.97;0;6;1;3;0/179.97;0/68.91,1/91.53,2/96.9;0/179.97;0/179.97,1/179.97,2/179.97;0/0;0/11,1/8,2/11;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/1;0/0;0/30,1/23,2/22
239.97;0;10;1;3;0/239.97;0/81.26,1/96.83,2/108.75;0/239.97;0/239.97,1/239.97,2/239.97;0/0;0/13,1/11,2/9;0/0;0/16,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/3;0/0;0/42,1/38,2/35
300;0;13;1;3;0/300;0/113.63,1/131.18,2/114.12;0/300;0/300,1/300,2/300;0/0;0/9,1/9,2/11;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/4;0/0;0/50,1/44,2/49
359.85;0;16;1;3;0/359.85;0/119.83,1/144.37,2/130.42;0/359.85;0/359.85,1/359.85,2/359.85;0/0;0/11,1/11,2/8;0/0;0/14,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/5;0/0;0/63,1/56,2/61
419.86;0;19;1;3;0/419.86;0/175.25,1/174.34,2/148.39;0/419.86;0/419.86,1/419.86,2/419.86;0/0;0/11,1/10,2/10;0/0;0/15,1/12,2/18;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/6;0/0;0/65,1/64,2/71
479.82;0;23;1;3;0/479.82;0/182,1/212.97,2/160;0/479.82;0/479.82,1/479.82,2/479.82;0/0;0/13,1/11,2/7;0/0;0/14,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/7;0/0;0/79,1/70,2/84
539.82;0;26;1;3;0/539.82;0/234.37,1/229.33,2/190.92;0/539.82;0/539.82,1/539.82,2/539.82;0/0;0/11,1/10,2/7;0/0;0/15,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/8;0/0;0/80,1/81,2/92
599.77;0;28;1;3;0/599.77;0/282.92,1/259.29,2/196.34;0/599.77;0/599.77,1/599.77,2/599.77;0/0;0/9,1/9,2/12;0/0;0/15,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/8;0/0;0/83,1/89,2/106
