#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.89;0;0;1;3;0/59.89;0/41.49,1/59.89,2/47.53;0/59.89;0/59.89,1/59.89,2/59.89;0/0;0/12,1/13,2/12;0/0;0/17,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/0,2/4
119.98;0;2;1;3;0/119.98;0/47.55,1/97.36,2/52.51;0/119.98;0/119.98,1/119.98,2/119.98;0/0;0/9,1/15,2/12;0/0;0/15,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/0;0/0;0/19,1/6,2/18
180;0;6;1;3;0/180;0/68.79,1/109.81,2/80.84;0/180;0/180,1/180,2/180;0/0;0/13,1/17,2/11;0/0;0/17,1/18,2/20;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/1;0/0;0/29,1/19,2/26
239.83;0;10;1;3;0/239.83;0/85.3,1/156.26,2/89.06;0/239.83;0/239.83,1/239.83,2/239.83;0/0;0/13,1/13,2/11;0/0;0/17,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/2;0/0;0/41,1/22,2/40
299.84;0;13;1;3;0/299.84;0/107.23,1/200.98,2/99.21;0/299.84;0/299.84,1/299.84,2/299.84;0/0;0/9,1/10,2/12;0/0;0/18,1/18,2/16;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/3;0/0;0/51,1/26,2/52
359.79;0;16;1;3;0/359.79;0/115.77,1/209.79,2/144.58;0/359.79;0/359.79,1/359.79,2/359.79;0/0;0/12,1/12,2/10;0/0;0/19,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/4;0/0;0/64,1/40,2/56
419.68;0;19;1;3;0/419.68;0/125.22,1/225.33,2/173.92;0/419.68;0/419.68,1/419.68,2/419.68;0/0;0/11,1/11,2/11;0/0;0/14,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/5;0/0;0/77,1/51,2/64
479.97;0;23;1;3;0/479.97;0/142.31,1/249.86,2/216.49;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/13,1/8,2/13;0/0;0/17,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/7;0/0;0/88,1/61,2/69
539.98;0;26;1;3;0/539.98;0/186.87,1/255.65,2/263.83;0/539.98;0/539.98,1/539.98,2/539.98;0/0;0/8,1/10,2/10;0/0;0/15,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/8;0/0;0/92,1/75,2/72
599.98;0;28;1;3;0/599.98;0/193.57,1/286.12,2/272.93;0/599.98;0/599.98,1/599.98,2/599.98;0/0;0/8,1/9,2/11;0/0;0/12,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/9;0/0;0/106,1/83,2/86
659.88;0;31;1;3;0/659.88;0/206.49,1/293.18,2/299.34;0/659.88;0/659.88,1/659.88,2/659.88;0/0;0/11,1/14,2/8;0/0;0/16,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/11,2/10;0/0;0/118,1/96,2/95
719.94;0;33;1;3;0/719.94;0/243.83,1/326.03,2/336.77;0/719.94;0/719.94,1/719.94,2/719.94;0/0;0/11,1/11,2/10;0/0;0/16,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/10;0/0;0/124,1/103,2/100
779.65;0;38;1;3;0/779.65;0/268.52,1/362.51,2/354.4;0/779.65;0/779.65,1/779.65,2/779.65;0/0;0/11,1/12,2/10;0/0;0/14,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/12;0/0;0/133,1/109,2/111
839.68;0;42;1;3;0/839.68;0/312.83,1/392,2/376.33;0/839.68;0/839.68,1/839.68,2/839.68;0/0;0/8,1/12,2/7;0/0;0/12,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/14,1/15,2/13;0/0;0/137,1/117,2/121
