#TimeStamp;TripTime;Type
39;18;O
39;25;O
51;22;O
53;25;O
59;12;O
71;16;O
117;22;O
172;18;O
186;22;O
203;16;O
219;28;O
241;27;O
245;27;O
288;23;O
303;12;O
315;12;O
341;18;O
381;20;O
388;33;O
396;19;O
396;17;O
456;21;O
469;33;O
477;20;O
494;25;O
535;20;O
537;20;O
553;25;O
567;19;O
603;32;O
614;17;O
634;28;O
645;21;O
647;18;O
671;14;O
696;21;O
713;22;O
742;20;O
749;20;O
757;33;O
805;17;O
830;27;O
858;36;O
862;24;O
881;10;O
895;30;O
927;26;O
943;16;O
974;19;O
1000;19;O
1008;26;O
1017;22;O
1018;23;O
1034;13;O
1044;19;O
1069;13;O
1091;23;O
1102;14;O
1118;23;O
1123;8;O
1129;21;O
1135;24;O
1182;24;O
1198;21;O
1203;27;O
1220;23;O
1246;25;O
1260;21;O
1271;19;O
1275;21;O
1290;20;O
1337;16;O
1355;26;O
1376;21;O
1389;12;O
1421;15;O
1423;33;O
1440;25;O
1458;28;O
1465;26;O
1484;16;O
1515;24;O
1519;20;O
1541;30;O
1549;17;O
1570;18;O
1586;13;O
1596;15;O
1623;15;O
1630;18;O
1646;20;O
1656;25;O
1657;11;O
1672;23;O
1702;23;O
1722;19;O
1724;12;O
1727;12;O
1752;20;O
1754;23;O
1769;23;O
1794;16;O
1796;23;O
