#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.96;0;0;1;3;0/59.96;0/48.49,1/54.22,2/59.96;0/59.96;0/59.96,1/59.96,2/59.96;0/0;0/15,1/11,2/11;0/0;0/20,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/2,2/0
119.84;0;1;1;3;0/119.84;0/73.85,1/59.24,2/77.63;0/119.84;0/119.84,1/119.84,2/119.84;0/0;0/13,1/11,2/11;0/0;0/19,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/12,1/16,2/11
179.99;0;6;1;3;0/179.99;0/86.43,1/89.2,2/103.23;0/179.99;0/179.99,1/179.99,2/179.99;0/0;0/14,1/11,2/15;0/0;0/15,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/1;0/0;0/25,1/24,2/20
239.89;0;8;1;3;0/239.89;0/140.82,1/97.26,2/150.31;0/239.89;0/239.89,1/239.89,2/239.89;0/0;0/10,1/11,2/10;0/0;0/14,1/14,2/18;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/2;0/0;0/26,1/38,2/24
299.9;0;12;1;3;0/299.9;0/174.7,1/116.05,2/156.53;0/299.9;0/299.9,1/299.9,2/299.9;0/0;0/10,1/15,2/13;0/0;0/15,1/17,2/20;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/3;0/0;0/33,1/48,2/38
359.78;0;15;1;3;0/359.78;0/181.81,1/153.23,2/171.11;0/359.78;0/359.78,1/359.78,2/359.78;0/0;0/14,1/8,2/11;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/4;0/0;0/47,1/54,2/50
419.58;0;17;1;3;0/419.58;0/235.4,1/181.55,2/176.59;0/419.58;0/419.58,1/419.58,2/419.58;0/0;0/11,1/13,2/14;0/0;0/16,1/19,2/21;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/4;0/0;0/49,1/62,2/64
479.89;0;22;1;3;0/479.89;0/242.86,1/202.1,2/194.17;0/479.89;0/479.89,1/479.89,2/479.89;0/0;0/12,1/16,2/15;0/0;0/18,1/22,2/19;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/6;0/0;0/62,1/73,2/75
539.66;0;24;1;3;0/539.66;0/252.85,1/213.1,2/201.15;0/539.66;0/539.66,1/539.66,2/539.66;0/0;0/13,1/17,2/15;0/0;0/15,1/20,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/7;0/0;0/75,1/85,2/89
599.73;0;27;1;3;0/599.73;0/287.1,1/257.96,2/257.68;0/599.73;0/599.73,1/599.73,2/599.73;0/0;0/10,1/13,2/13;0/0;0/14,1/20,2/16;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/8;0/0;0/82,1/89,2/90
660;0;31;1;3;0/660;0/293.9,1/273.72,2/280.26;0/660;0/660,1/660,2/660;0/0;0/14,1/12,2/15;0/0;0/15,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/9;0/0;0/96,1/101,2/99
719.95;0;35;1;3;0/719.95;0/347.72,1/281.57,2/326;0/719.95;0/719.95,1/719.95,2/719.95;0/0;0/9,1/17,2/14;0/0;0/15,1/20,2/16;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/11;0/0;0/97,1/114,2/103
779.68;0;38;1;3;0/779.68;0/372.31,1/310.2,2/370.59;0/779.68;0/779.68,1/779.68,2/779.68;0/0;0/9,1/15,2/11;0/0;0/15,1/19,2/15;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/12;0/0;0/107,1/122,2/107
839.98;0;41;1;3;0/839.98;0/378.92,1/347.49,2/387.27;0/839.98;0/839.98,1/839.98,2/839.98;0/0;0/9,1/14,2/8;0/0;0/15,1/18,2/13;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/13;0/0;0/121,1/128,2/118
