#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;1
4.85;0;1
5.94;0;2
7.03;0;3
9.7;0;1
12.53;0;1
13.62;0;1
14.73;0;1
15.77;0;1
16.86;0;1
17.93;0;2
20.56;0;1
21.64;0;1
25.14;0;1
26.72;0;1
28.45;0;1
31.37;0;1
32.5;0;1
33.57;0;3
34.66;0;1
36.24;0;1
37.33;0;1
38.41;0;1
40;0;1
41.74;0;1
42.83;0;1
44.25;0;1
46.12;0;1
47.74;0;1
50.96;0;1
53.32;0;1
56.03;0;1
57.34;0;1
60.02;0;1
61.09;0;1
64.59;0;1
74.19;0;1
79.2;0;1
81.69;0;1
88.7;0;1
93.88;0;1
95.32;0;1
98.95;0;1
102.24;0;1
103.33;0;1
104.58;0;1
106.01;0;1
107.1;0;1
108.52;0;1
116.05;0;1
118.47;0;2
120.86;0;1
124.98;0;1
126.03;0;2
128.61;0;1
130.25;0;1
134.93;0;1
136.02;0;2
137.16;0;1
138.69;0;1
139.78;0;2
142.03;0;1
143.12;0;1
144.43;0;1
146.16;0;1
147.32;0;1
148.93;0;1
150;0;1
153.25;0;1
154.52;0;1
155.92;0;3
158.59;0;1
160.09;0;1
162.76;0;1
172.55;0;1
173.84;0;2
176.05;0;1
177.26;0;2
182.6;0;1
185.43;0;1
187.43;0;1
189.32;0;1
190.93;0;1
195.44;0;1
201.02;0;1
207.56;0;1
211.19;0;1
217.73;0;1
221.44;0;1
224.16;0;1
226.79;0;1
227.98;0;1
229.07;0;1
237.71;0;1
238.76;0;1
241.21;0;1
243.29;0;1
248.55;0;1
250.72;0;1
253.46;0;1
256.96;0;1
258.84;0;1
259.93;0;1
261.18;0;1
267.68;0;1
270.04;0;1
271.13;0;1
272.44;0;1
276.19;0;1
278.81;0;1
280.92;0;2
282.69;0;1
283.96;0;1
285.38;0;1
289.97;0;1
291.05;0;1
293.18;0;1
294.41;0;1
295.76;0;1
297.11;0;1
298.63;0;1
300.14;0;1
301.97;0;1
303.18;0;1
308.34;0;1
309.98;0;1
311.01;0;1
314.07;0;1
315.39;0;1
318.68;0;1
324.06;0;1
326.69;0;1
327.94;0;2
329.98;0;1
334.85;0;1
336.82;0;1
339.44;0;1
340.6;0;1
341.69;0;2
344.1;0;1
345.19;0;1
346.28;0;1
347.28;0;3
348.32;0;1
350.78;0;1
352.5;0;1
354.54;0;1
356;0;1
357.73;0;1
360.31;0;1
364.04;0;1
366.88;0;1
370.42;0;1
373.51;0;2
375.63;0;1
383.82;0;1
385.01;0;1
386.49;0;1
388.06;0;1
392.14;0;1
395.26;0;1
399.22;0;1
400.66;0;1
404.16;0;1
410.11;0;1
413.1;0;1
419.52;0;1
422.6;0;1
426.13;0;1
431.18;0;2
438.31;0;1
440.48;0;1
441.48;0;1
443.15;0;1
444.77;0;1
446.48;0;1
448.94;0;1
450.02;0;1
451.32;0;1
452.94;0;1
455.87;0;1
456.87;0;2
457.92;0;1
458.96;0;1
460;0;1
461.16;0;1
462.41;0;2
465.65;0;1
467;0;1
469.19;0;1
472.33;0;1
475.37;0;1
476.7;0;1
477.79;0;1
479.13;0;1
480.17;0;1
481.26;0;1
482.79;0;1
483.83;0;2
485.53;0;1
491.33;0;1
492.96;0;1
494.08;0;2
496.01;0;1
497.09;0;1
498.18;0;1
503.21;0;1
504.3;0;1
505.42;0;2
506.77;0;1
507.97;0;1
509.06;0;1
511.59;0;1
512.98;0;2
518.14;0;1
523.79;0;1
525.23;0;1
527.95;0;1
537.45;0;1
538.71;0;1
541.33;0;1
542.67;0;1
552.83;0;1
556.56;0;1
560.46;0;1
562.72;0;1
565.72;0;1
572.97;0;1
575.18;0;1
577.97;0;1
580.04;0;1
581.1;0;1
584.68;0;1
586.43;0;1
590.88;0;2
593.44;0;1
596.97;0;1
598.95;0;1
599.95;0;2
600.99;0;1
602.27;0;2
603.69;0;1
604.73;0;1
606.15;0;1
607.2;0;1
608.52;0;1
609.57;0;1
610.82;0;3
612.87;0;1
613.91;0;2
615.33;0;1
616.74;0;1
617.95;0;2
618.95;0;2
620;0;1
621;0;1
622.04;0;1
623.16;0;2
624.21;0;1
625.54;0;1
628;0;1
629.67;0;1
630.75;0;1
631.84;0;1
635.13;0;1
636.66;0;1
637.75;0;1
640.63;0;1
641.72;0;2
644.21;0;1
645.63;0;1
646.91;0;1
648.25;0;1
649.42;0;1
650.72;0;1
651.84;0;1
653.82;0;1
656.68;0;1
659.98;0;1
662.9;0;1
666.15;0;1
667.31;0;1
669.03;0;1
675.86;0;1
677.4;0;1
678.49;0;1
680.7;0;1
685.54;0;1
687.96;0;1
698.2;0;1
699.95;0;1
701.25;0;1
702.28;0;1
703.37;0;1
709.42;0;1
712.16;0;1
715.71;0;1
717.27;0;1
718.72;0;1
722.54;0;1
726.04;0;1
727.17;0;1
728.4;0;1
729.44;0;1
732.89;0;1
734.57;0;1
738.95;0;1
743.14;0;1
745.97;0;1
750.14;0;1
751.78;0;2
756.16;0;1
758.65;0;1
759.71;0;1
