#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;88.89;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.97;88.89;0.14;PP/0.01,TA/0.08,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.95;88.55;0.33;PP/0.01,TA/0.24,IS/0,PS/0.14,RB/0,OB/0.02,RP/0
179.91;88.41;0.41;PP/0.01,TA/0.28,IS/0,PS/0.15,RB/0,OB/0.02,RP/0
239.8;88.4;0.45;PP/0.02,TA/0.29,IS/0,PS/0.16,RB/0,OB/0.03,RP/0
299.83;88.4;0.55;PP/0.02,TA/0.32,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
359.68;88.4;0.61;PP/0.03,TA/0.33,IS/0,PS/0.17,RB/0,OB/0.04,RP/0
420;88.4;0.69;PP/0.03,TA/0.35,IS/0,PS/0.18,RB/0,OB/0.05,RP/0
479.95;88.31;0.76;PP/0.04,TA/0.35,IS/0,PS/0.19,RB/0,OB/0.07,RP/0
539.98;88.06;0.88;PP/0.05,TA/0.41,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
599.76;88.63;1.03;PP/0.07,TA/0.44,IS/0,PS/0.2,RB/0,OB/0.1,RP/0
659.74;88.57;1.14;PP/0.07,TA/0.46,IS/0,PS/0.21,RB/0,OB/0.12,RP/0
719.86;88.27;1.31;PP/0.08,TA/0.54,IS/0,PS/0.21,RB/0,OB/0.13,RP/0
779.82;88.21;1.44;PP/0.09,TA/0.58,IS/0,PS/0.23,RB/0,OB/0.16,RP/0
839.92;88.21;1.54;PP/0.1,TA/0.62,IS/0,PS/0.23,RB/0,OB/0.17,RP/0
899.86;88.22;1.62;PP/0.11,TA/0.64,IS/0,PS/0.24,RB/0,OB/0.17,RP/0
959.83;88.22;1.7;PP/0.11,TA/0.65,IS/0,PS/0.24,RB/0,OB/0.18,RP/0
1019.62;88.22;1.77;PP/0.12,TA/0.67,IS/0,PS/0.25,RB/0,OB/0.19,RP/0
1079.86;88.22;1.88;PP/0.13,TA/0.73,IS/0,PS/0.26,RB/0,OB/0.2,RP/0
1139.8;88.22;1.96;PP/0.14,TA/0.75,IS/0,PS/0.27,RB/0,OB/0.21,RP/0
1200;87.88;2.03;PP/0.14,TA/0.76,IS/0,PS/0.27,RB/0,OB/0.21,RP/0
1259.65;87.68;2.07;PP/0.15,TA/0.76,IS/0,PS/0.27,RB/0,OB/0.21,RP/0
1319.81;87.55;2.11;PP/0.15,TA/0.77,IS/0,PS/0.28,RB/0,OB/0.22,RP/0
1379.99;87.5;2.17;PP/0.16,TA/0.79,IS/0,PS/0.29,RB/0,OB/0.22,RP/0
1439.97;87.5;2.21;PP/0.16,TA/0.8,IS/0,PS/0.29,RB/0,OB/0.23,RP/0
1499.79;87.5;2.24;PP/0.16,TA/0.81,IS/0,PS/0.3,RB/0,OB/0.23,RP/0
1559.85;87.5;2.28;PP/0.17,TA/0.81,IS/0,PS/0.3,RB/0,OB/0.23,RP/0
1619.99;87.5;2.31;PP/0.17,TA/0.82,IS/0,PS/0.31,RB/0,OB/0.23,RP/0
1679.64;87.36;2.34;PP/0.18,TA/0.82,IS/0,PS/0.31,RB/0,OB/0.24,RP/0
1739.85;87.15;2.38;PP/0.18,TA/0.83,IS/0,PS/0.31,RB/0,OB/0.24,RP/0
1799.65;87.01;2.42;PP/0.19,TA/0.84,IS/0,PS/0.31,RB/0,OB/0.24,RP/0
