#TimeStamp;Bot;Pod;OutputStation
45.86;5;31;1
49.9;5;31;1
51.71;2;4;0
54.13;5;31;1
55.92;2;4;0
58.32;5;31;1
59.88;2;4;0
60.01;3;33;2
62.52;5;31;1
63.97;2;4;0
64.06;3;33;2
66.57;5;31;1
67.74;2;4;0
68.15;3;33;2
71.99;2;4;0
72.48;3;33;2
73.74;0;3;1
76.06;2;4;0
76.9;3;33;2
78.06;0;3;1
80.1;2;4;0
81.32;3;33;2
81.9;0;3;1
84.15;2;4;0
85.74;3;33;2
86.1;0;3;1
88.37;2;4;0
90.1;0;3;1
90.1;3;33;2
92.73;2;4;0
94.07;0;3;1
94.15;3;33;2
97.86;0;3;1
99.41;4;2;0
101.45;1;10;2
102.02;0;3;1
103.65;4;2;0
105.82;1;10;2
107.82;4;2;0
109.86;1;10;2
111.86;4;2;0
113.83;1;10;2
115.48;4;2;0
117.83;1;10;2
119.5;4;2;0
120.66;5;47;1
121.9;1;10;2
123.9;4;2;0
124.75;5;47;1
125.99;1;10;2
127.97;4;2;0
128.8;5;47;1
132.39;4;2;0
132.9;5;47;1
136.44;4;2;0
140.51;4;2;0
144.66;4;2;0
148.73;4;2;0
168.38;0;4;1
172.46;0;4;1
173.97;3;23;2
176.64;0;4;1
178.01;3;23;2
180.48;0;4;1
182.43;3;23;2
184.68;0;4;1
185.35;2;57;0
186.65;3;23;2
188.74;0;4;1
189.41;2;57;0
190.7;3;23;2
192.89;0;4;1
193.56;2;57;0
194.65;3;23;2
197.42;2;57;0
199.82;5;5;1
201.69;2;57;0
201.73;1;15;2
204;5;5;1
205.7;2;57;0
205.79;1;15;2
207.79;5;5;1
210.04;1;15;2
211.67;5;5;1
214.09;1;15;2
215.71;5;5;1
218.13;1;15;2
220.06;5;5;1
222.17;1;15;2
224.17;5;5;1
226.22;1;15;2
228.22;5;5;1
230.26;1;15;2
232.26;5;5;1
234.31;1;15;2
234.77;4;7;0
236.31;5;5;1
238.4;1;15;2
238.82;4;7;0
240.35;5;5;1
242.82;1;15;2
242.86;4;7;0
244.4;5;5;1
246.88;1;15;2
246.92;4;7;0
248.82;5;5;1
