#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.97;0;0;1;3;0/59.97;0/52.07,1/47.24,2/59.97;0/59.97;0/59.97,1/59.97,2/59.97;0/0;0/8,1/8,2/10;0/0;0/15,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/4,2/0
119.99;0;3;1;3;0/119.99;0/59.06,1/66.44,2/68.57;0/119.99;0/119.99,1/119.99,2/119.99;0/0;0/9,1/10,2/14;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/17,1/14,2/14
179.98;0;6;1;3;0/179.98;0/88.1,1/100.17,2/113.67;0/179.98;0/179.98,1/179.98,2/179.98;0/0;0/11,1/8,2/10;0/0;0/19,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/3,2/2;0/0;0/24,1/21,2/18
239.7;0;10;1;3;0/239.7;0/119.88,1/106.59,2/119.69;0/239.7;0/239.7,1/239.7,2/239.7;0/0;0/12,1/8,2/7;0/0;0/20,1/11,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/4,2/3;0/0;0/32,1/35,2/32
299.87;0;12;1;3;0/299.87;0/122.86,1/113.15,2/127.23;0/299.87;0/299.87,1/299.87,2/299.87;0/0;0/14,1/9,2/9;0/0;0/18,1/12,2/21;0/0;0/2,1/2,2/2;0/0;0/3,1/5,2/4;0/0;0/46,1/49,2/46
359.86;0;15;1;3;0/359.86;0/160.08,1/160.95,2/133.49;0/359.86;0/359.86,1/359.86,2/359.86;0/0;0/12,1/9,2/9;0/0;0/19,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/4,1/6,2/5;0/0;0/52,1/52,2/60
419.92;0;18;1;3;0/419.92;0/193.31,1/191.86,2/164.43;0/419.92;0/419.92,1/419.92,2/419.92;0/0;0/12,1/9,2/6;0/0;0/15,1/10,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/8,2/5;0/0;0/59,1/60,2/67
479.97;0;21;1;3;0/479.97;0/214.87,1/225.45,2/174.35;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/13,1/9,2/12;0/0;0/20,1/12,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/9,2/6;0/0;0/69,1/67,2/80
540;0;24;1;3;0/540;0/222.55,1/234.01,2/211.06;0/540;0/540,1/540,2/540;0/0;0/12,1/7,2/8;0/0;0/16,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/7,1/10,2/7;0/0;0/83,1/80,2/86
599.92;0;27;1;3;0/599.92;0/249.93,1/247.67,2/216.71;0/599.92;0/599.92,1/599.92,2/599.92;0/0;0/9,1/9,2/9;0/0;0/19,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/11,2/8;0/0;0/91,1/93,2/101
659.84;0;31;1;3;0/659.84;0/271.53,1/272.95,2/222.89;0/659.84;0/659.84,1/659.84,2/659.84;0/0;0/9,1/8,2/10;0/0;0/16,1/11,2/14;0/0;0/2,1/2,2/2;0/0;0/10,1/12,2/9;0/0;0/101,1/102,2/115
719.82;0;34;1;3;0/719.82;0/277.75,1/279.52,2/228.98;0/719.82;0/719.82,1/719.82,2/719.82;0/0;0/14,1/12,2/10;0/0;0/14,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/11,1/13,2/10;0/0;0/115,1/115,2/129
779.92;0;36;1;3;0/779.92;0/336.78,1/332.23,2/255.22;0/779.92;0/779.92,1/779.92,2/779.92;0/0;0/9,1/9,2/9;0/0;0/14,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/14,2/11;0/0;0/115,1/117,2/137
839.98;0;40;1;3;0/839.98;0/349.63,1/373.78,2/306.61;0/839.98;0/839.98,1/839.98,2/839.98;0/0;0/10,1/7,2/7;0/0;0/14,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/13,1/15,2/12;0/0;0/128,1/122,2/140
899.96;0;44;1;3;0/899.96;0/376.7,1/406.42,2/314.16;0/899.96;0/899.96,1/899.96,2/899.96;0/0;0/12,1/10,2/7;0/0;0/16,1/12,2/11;0/0;0/2,1/2,2/2;0/0;0/14,1/17,2/13;0/0;0/137,1/129,2/153
960;0;48;1;3;0/960;0/394.55,1/443.81,2/343.42;0/960;0/960,1/960,2/960;0/0;0/14,1/10,2/8;0/0;0/15,1/12,2/18;0/0;0/2,1/2,2/2;0/0;0/15,1/19,2/14;0/0;0/147,1/135,2/162
1019.8;0;51;1;3;0/1019.8;0/436.57,1/491.56,2/349.7;0/1019.8;0/1019.8,1/1019.8,2/1019.8;0/0;0/12,1/8,2/7;0/0;0/15,1/11,2/12;0/0;0/2,1/2,2/2;0/0;0/17,1/19,2/15;0/0;0/152,1/138,2/176
1079.92;0;55;1;3;0/1079.92;0/464.67,1/514.33,2/356.38;0/1079.92;0/1079.92,1/1079.92,2/1079.92;0/0;0/16,1/10,2/7;0/0;0/19,1/12,2/11;0/0;0/2,1/2,2/2;0/0;0/18,1/21,2/16;0/0;0/160,1/148,2/190
1139.73;0;58;1;3;0/1139.73;0/508.97,1/565.32,2/380.19;0/1139.73;0/1139.73,1/1139.73,2/1139.73;0/0;0/15,1/9,2/9;0/0;0/18,1/12,2/13;0/0;0/2,1/2,2/2;0/0;0/19,1/22,2/17;0/0;0/164,1/151,2/199
1199.97;0;62;1;3;0/1199.97;0/534.91,1/600.18,2/387.04;0/1199.97;0/1199.97,1/1199.97,2/1199.97;0/0;0/13,1/10,2/9;0/0;0/18,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/21,1/23,2/18;0/0;0/173,1/157,2/213
1259.59;0;64;1;3;0/1259.59;0/594.52,1/621.27,2/413.66;0/1259.59;0/1259.59,1/1259.59,2/1259.59;0/0;0/10,1/9,2/11;0/0;0/18,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/21,1/24,2/19;0/0;0/173,1/167,2/221
