#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.28
59.71;200;200;0;51.87;0;59.71;0;0.31
119.79;200;200;0;87.39;0;119.79;0;0.29
179.73;200;200;0;119.38;0;167.72;0;0.32
239.75;200;200;0;142.76;0;217.61;0;0.4
299.73;200;200;0;188.13;0;283.43;0;0.33
359.96;200;200;0;208.72;0;332.64;0;0.39
419.65;200;200;0;225.12;0;356.89;0;0.32
479.91;200;200;0;214.55;0;380.79;0;0.39
539.97;200;200;0;229.42;0;406.83;0;0.46
599.63;200;200;0;255.35;0;464.23;0;0.51
659.6;200;200;0;268.24;0;503.64;0;0.57
719.72;200;200;0;284.15;0;575.7;0;0.53
779.91;200;200;0;332.48;0;641.4;0;0.51
839.85;200;200;0;335.08;0;652.74;0;0.52
899.97;200;200;0;363.54;0;684;0;0.56
959.93;200;200;0;376.58;0;690.02;0;0.53
1019.93;200;200;0;373.37;0;767.87;0;0.53
1079.97;200;200;0;364.95;0;777.35;0;0.55
1139.67;200;200;0;427.7;0;851.24;0;0.56
1199.99;200;191;0;445.45;0;941.02;0;0.55
1259.89;200;192;0;461.74;0;1064.77;0;0.53
1319.99;200;177;0;445.41;0;1099.2;0;0.53
1379.98;200;176;0;496.17;0;1137.11;0;0.55
1439.87;200;159;0;443.11;0;1126.86;0;0.53
1499.82;200;147;0;399.72;0;1234.27;0;0.57
1559.61;200;142;0;423.51;0;1326.96;0;0.6
1619.8;200;138;0;457.12;0;1315.1;0;0.58
1679.97;200;126;0;487.74;0;1425.7;0;0.57
1739.96;200;116;0;485.19;0;1452.04;0;0.58
1799.88;200;109;0;419.07;0;1495.28;0;0.58
