#TimeStamp;Bot;Pod;OutputStation
40;2;38;0
44.16;2;38;0
48.4;2;38;0
52.82;2;38;0
53.62;5;2;1
55.53;3;24;2
56.91;2;38;0
57.89;5;2;1
59.58;3;24;2
61.33;2;38;0
62;5;2;1
63.95;3;24;2
65.75;2;38;0
65.75;5;2;1
68.11;3;24;2
70.11;2;38;0
70.11;5;2;1
72.15;3;24;2
74.15;2;38;0
74.15;5;2;1
76.2;3;24;2
78.13;2;38;0
78.2;5;2;1
80.24;3;24;2
82.22;2;38;0
82.26;5;2;1
84.3;3;24;2
86.28;2;38;0
86.32;5;2;1
88.37;3;24;2
90.32;2;38;0
90.37;5;2;1
92.43;3;24;2
96.85;3;24;2
97.27;4;1;0
98.36;0;59;1
101.27;4;1;0
101.27;3;24;2
102.4;0;59;1
105.47;4;1;0
105.52;3;24;2
106.45;0;59;1
109.52;4;1;0
109.94;3;24;2
110.36;0;59;1
113.42;4;1;0
114.36;0;59;1
114.36;3;24;2
117.53;4;1;0
118.24;0;59;1
118.49;3;24;2
121.57;4;1;0
122.46;0;59;1
122.5;3;24;2
125.65;4;1;0
126.5;0;59;1
129.84;1;7;2
130.07;4;1;0
130.58;0;59;1
133.93;1;7;2
134.12;4;1;0
135;0;59;1
138.07;1;7;2
138.16;4;1;0
139.04;0;59;1
142.02;1;7;2
142.12;4;1;0
145.8;1;7;2
150.06;1;7;2
154.12;1;7;2
158.19;1;7;2
160.14;5;45;1
162.61;1;7;2
163.59;2;12;0
164.19;5;45;1
166.7;1;7;2
167.63;2;12;0
168.61;5;45;1
171.81;2;12;0
172.76;5;45;1
176.05;2;12;0
177.01;5;45;1
181.15;5;45;1
185.23;5;45;1
189.23;5;45;1
198.26;4;47;0
202.35;4;47;0
203.49;0;31;1
206.32;4;47;0
207.65;0;31;1
210.1;4;47;0
212.04;0;31;1
214.38;4;47;0
214.52;3;22;2
216.08;0;31;1
218.55;4;47;0
218.66;3;22;2
220.42;0;31;1
222.66;4;47;0
222.66;3;22;2
224.46;0;31;1
226.78;4;47;0
226.78;3;22;2
228.51;0;31;1
230.97;3;22;2
231.13;4;47;0
232.85;0;31;1
234.97;3;22;2
