#TimeStamp;Runtime;Requests
0.88;0;6
2.93;0;1
4.18;0;1
5.52;0;1
6.8;0;2
7.89;0;1
9.63;0;1
10.77;0;1
12.97;0;1
14.23;0;1
16.86;0;1
17.98;0;1
19.81;0;1
21.65;0;1
22.77;0;1
24.81;0;1
28.44;0;1
30;0;1
31.11;0;1
32.34;0;3
33.73;0;1
35.28;0;1
36.32;0;1
37.6;0;1
38.69;0;1
44.11;0;1
49.72;0;1
51.44;0;1
52.65;0;1
54.69;0;1
57.57;0;1
58.66;0;1
92.85;0;1
93.92;0;1
102.76;0;1
103.98;0;1
105.43;0;1
114.23;0;1
115.56;0;1
117.57;0;1
118.6;0;1
124.41;0;1
125.61;0;1
132.07;0;1
133.09;0;1
134.12;0;1
135.12;0;2
136.12;0;2
137.2;0;1
138.2;0;1
139.41;0;1
140.79;0;1
141.97;0;1
143.66;0;1
144.71;0;1
146.91;0;1
148.16;0;1
150.5;0;1
151.59;0;1
152.68;0;1
153.97;0;2
156.64;0;1
159.26;0;1
162.66;0;1
166.61;0;1
169.64;0;1
173.88;0;1
174.88;0;1
175.92;0;1
176.97;0;1
177.97;0;2
179.06;0;3
180.06;0;1
181.1;0;1
182.49;0;1
185.23;0;1
186.32;0;1
188.72;0;1
189.73;0;1
190.82;0;3
191.9;0;1
193.28;0;1
200.98;0;1
202.11;0;1
203.2;0;1
204.29;0;1
210.06;0;1
212.04;0;1
213.13;0;1
214.34;0;1
219.13;0;1
224.01;0;1
225.24;0;1
227.3;0;1
230.79;0;1
232.18;0;1
235.68;0;1
241.79;0;1
244.51;0;1
245.8;0;1
248;0;1
255.97;0;1
261.51;0;1
266.1;0;1
268.93;0;1
270.02;0;1
274.86;0;1
276.86;0;1
285.03;0;1
286.18;0;1
287.37;0;1
288.68;0;1
295.28;0;1
296.99;0;1
298.08;0;2
300.07;0;1
301.16;0;2
304.9;0;1
306.25;0;1
307.83;0;1
308.92;0;1
309.99;0;1
313.41;0;1
316.96;0;1
318.05;0;1
320.83;0;1
321.92;0;2
323.13;0;1
324.51;0;1
326.49;0;2
327.57;0;1
330.68;0;2
334.63;0;1
340.18;0;1
341.5;0;1
344.72;0;1
345.76;0;1
346.85;0;1
348.1;0;1
350.14;0;2
354.27;0;1
355.93;0;1
357.02;0;1
358.22;0;1
359.43;0;1
360.52;0;1
366.44;0;1
367.6;0;1
369.27;0;1
373.18;0;1
374.22;0;1
375.31;0;1
377.72;0;1
378.81;0;1
384.93;0;1
391.47;0;1
392.6;0;1
394.93;0;1
404.78;0;1
407.45;0;1
408.68;0;1
411.69;0;1
415.03;0;1
416.38;0;1
418.53;0;1
419.87;0;1
422.03;0;1
427.88;0;1
432.37;0;1
433.96;0;1
438.13;0;1
440.62;0;1
441.67;0;1
444.34;0;1
446.12;0;1
449.18;0;1
450.52;0;1
452.13;0;1
453.25;0;1
454.59;0;1
457.2;0;1
459.29;0;2
462.3;0;1
463.33;0;1
464.42;0;1
465.68;0;1
466.68;0;1
470.8;0;1
473.56;0;1
474.56;0;1
475.61;0;1
476.65;0;2
477.7;0;2
478.74;0;1
479.76;0;1
480.81;0;3
481.81;0;2
482.89;0;1
484.06;0;1
485.14;0;2
486.27;0;1
488.36;0;1
489.4;0;1
492.03;0;1
493.44;0;2
494.44;0;1
495.57;0;1
496.6;0;1
497.98;0;3
499.07;0;1
501.23;0;2
504.72;0;1
506.1;0;1
507.49;0;1
508.74;0;1
510.98;0;1
512.11;0;1
516.76;0;1
518.95;0;1
520;0;2
529.5;0;1
530.87;0;1
532.91;0;2
534.28;0;1
536.95;0;1
539.08;0;1
540.95;0;1
542.34;0;1
547.08;0;1
548.46;0;1
551.8;0;1
552.88;0;1
557.25;0;1
558.64;0;2
559.8;0;1
563.14;0;1
564.28;0;1
565.61;0;1
566.77;0;1
579.2;0;1
580.61;0;1
581.82;0;1
583.2;0;1
585.24;0;1
592.7;0;1
593.79;0;2
595.13;0;1
596.46;0;1
597.75;0;1
599.29;0;1
600.63;0;1
601.96;0;2
603.04;0;1
605.02;0;1
606.11;0;1
607.64;0;1
611.38;0;1
615.15;0;1
617.73;0;1
619.37;0;1
621.9;0;2
623.29;0;1
631.63;0;2
634.26;0;1
635.54;0;1
636.88;0;1
639.09;0;1
640.42;0;1
641.55;0;1
642.85;0;1
644.18;0;1
645.21;0;1
646.3;0;1
647.79;0;1
651.13;0;1
653.02;0;1
654.04;0;2
658.04;0;1
659.06;0;1
661.1;0;1
665.27;0;1
666.46;0;1
669.04;0;1
670.32;0;1
673.81;0;1
674.9;0;1
679.74;0;1
680.75;0;1
682.65;0;1
684.15;0;1
686.92;0;1
689.35;0;1
692.01;0;1
693.31;0;1
694.48;0;1
696.37;0;1
697.37;0;1
698.42;0;2
707.92;0;1
709.18;0;1
711.4;0;1
712.43;0;1
714.52;0;1
715.77;0;1
716.98;0;1
718.6;0;1
721.82;0;1
723.27;0;1
724.6;0;1
727.36;0;1
730.86;0;1
732.73;0;1
734.73;0;1
735.74;0;1
739.91;0;1
741.25;0;2
744.08;0;1
745.59;0;1
748.4;0;1
750.71;0;1
751.8;0;1
752.91;0;1
754.08;0;1
756.59;0;1
757.75;0;1
761.01;0;1
762.05;0;1
764.46;0;1
766.59;0;1
768.93;0;1
769.97;0;1
774.51;0;1
775.63;0;1
776.72;0;1
779.39;0;1
780.47;0;1
781.48;0;1
784.68;0;1
787.77;0;1
789.14;0;1
790.23;0;1
792.6;0;1
793.64;0;1
794.65;0;1
795.74;0;2
797.32;0;1
799.98;0;1
801.07;0;1
802.07;0;1
803.44;0;1
805.62;0;1
808.23;0;1
809.58;0;1
810.71;0;1
812.29;0;1
814.83;0;1
816.01;0;1
819.61;0;1
820.85;0;1
823.56;0;1
824.88;0;1
826.75;0;1
827.95;0;1
829.73;0;2
830.83;0;1
832.96;0;1
834.05;0;1
835.46;0;1
837.55;0;1
838.56;0;1
843.68;0;1
844.92;0;1
847.16;0;1
849.75;0;1
856.67;0;1
860.16;0;1
869.64;0;1
878.32;0;1
882.07;0;1
884.74;0;1
886.16;0;1
891.67;0;1
892.71;0;1
894.99;0;1
897.19;0;1
901;0;1
902.01;0;2
903.21;0;1
904.47;0;1
905.88;0;1
907.51;0;1
908.55;0;1
909.55;0;2
911.25;0;1
912.44;0;1
913.55;0;1
915.11;0;1
917.64;0;1
918.98;0;1
924.48;0;1
925.68;0;1
926.68;0;2
927.69;0;1
929.76;0;1
933.26;0;1
934.48;0;1
935.57;0;1
936.77;0;1
937.82;0;2
938.91;0;1
939.91;0;1
940.95;0;1
942.75;0;1
943.87;0;2
949.84;0;1
951.17;0;1
953.21;0;1
954.67;0;1
955.95;0;1
957.09;0;1
958.87;0;1
963.46;0;1
967.25;0;1
970.85;0;1
972.12;0;1
976.6;0;1
979.63;0;1
981.65;0;1
982.69;0;1
986.19;0;1
991.03;0;1
995.86;0;1
997.97;0;1
1000.64;0;1
1010.73;0;1
1012.24;0;1
1013.37;0;1
1014.69;0;1
1023.44;0;2
1024.44;0;1
1026.09;0;1
1027.39;0;1
1029.74;0;1
1035.19;0;1
1037.23;0;2
1039.57;0;1
1040.88;0;1
1042.08;0;1
1043.11;0;1
1044.11;0;1
1045.11;0;2
1046.2;0;1
1047.24;0;2
1048.28;0;1
1050.37;0;1
1051.6;0;1
1052.84;0;1
1053.86;0;1
1056.7;0;1
1057.82;0;2
1059.2;0;1
1061.73;0;1
1065.36;0;1
1066.66;0;1
1067.73;0;1
1068.9;0;2
1069.98;0;1
1071.19;0;1
1072.44;0;2
1075.08;0;1
1076.59;0;1
1079.93;0;1
1086.1;0;1
1087.25;0;1
1088.56;0;1
1089.81;0;1
1092.11;0;1
1093.78;0;1
1096.98;0;1
1098.81;0;1
1100.99;0;1
1102.51;0;1
1104.74;0;1
1106.04;0;1
1107.57;0;1
1108.82;0;1
1110.19;0;1
1111.44;0;1
1112.74;0;1
1114.94;0;1
1116.39;0;1
1117.53;0;1
1118.66;0;1
1119.75;0;1
1121.9;0;1
1123.25;0;1
1124.36;0;1
1127.35;0;1
1128.75;0;1
1132.04;0;1
1134.5;0;1
1135.59;0;1
1136.92;0;1
1138.22;0;1
1139.31;0;1
1142.32;0;1
1144.34;0;1
1145.81;0;1
1146.84;0;1
1149.09;0;2
1150.18;0;1
1151.27;0;1
1152.4;0;1
1153.93;0;1
1155.84;0;1
1156.98;0;1
1159.26;0;1
1160.88;0;1
1165.68;0;1
1169.31;0;1
1170.52;0;2
1171.57;0;1
1174.02;0;1
1182.32;0;1
1183.46;0;1
1184.53;0;1
1185.93;0;2
1188.03;0;1
1189.11;0;1
1190.44;0;1
1191.53;0;1
1193.06;0;1
1198.28;0;1
1202.4;0;1
1203.49;0;1
1204.78;0;1
1206.17;0;1
1208.83;0;1
1214.54;0;1
1215.79;0;1
1217.12;0;1
1218.25;0;1
1219.66;0;1
1223.09;0;1
1228.59;0;1
1230.68;0;1
1232.31;0;1
1233.68;0;1
1236.86;0;1
1240.36;0;1
1244.18;0;1
1247.68;0;1
1268.82;0;1
1277.33;0;1
1281.33;0;1
1284.82;0;1
1286.83;0;1
1287.88;0;1
1291.96;0;1
1295.08;0;1
1296.24;0;1
1297.54;0;1
1300;0;1
1302.05;0;1
1303.05;0;1
1304.09;0;1
1305.14;0;1
1306.18;0;1
1307.49;0;1
1309.46;0;1
1310.83;0;1
1313.97;0;1
1315.21;0;1
1316.32;0;2
1317.75;0;1
1318.99;0;1
1320;0;1
1321.31;0;2
1323.16;0;1
1324.25;0;1
1326.14;0;1
1327.23;0;1
1329.08;0;1
1334.1;0;1
1335.41;0;1
1336.73;0;1
1338.04;0;1
1339.15;0;2
1340.23;0;1
1341.32;0;1
1344.4;0;1
1345.73;0;1
1348.15;0;1
1349.38;0;1
1350.56;0;1
1352.44;0;1
1353.8;0;1
1356.57;0;1
1359.36;0;1
1363.85;0;1
1365.12;0;1
1366.56;0;1
1369.57;0;1
1373.45;0;1
1376.46;0;1
1378.62;0;1
1379.96;0;1
1384.75;0;1
1388.25;0;1
1389.3;0;1
1391.35;0;1
1392.43;0;1
1395.75;0;1
1397.02;0;1
1398.43;0;1
1399.84;0;1
1400.88;0;1
1404.85;0;1
1409.3;0;1
1410.36;0;1
1413.03;0;1
1415.01;0;1
1416.39;0;2
1417.87;0;1
1419.43;0;1
1422.01;0;1
1423.01;0;3
1424.06;0;1
1425.1;0;1
1426.15;0;1
1427.52;0;2
1428.73;0;1
1430.82;0;1
1435.94;0;1
1436.99;0;1
1438.24;0;2
1439.33;0;1
1440.58;0;1
1442.99;0;1
1445.5;0;1
1448.44;0;1
1450.45;0;1
1453.7;0;1
1455.89;0;1
1458.93;0;1
1460.54;0;1
1461.64;0;1
1464.03;0;1
1465.04;0;1
1470.43;0;1
1471.45;0;1
1472.55;0;1
1477.38;0;1
1479.96;0;1
1483.27;0;1
1484.4;0;1
1487.9;0;1
1489.05;0;1
1491.19;0;1
1492.52;0;1
1498.15;0;1
1501.4;0;1
1502.77;0;1
1505.28;0;1
1506.35;0;1
1507.56;0;2
1508.9;0;1
1510.78;0;1
1516.41;0;1
1517.41;0;1
1518.45;0;1
1519.5;0;1
1520.54;0;2
1521.59;0;2
1522.59;0;1
1523.67;0;2
1524.69;0;2
1525.83;0;1
1526.92;0;1
1528.01;0;1
1529.1;0;1
1530.16;0;1
1531.72;0;1
1532.79;0;1
1533.92;0;1
1535.1;0;1
1539.27;0;1
1540.41;0;2
1543.5;0;1
1544.59;0;1
1550.05;0;1
1551.3;0;1
1552.34;0;1
1553.72;0;2
1555.88;0;1
1557.22;0;1
1561.89;0;1
1565.47;0;1
1566.6;0;1
1569.27;0;1
1572.24;0;1
1575.61;0;1
1580.11;0;1
1582.46;0;1
1584.69;0;1
1586.93;0;1
1589.65;0;1
1591.3;0;1
1597.15;0;1
1598.24;0;1
1601.29;0;1
1602.38;0;1
1603.45;0;1
1607.46;0;1
1610.51;0;1
1611.71;0;1
1613.02;0;1
1614.15;0;1
1617.65;0;1
1623.35;0;1
1625.97;0;1
1629.91;0;1
1632.76;0;1
1634.06;0;2
1636.22;0;1
1637.5;0;1
1639.91;0;2
1642.95;0;1
1645.32;0;1
1648.82;0;1
1650.25;0;1
1651.36;0;1
1652.77;0;1
1653.81;0;1
1654.82;0;2
1655.91;0;2
1658.45;0;1
1659.83;0;3
1661.06;0;1
1662.29;0;2
1664;0;1
1665.09;0;1
1667.51;0;1
1668.59;0;1
1669.88;0;2
1670.96;0;1
1672.34;0;2
1673.43;0;1
1674.8;0;3
1676.85;0;1
1677.9;0;1
1683.02;0;1
1684.06;0;1
1685.06;0;1
1686.1;0;2
1687.1;0;1
1688.15;0;2
1689.19;0;2
1690.94;0;1
1691.97;0;1
1693.36;0;1
1694.44;0;1
1695.57;0;1
1697.94;0;2
1699.94;0;1
1701.39;0;1
1703.18;0;1
1704.32;0;1
1706.28;0;1
1709.07;0;1
1710.16;0;1
1711.56;0;1
1712.62;0;1
1714.17;0;1
1718.86;0;2
1720;0;1
1721.73;0;1
1723.09;0;2
1727.34;0;1
1731.88;0;1
1734.09;0;1
1735.23;0;1
1737.28;0;1
1742.28;0;1
1743.3;0;1
1745.46;0;1
1747.21;0;1
1748.26;0;1
1750.71;0;1
1752.09;0;1
1754.28;0;1
1757.32;0;2
1758.39;0;1
1759.54;0;1
1760.74;0;1
1763.11;0;1
1764.18;0;2
1765.29;0;1
1766.66;0;2
1769.29;0;1
1776.75;0;1
1777.84;0;1
1778.84;0;4
1779.89;0;1
1781.8;0;1
1783.02;0;1
1784.3;0;1
1785.49;0;2
1786.76;0;1
1787.83;0;1
1788.86;0;1
1789.95;0;2
1791.32;0;1
1792.61;0;1
1793.7;0;1
1797.01;0;1
1798.33;0;1
1799.57;0;2
