#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;1
4.85;0;1
5.94;0;2
7.03;0;2
9.7;0;1
12.94;0;1
14.28;0;2
15.37;0;1
16.37;0;1
17.41;0;1
18.46;0;2
19.5;0;2
20.5;0;2
21.59;0;1
22.64;0;1
23.68;0;1
24.72;0;1
25.77;0;2
26.81;0;2
27.86;0;2
32.02;0;1
33.11;0;4
34.49;0;1
35.57;0;1
36.66;0;1
38.66;0;1
40.7;0;1
43.49;0;1
44.58;0;1
46.16;0;1
49.42;0;1
50.51;0;1
52.33;0;1
53.99;0;1
60.16;0;1
67.55;0;1
70.8;0;2
73.3;0;1
74.72;0;1
79.97;0;1
80.98;0;1
88.22;0;1
89.53;0;1
91.07;0;1
92.2;0;1
94.39;0;1
95.49;0;1
97.11;0;1
101.83;0;1
102.92;0;1
106.02;0;1
108.68;0;1
110.66;0;1
111.76;0;1
113.33;0;1
114.42;0;2
117.09;0;1
118.85;0;1
120.59;0;1
121.92;0;1
122.94;0;1
123.94;0;2
126.61;0;1
130.15;0;1
131.4;0;1
132.41;0;1
135.49;0;1
141;0;1
145;0;1
147.78;0;1
155.95;0;1
157.91;0;1
163.45;0;1
167.41;0;1
174.51;0;1
175.6;0;1
177.66;0;1
181.61;0;1
184.68;0;1
186.43;0;1
192.79;0;1
193.79;0;1
194.93;0;1
196.72;0;1
197.79;0;2
200.02;0;1
202.96;0;1
204.19;0;1
208.71;0;1
211.75;0;1
213.21;0;1
215.72;0;1
216.81;0;1
218.08;0;1
219.89;0;1
220.98;0;1
222.12;0;2
226.96;0;1
231.15;0;1
232.36;0;1
234.4;0;1
235.8;0;1
236.86;0;1
239.19;0;1
240.2;0;1
241.7;0;1
243.07;0;1
244.2;0;1
245.2;0;2
246.62;0;1
248.7;0;1
259.24;0;1
260.75;0;1
262.08;0;1
263.5;0;1
264.62;0;1
266.04;0;1
267.29;0;1
272.12;0;1
273.18;0;1
278.29;0;1
279.31;0;1
280.44;0;2
281.53;0;1
282.84;0;1
283.95;0;1
285.3;0;2
291.94;0;1
295.55;0;1
300;0;1
301;0;1
302;0;3
303.05;0;1
304.14;0;1
305.14;0;1
306.14;0;1
308.6;0;1
309.67;0;2
318.97;0;1
320.51;0;1
321.51;0;1
323.1;0;1
327.93;0;1
329.16;0;1
330.6;0;1
332.48;0;1
333.89;0;1
335.08;0;1
336.48;0;1
338.06;0;1
343.32;0;1
348.69;0;1
351.36;0;1
352.58;0;1
355.66;0;1
360.86;0;1
362.71;0;1
363.8;0;1
365.13;0;1
366.42;0;2
369.25;0;1
370.34;0;1
373.84;0;1
374.88;0;1
375.97;0;1
377.55;0;1
378.64;0;1
380.84;0;1
382.93;0;1
387.17;0;1
388.26;0;1
389.48;0;1
390.77;0;2
392.35;0;1
396.27;0;2
397.53;0;1
403.91;0;1
405.23;0;1
406.59;0;1
408.99;0;1
410.02;0;2
411.66;0;1
415;0;1
418.73;0;1
420;0;1
421.09;0;1
423.13;0;1
424.18;0;2
425.84;0;1
427.3;0;1
428.49;0;1
429.64;0;1
431.45;0;1
434.47;0;1
435.85;0;1
438.92;0;1
440;0;1
441.01;0;1
447.18;0;1
448.62;0;1
449.69;0;2
451.68;0;1
452.75;0;2
455.49;0;1
457.58;0;1
459.66;0;1
460.74;0;1
462.24;0;1
463.46;0;1
467.75;0;1
470.97;0;1
472.2;0;1
473.29;0;1
474.67;0;2
478.16;0;1
479.25;0;1
483.66;0;1
485.67;0;1
486.75;0;1
489.16;0;2
490.25;0;1
492.46;0;1
496.67;0;1
498.97;0;1
500;0;1
501.43;0;1
503.48;0;1
504.68;0;1
511;0;1
513.73;0;1
517.06;0;1
518.19;0;1
520.86;0;1
522.11;0;1
524.88;0;1
526.95;0;1
527.99;0;1
529.34;0;1
531.39;0;1
532.48;0;2
535.74;0;1
537.07;0;2
538.89;0;1
542.73;0;1
544.15;0;1
545.24;0;2
546.39;0;1
547.57;0;2
548.66;0;1
552.41;0;1
557.5;0;1
558.85;0;1
560.43;0;1
561.97;0;1
563.68;0;1
565.06;0;2
568.52;0;1
571.23;0;1
573.22;0;1
575.67;0;1
578.11;0;1
579.2;0;1
582.93;0;1
585.14;0;1
586.73;0;1
588.28;0;1
589.98;0;1
591.77;0;2
596.61;0;1
597.65;0;2
602.69;0;1
603.73;0;1
606.48;0;1
608.12;0;1
609.81;0;1
611.94;0;1
613.03;0;1
614.28;0;1
616.34;0;1
622.51;0;1
623.74;0;1
626.01;0;1
627.05;0;2
629.71;0;1
635.98;0;1
643.3;0;1
644.61;0;2
646.86;0;1
651.03;0;1
653.61;0;1
655.45;0;1
656.54;0;1
657.87;0;1
665.37;0;1
667.11;0;1
668.12;0;1
676.36;0;1
677.37;0;1
679.79;0;1
681.58;0;1
682.98;0;1
684.07;0;1
686.69;0;1
687.7;0;1
689.57;0;1
692.41;0;1
693.74;0;1
694.79;0;1
695.92;0;1
698.33;0;1
701.2;0;1
702.29;0;1
704.96;0;1
706.17;0;1
708.68;0;1
