#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.37
59.67;200;200;0;53.23;0;59.67;0;0.37
119.75;200;200;0;82.63;0;116.32;0;0.36
179.9;200;200;0;121.16;0;174.23;0;0.3
239.96;200;200;0;145.04;0;206.12;0;0.41
299.76;200;200;0;174.82;0;254.62;0;0.41
359.82;200;200;0;170.4;0;281.27;0;0.4
419.85;200;200;0;190.61;0;315.8;0;0.46
480;200;200;0;232.88;0;391.6;0;0.45
539.87;200;200;0;273.05;0;428.25;0;0.41
599.65;200;200;0;282.93;0;444.58;0;0.36
659.77;200;200;0;276.59;0;514.45;0;0.48
719.85;200;200;0;311.62;0;618.76;0;0.38
779.95;200;200;0;334.11;0;636.74;0;0.42
839.98;200;200;0;342.95;0;723.58;0;0.43
899.6;200;200;0;379.56;0;799.09;0;0.41
959.81;200;200;0;374.41;0;768.56;0;0.48
1019.86;200;200;0;340.1;0;853.28;0;0.46
1079.87;200;200;0;362.3;0;826.22;0;0.47
1139.82;200;200;0;374.46;0;953.52;0;0.5
1199.99;200;200;0;442.88;0;969.56;0;0.4
1259.9;200;188;0;452.44;0;953.3;0;0.47
1319.97;200;189;0;459.9;0;983.96;0;0.45
1379.93;200;172;0;425.6;0;911.5;0;0.55
1439.73;200;157;0;492.58;0;1162.2;0;0.5
1499.86;200;148;0;493.34;0;1293.97;0;0.46
1559.76;200;135;0;491.48;0;1212.66;0;0.5
1619.81;200;130;0;514.79;0;1279.94;0;0.49
1680;200;109;0;475.68;0;1370.33;0;0.49
1739.84;200;102;0;512.6;0;1486.44;0;0.44
1800;200;99;0;530.79;0;1488.57;0;0.43
