#TimeStamp;Bot;Pod;OutputStation
42.25;4;57;0
46.31;4;57;0
49.86;5;58;1
50.41;4;57;0
53.94;5;58;1
54.45;4;57;0
57.96;5;58;1
58.89;4;57;0
62.02;5;58;1
63.33;4;57;0
66.42;5;58;1
67.75;4;57;0
68.17;3;50;2
70.48;5;58;1
72.17;4;57;0
72.17;3;50;2
74.79;5;58;1
76.39;4;57;0
76.39;3;50;2
79.02;5;58;1
80.42;4;57;0
80.51;3;50;2
83.13;5;58;1
84.47;4;57;0
84.93;3;50;2
87.18;5;58;1
89.18;3;50;2
91.64;5;58;1
92.22;2;36;0
93.6;3;50;2
96.06;2;36;0
96.06;5;58;1
98.02;3;50;2
100;5;58;1
100.27;2;36;0
102.27;3;50;2
104.24;5;58;1
104.33;2;36;0
106.33;3;50;2
108.26;5;58;1
108.75;2;36;0
110.43;3;50;2
112.14;5;58;1
113.05;2;36;0
114.85;3;50;2
117.47;2;36;0
118.89;3;50;2
119.31;0;40;1
121.47;2;36;0
123.47;0;40;1
125.31;2;36;0
125.56;1;54;2
127.52;0;40;1
129.14;2;36;0
129.8;1;54;2
131.56;0;40;1
133.84;1;54;2
135.65;0;40;1
137.9;1;54;2
139.69;0;40;1
142.19;1;54;2
143.77;0;40;1
146.28;1;54;2
147.81;0;40;1
150.32;1;54;2
151.86;0;40;1
154.37;1;54;2
155.9;0;40;1
156.88;4;19;0
158.41;1;54;2
159.95;0;40;1
161;4;19;0
162.46;1;54;2
163.99;0;40;1
165.05;4;19;0
166.5;1;54;2
169.47;4;19;0
170.57;1;54;2
173.64;4;19;0
174.99;1;54;2
177.8;4;19;0
178.64;1;54;2
182.22;4;19;0
182.68;1;54;2
186.64;4;19;0
193.15;3;9;2
193.19;5;15;1
197.19;3;9;2
197.48;5;15;1
201.48;5;15;1
201.48;3;9;2
205.53;3;9;2
205.9;5;15;1
209.68;3;9;2
209.9;5;15;1
213.9;5;15;1
217.94;5;15;1
221.03;2;22;0
222.36;5;15;1
225.11;2;22;0
226.78;5;15;1
229.19;2;22;0
231.21;5;15;1
232.99;2;22;0
235.25;5;15;1
237.23;2;22;0
239.32;5;15;1
241.28;2;22;0
245.34;2;22;0
246.22;0;43;1
249.08;2;22;0
250.24;0;43;1
253.38;2;22;0
254.64;0;43;1
256.13;1;30;2
259.07;0;43;1
260.18;1;30;2
263.12;0;43;1
264.53;1;30;2
266.98;0;43;1
268.6;1;30;2
270.98;0;43;1
272.93;1;30;2
275.16;0;43;1
277.16;1;30;2
279.2;0;43;1
280.93;1;30;2
283.25;0;43;1
285.2;1;30;2
287.29;0;43;1
291.37;0;43;1
293.69;4;44;0
293.9;3;16;2
295.41;0;43;1
297.9;4;44;0
297.9;3;16;2
299.46;0;43;1
302.01;4;44;0
302.01;3;16;2
303.5;0;43;1
306.01;4;44;0
306.06;3;16;2
307.55;0;43;1
310.06;4;44;0
310.26;3;16;2
311.59;0;43;1
314.1;4;44;0
314.22;3;16;2
315.64;0;43;1
318.14;4;44;0
318.48;3;16;2
319.32;0;43;1
321.97;4;44;0
322.9;3;16;2
326.21;5;47;1
326.25;4;44;0
327.14;3;16;2
330.28;5;47;1
330.32;4;44;0
331.56;3;16;2
334.33;5;47;1
334.74;4;44;0
335.83;3;16;2
338.45;5;47;1
338.92;4;44;0
340.25;3;16;2
342.51;5;47;1
343.33;4;44;0
344.5;3;16;2
346.59;5;47;1
347.75;4;44;0
348.55;3;16;2
352.06;4;44;0
352.97;3;16;2
357.39;3;16;2
359.09;2;5;0
361.44;3;16;2
363.33;2;5;0
365.88;3;16;2
367.13;2;5;0
370.09;3;16;2
371.39;2;5;0
374.32;3;16;2
375.35;2;5;0
379.43;2;5;0
381.14;1;7;2
383.43;2;5;0
385.43;1;7;2
387.16;2;5;0
389.44;1;7;2
390.15;0;52;1
391.11;2;5;0
393.47;1;7;2
394.23;0;52;1
395.22;2;5;0
397.52;1;7;2
398.66;0;52;1
399.08;2;5;0
402.73;0;52;1
403.48;2;5;0
406.83;0;52;1
407.52;2;5;0
416.64;5;41;1
420.69;5;41;1
425.04;5;41;1
429.25;5;41;1
433.3;5;41;1
434.23;4;14;0
438.29;4;14;0
440.42;3;42;2
442.58;4;14;0
444.51;3;42;2
446.6;4;14;0
448.43;3;42;2
451.02;4;14;0
452.56;3;42;2
455.02;4;14;0
456.68;3;42;2
459.2;4;14;0
460.8;3;42;2
463.6;4;14;0
464.97;3;42;2
467.64;4;14;0
469.41;3;42;2
472.03;4;14;0
475.17;0;38;1
476.08;4;14;0
476.08;1;50;2
479.52;0;38;1
480;1;50;2
480.12;4;14;0
483.94;0;38;1
483.94;1;50;2
484.17;4;14;0
487.76;0;38;1
487.76;1;50;2
488.54;4;14;0
492.14;0;38;1
492.14;1;50;2
492.61;4;14;0
496.56;0;38;1
496.56;1;50;2
497.03;4;14;0
500.61;0;38;1
500.61;1;50;2
501.45;4;14;0
504.65;0;38;1
505.87;4;14;0
509.07;0;38;1
510.06;4;14;0
513.45;0;38;1
514.17;4;14;0
520.44;5;10;1
521.89;2;43;0
524.63;5;10;1
528.68;5;10;1
532.72;5;10;1
536.55;3;5;2
536.73;5;10;1
540.63;3;5;2
540.78;5;10;1
544.71;3;5;2
545.2;5;10;1
549.16;3;5;2
549.25;5;10;1
553.21;3;5;2
553.3;5;10;1
557.21;3;5;2
557.68;5;10;1
564.31;1;25;2
568.71;1;25;2
571.6;0;59;1
572.59;1;25;2
574.8;4;57;0
575.65;0;59;1
576.75;1;25;2
578.84;4;57;0
580.02;0;59;1
580.49;1;25;2
583.06;4;57;0
583.93;0;59;1
587.48;4;57;0
591.9;4;57;0
596.02;4;57;0
600.44;4;57;0
604.49;4;57;0
611.78;2;36;0
615.89;2;36;0
620;2;36;0
623.77;2;36;0
627.58;3;27;2
627.66;2;36;0
629.29;5;13;1
631.41;3;27;2
633.38;5;13;1
635.66;3;27;2
637.66;5;13;1
639.74;3;27;2
641.7;5;13;1
646;5;13;1
650.42;5;13;1
654.84;5;13;1
656.52;1;24;2
659.3;5;13;1
660.51;1;24;2
662.97;5;13;1
664.68;1;24;2
668.75;1;24;2
670.06;0;56;1
672.6;1;24;2
674.07;0;56;1
676.8;1;24;2
678.39;0;56;1
681.02;1;24;2
682.43;0;56;1
685.36;1;24;2
686.48;0;56;1
689.23;1;24;2
690.52;0;56;1
693.44;1;24;2
694.58;0;56;1
695;4;35;0
697.86;1;24;2
699;0;56;1
699.04;4;35;0
702.28;1;24;2
703.04;0;56;1
703.32;4;35;0
706.46;1;24;2
707.09;0;56;1
707.74;4;35;0
710.83;1;24;2
711.13;0;56;1
712.14;4;35;0
715.13;1;24;2
715.18;0;56;1
716.18;4;35;0
719.22;0;56;1
722.15;3;3;2
723.03;2;34;0
723.26;0;56;1
725.77;3;3;2
727.26;2;34;0
727.31;0;56;1
730.19;3;3;2
731.31;2;34;0
731.35;0;56;1
733.91;3;3;2
735.4;0;56;1
737.91;3;3;2
739.08;0;56;1
742.18;3;3;2
743.44;0;56;1
745.87;3;3;2
747.49;0;56;1
750.24;3;3;2
754.66;3;3;2
754.7;5;28;1
758.52;3;3;2
758.7;5;28;1
762.7;3;3;2
763.12;5;28;1
766.75;3;3;2
767.12;5;28;1
770.79;5;28;1
777.86;4;46;0
781.93;4;46;0
786.04;4;46;0
786.04;1;13;2
790.35;4;46;0
790.35;1;13;2
794.59;4;46;0
794.59;1;13;2
798.82;1;13;2
799.01;4;46;0
803.13;4;46;0
807.55;4;46;0
811.97;4;46;0
816.06;0;31;1
816.39;4;46;0
820.02;0;31;1
820.44;4;46;0
824.1;0;31;1
824.48;4;46;0
828.41;0;31;1
828.9;4;46;0
832.41;0;31;1
833.32;4;46;0
836.48;0;31;1
837.7;4;46;0
840.27;3;19;2
841.37;4;46;0
844.32;3;19;2
848.29;3;19;2
848.36;2;6;0
852;3;19;2
852.4;2;6;0
853.25;5;0;1
856.36;2;6;0
856.36;3;19;2
857.53;5;0;1
860.49;2;6;0
860.49;3;19;2
861.79;5;0;1
864.91;2;6;0
866.21;5;0;1
868.95;2;6;0
870.27;5;0;1
874.24;5;0;1
878.41;5;0;1
882.58;5;0;1
889.01;1;37;2
893.21;1;37;2
897.63;1;37;2
902.05;1;37;2
906.47;1;37;2
910.89;1;37;2
915.07;1;37;2
915.11;4;2;0
919.11;1;37;2
919.22;4;2;0
923.22;1;37;2
923.66;4;2;0
927.57;1;37;2
927.91;4;2;0
931.32;0;8;1
931.79;1;37;2
932.08;4;2;0
935.37;0;8;1
935.79;1;37;2
939.75;0;8;1
939.79;1;37;2
947.5;2;53;0
947.55;3;44;2
951.55;2;53;0
955.6;2;53;0
959.63;2;53;0
960;5;45;1
963.76;2;53;0
964.21;5;45;1
967.94;2;53;0
968.63;5;45;1
971.57;2;53;0
972.48;5;45;1
975.99;2;53;0
976.7;5;45;1
980.08;2;53;0
980.9;5;45;1
984.5;2;53;0
985.13;5;45;1
988.85;2;53;0
989.47;5;45;1
993.27;2;53;0
993.89;5;45;1
997.31;2;53;0
998.31;5;45;1
1001.2;2;53;0
1002.73;5;45;1
1005.19;2;53;0
1012.87;4;23;0
1017.04;4;23;0
1021.08;4;23;0
1021.36;1;49;2
1024.28;0;54;1
1025.15;4;23;0
1025.57;1;49;2
1028.68;0;54;1
1029.58;4;23;0
1029.63;1;49;2
1032.99;0;54;1
1033.63;4;23;0
1034.05;1;49;2
1037.3;0;54;1
1037.67;4;23;0
1038.47;1;49;2
1041.55;0;54;1
1041.71;4;23;0
1042.89;1;49;2
1045.76;4;23;0
1047.34;1;49;2
1049.85;4;23;0
1051.76;1;49;2
1054.03;4;23;0
1056.03;1;49;2
1058.07;4;23;0
1060;1;49;2
1062.11;4;23;0
1065.79;4;23;0
1067;3;6;2
1071.32;3;6;2
1073.95;2;10;0
1075.37;3;6;2
1077.84;2;10;0
1078.58;5;18;1
1079.67;3;6;2
1082.16;2;10;0
1082.76;5;18;1
1086.29;2;10;0
1086.83;5;18;1
1090.43;2;10;0
1091.09;5;18;1
1094.66;2;10;0
1095.17;5;18;1
1098.51;2;10;0
1099.13;5;18;1
1102.68;2;10;0
1103.15;5;18;1
1106.47;2;10;0
1107.24;5;18;1
1111.66;5;18;1
1116.08;5;18;1
1124.15;0;11;1
1128.37;0;11;1
1132.41;0;11;1
1134.54;1;8;2
1135.12;4;24;0
1136.2;0;11;1
1138.97;1;8;2
1139.19;4;24;0
1140.29;0;11;1
1143.19;1;8;2
1143.61;4;24;0
1144.49;0;11;1
1147.35;1;8;2
1148.91;0;11;1
1151.54;1;8;2
1152.95;0;11;1
1155.58;1;8;2
1157;0;11;1
