#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.73;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
119.73;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
179.94;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.76;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.88;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
419.64;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
479.94;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
539.85;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
599.83;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
659.62;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
779.86;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
839.83;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
899.84;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.62;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1019.98;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1139.76;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1199.9;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1259.86;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1379.98;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1439.85;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1499.69;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1559.97;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
1619.87;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1679.63;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/2,Rest/0
1739.78;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1799.98;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
