#TimeStamp;TripTime;Type
34;13;O
36;10;O
53;12;O
56;31;O
62;12;O
68;21;O
104;22;O
131;15;O
139;30;O
153;18;O
174;19;O
197;20;O
226;12;O
228;20;O
244;21;O
286;19;O
307;29;O
317;15;O
327;19;O
365;17;O
376;24;O
390;20;O
427;19;O
431;23;O
482;29;O
502;26;O
516;25;O
545;46;O
564;25;O
578;30;O
601;17;O
614;11;O
640;24;O
641;17;O
647;20;O
666;20;O
707;21;O
720;13;O
738;20;O
743;17;O
765;11;O
779;15;O
784;42;O
814;26;O
823;23;O
839;23;O
877;21;O
907;20;O
924;21;O
939;23;O
969;24;O
978;10;O
985;34;O
1009;29;O
1026;23;O
1030;28;O
1061;19;O
1070;17;O
1117;16;O
1129;23;O
1150;7;O
1159;6;O
1164;26;O
1171;21;O
1208;18;O
1227;28;O
1247;21;O
1248;33;O
1256;21;O
1290;26;O
1294;7;O
1329;19;O
1334;13;O
1335;16;O
1341;24;O
1363;19;O
1368;16;O
1413;17;O
1430;24;O
1445;16;O
1454;27;O
1462;18;O
1473;20;O
1496;26;O
1509;16;O
1531;23;O
1546;20;O
1582;19;O
1599;21;O
1621;24;O
1622;18;O
1626;23;O
1643;7;O
1649;13;O
1709;20;O
1713;23;O
1724;13;O
1737;16;O
1752;18;O
1778;46;O
1782;7;O
1797;23;O
