#TimeStamp;Bot;Pod;OutputStation
40.69;4;32;0
44.72;4;32;0
47.23;5;41;1
48.75;4;32;0
51.3;5;41;1
55.28;5;41;1
55.86;2;2;0
59.35;5;41;1
59.98;2;2;0
63.77;5;41;1
64.06;2;2;0
68.01;2;2;0
68.01;5;41;1
68.77;3;59;2
72.19;2;2;0
72.19;5;41;1
72.82;3;59;2
76.61;2;2;0
76.61;5;41;1
77.24;3;59;2
80.66;2;2;0
80.66;5;41;1
81.7;3;59;2
84.7;2;2;0
84.7;5;41;1
86.12;3;59;2
90.54;3;59;2
91.38;0;47;1
94.98;3;59;2
95.4;0;47;1
99.4;3;59;2
99.65;0;47;1
103.51;3;59;2
104;0;47;1
107.93;0;47;1
107.93;3;59;2
112.01;3;59;2
112.06;0;47;1
115.66;4;36;0
118.94;1;0;2
119.87;4;36;0
122.98;1;0;2
123.98;4;36;0
126.67;1;0;2
127.67;4;36;0
131.03;1;0;2
131.74;4;36;0
134.7;1;0;2
135.95;4;36;0
140;4;36;0
143.83;4;36;0
148.07;4;36;0
152.32;4;36;0
157.19;5;14;1
159.93;2;46;0
161.3;5;14;1
163.86;2;46;0
165.37;5;14;1
167.97;2;46;0
169.43;5;14;1
172.03;2;46;0
173.41;5;14;1
176.28;2;46;0
180.08;2;46;0
180.74;0;9;1
184.74;0;9;1
188.86;0;9;1
189.38;3;53;2
192.82;0;9;1
193.42;3;53;2
196.96;0;9;1
197.46;3;53;2
201.38;0;9;1
201.38;3;53;2
205.13;3;53;2
205.52;0;9;1
209.23;3;53;2
209.65;0;9;1
213.52;3;53;2
213.69;0;9;1
217.9;0;9;1
220.9;1;48;2
222.32;0;9;1
224.79;1;48;2
226.74;0;9;1
229.16;1;48;2
231.16;0;9;1
233.24;1;48;2
235.2;0;9;1
237.58;1;48;2
239.58;0;9;1
241.38;1;48;2
241.67;2;47;0
245.62;1;48;2
246.03;2;47;0
246.45;5;26;1
249.67;1;48;2
250.13;2;47;0
250.65;5;26;1
253.71;1;48;2
254.49;5;26;1
257.73;4;35;0
258.71;5;26;1
261.79;4;35;0
263;5;26;1
266.1;4;35;0
267.13;5;26;1
270.1;4;35;0
270.94;5;26;1
274.94;5;26;1
278.8;5;26;1
283.09;5;26;1
288.21;3;32;2
292.43;3;32;2
296.54;3;32;2
300.93;3;32;2
304.97;3;32;2
308.06;0;58;1
309.36;3;32;2
312.12;0;58;1
312.54;2;31;0
313.4;3;32;2
316.53;0;58;1
316.81;2;31;0
317.44;3;32;2
320.62;0;58;1
321.04;2;31;0
325.04;0;58;1
325.23;2;31;0
329.23;0;58;1
329.36;2;31;0
333.53;2;31;0
