#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.38
60;200;200;0;51.05;0;60;0;0.4
119.82;200;200;0;91.24;0;119.82;0;0.32
179.96;200;200;0;124.57;0;175.88;0;0.31
239.89;200;200;0;143;0;220.57;0;0.31
299.77;200;200;0;180.53;0;269.55;0;0.35
359.97;200;200;0;187.74;0;308.54;0;0.34
419.8;200;200;0;219.36;0;340.84;0;0.3
479.64;200;200;0;252.75;0;393.56;0;0.32
540;200;200;0;260.82;0;448.33;0;0.36
599.75;200;200;0;283.72;0;519.53;0;0.36
659.8;200;200;0;286.14;0;523.51;0;0.43
720;200;200;0;323.01;0;528.29;0;0.44
779.86;200;200;0;341.13;0;555.31;0;0.48
839.58;200;200;0;370.22;0;643.18;0;0.47
899.82;200;200;0;401.43;0;714.91;0;0.4
959.67;200;200;0;378.19;0;718.33;0;0.53
1019.87;200;200;0;406.85;0;733.02;0;0.54
1079.98;200;200;0;381.9;0;722.09;0;0.58
1139.72;200;200;0;436.28;0;852.72;0;0.59
1199.96;200;200;0;463.06;0;936.49;0;0.65
1259.79;200;194;0;484.72;0;1001.18;0;0.64
1319.77;200;180;0;475.39;0;1061.66;0;0.57
1379.67;200;175;0;524.51;0;1166.95;0;0.51
1439.93;200;163;0;491.43;0;1250.49;0;0.58
1499.77;200;160;0;504.63;0;1369.12;0;0.55
1559.6;200;144;0;482.15;0;1385.2;0;0.55
1619.9;200;142;0;476.18;0;1344.92;0;0.59
1679.64;200;133;0;479.16;0;1387.35;0;0.55
1739.75;200;129;0;499.06;0;1533.19;0;0.47
1799.88;200;123;0;401.61;0;1528.85;0;0.52
