#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.64;0;2
6.39;0;1
7.73;0;2
8.81;0;1
10.14;0;2
11.23;0;1
12.23;0;1
13.28;0;2
14.28;0;2
21.07;0;1
23.69;0;1
24.98;0;1
27.73;0;1
29.09;0;1
30.45;0;1
31.54;0;1
32.63;0;2
35.03;0;2
36.05;0;2
38.1;0;1
40.89;0;1
42.93;0;1
44.89;0;1
48.38;0;1
50.81;0;1
55.8;0;1
57.01;0;1
59.05;0;1
60.17;0;1
61.55;0;1
62.79;0;1
64.1;0;1
67.63;0;1
69.05;0;1
71.13;0;1
74.35;0;1
75.63;0;1
80.04;0;1
85.08;0;1
88.23;0;1
89.26;0;1
90.44;0;1
91.73;0;1
92.81;0;1
100;0;1
102.63;0;1
105.21;0;1
110.25;0;1
113.38;0;1
114.46;0;1
119.97;0;1
121.5;0;1
128.76;0;1
130.85;0;1
132.08;0;1
136.03;0;1
138.1;0;1
139.17;0;1
140.35;0;1
142.33;0;1
145.64;0;1
146.94;0;1
148.67;0;1
149.73;0;2
152.19;0;1
154.84;0;1
158.19;0;1
159.9;0;1
160.91;0;1
162.57;0;1
168.49;0;1
171.95;0;1
172.96;0;2
176.46;0;1
178.12;0;1
181.82;0;1
183.2;0;1
184.29;0;1
191.95;0;1
193.08;0;1
194.57;0;1
195.7;0;1
199.41;0;1
202.59;0;1
203.7;0;1
205.98;0;1
208.63;0;1
211.7;0;1
212.79;0;1
216.94;0;1
218;0;1
219.4;0;1
221.25;0;1
222.26;0;1
223.51;0;3
232.34;0;1
233.6;0;1
234.69;0;1
240;0;1
241.48;0;1
243.88;0;1
246.36;0;1
247.51;0;1
248.65;0;1
250.49;0;1
251.51;0;2
253.98;0;1
256.15;0;1
261.65;0;1
264.15;0;1
266.16;0;1
267.65;0;1
269.41;0;1
272.65;0;1
275.74;0;1
277.07;0;1
279.91;0;1
281.91;0;1
283;0;1
284.08;0;1
285.41;0;1
289.21;0;1
299.56;0;1
300.67;0;1
301.91;0;1
310.92;0;1
314.58;0;1
315.93;0;1
316.96;0;2
320.56;0;1
322.46;0;1
325.96;0;1
327.39;0;1
328.6;0;1
332.08;0;1
333.57;0;1
334.64;0;1
338.85;0;1
340;0;1
341.36;0;1
342.67;0;1
345.53;0;1
346.91;0;1
357.08;0;1
358.44;0;1
359.75;0;1
360.84;0;1
361.86;0;1
364.34;0;1
367.26;0;1
368.41;0;3
