#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
50.04;0;50.04;50.04;-9043.82
53.98;0;53.98;53.98;-9289.83
58.5;0;58.5;8.24;-10233.91
62.33;0;62.33;12.08;-9929.03
66.95;0;66.95;12.57;-10375.65
67.52;1;67.52;67.52;-9336.55
71.37;0;71.37;12.82;-10400.73
71.52;1;71.52;71.52;-9340.75
71.52;2;71.52;71.52;-9754.67
75.49;0;75.49;12.81;-10430
76.13;2;76.13;76.13;-9754.39
80;0;80;12.9;-10453.96
80.04;1;80.04;80.04;-9582.94
80.29;2;30.03;16.76;-9415.37
84.21;0;84.21;12.69;-10513.37
84.29;1;84.29;21.18;-9759.23
84.71;2;84.71;12.84;-9988.39
88.67;0;88.67;12.81;-10634.68
88.72;1;88.72;21.09;-9936.22
89.13;2;89.13;12.84;-10584.89
93.05;0;93.05;13;-10955.36
93.13;1;93.13;21.26;-10974.88
93.54;2;93.54;12.83;-11115.34
97.47;0;21.6;13.18;-11093.75
97.54;1;97.54;17.25;-11939.02
97.96;2;97.96;12.83;-11255.09
101.89;0;101.89;13.17;-11093.64
102.38;2;13.66;12.84;-10372.97
106.31;0;106.31;13.18;-11142.87
106.8;2;17.26;12.84;-10577.16
111.57;2;111.57;13.19;-11449.59
113.36;0;113.36;113.36;-8786.48
113.36;1;113.36;113.36;-9518.93
115.6;2;115.6;12.8;-11448.32
117.55;0;117.55;117.55;-8901.66
119.68;2;119.68;12.46;-11554.13
121.68;0;121.68;121.68;-9179.78
123.73;2;34.6;12.09;-11680.75
125.64;1;125.64;14;-12296.69
127.77;2;16.13;12.09;-11001.87
132.21;2;132.21;12.48;-12284
133.36;0;133.36;21.73;-9870.48
137.67;0;137.67;24.04;-9888.13
141.6;0;27.96;23.92;-10303.51
145.12;2;145.12;145.12;-9609.39
149.26;2;149.26;21.44;-10244.17
161.63;2;68.09;19.77;-9667.47
162.09;0;162.09;60.14;-9690.28
165.86;2;165.86;20.69;-9890.51
166.14;0;166.14;166.14;-9173.19
169.78;2;169.78;20.19;-10004.54
173.84;2;173.84;12.17;-10154.42
175.16;1;175.16;77.2;-9847.06
178.09;2;178.09;11.99;-10903.08
179.46;1;179.46;179.46;-9454.57
182.09;2;11.95;11.91;-12231.44
182.67;0;182.67;44.85;-10866.99
183.71;1;183.71;13.58;-10487.57
191.02;0;191.02;49.16;-10950.13
195.5;0;195.5;33.83;-10263.07
199.12;1;199.12;199.12;-9486.31
199.46;0;93.08;37.32;-10963.33
203.09;1;117.96;109.55;-9748.79
211.5;1;211.5;15.93;-9979.7
215.14;2;215.14;215.14;-9596.14
215.5;1;215.5;16.08;-10239.34
219.27;2;219.27;87.01;-11624.83
