#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;107.85;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
60;107.85;0.09;PP/0,TA/0.06,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.97;107.69;0.21;PP/0,TA/0.16,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
179.68;107.58;0.25;PP/0.01,TA/0.18,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
239.63;107.58;0.28;PP/0.01,TA/0.19,IS/0,PS/0.09,RB/0,OB/0.01,RP/0
299.63;107.58;0.31;PP/0.01,TA/0.19,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
359.65;107.58;0.34;PP/0.01,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
419.77;107.48;0.39;PP/0.02,TA/0.21,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
479.78;107.38;0.42;PP/0.02,TA/0.22,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
539.65;107.38;0.47;PP/0.02,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
599.96;107.38;0.5;PP/0.02,TA/0.25,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
659.95;107.3;0.54;PP/0.03,TA/0.27,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
719.85;107.23;0.57;PP/0.03,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
779.97;107.23;0.59;PP/0.03,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
839.95;107.17;0.66;PP/0.03,TA/0.31,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
899.98;106.9;0.75;PP/0.04,TA/0.32,IS/0,PS/0.12,RB/0,OB/0.05,RP/0
960;106.71;0.81;PP/0.05,TA/0.34,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1019.69;106.54;0.84;PP/0.05,TA/0.34,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1079.71;106.28;0.88;PP/0.05,TA/0.36,IS/0,PS/0.13,RB/0,OB/0.06,RP/0
1139.86;106.21;0.92;PP/0.06,TA/0.37,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1199.76;105.96;0.95;PP/0.06,TA/0.38,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1259.72;105.93;0.98;PP/0.06,TA/0.39,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1319.74;105.92;1.01;PP/0.07,TA/0.4,IS/0,PS/0.14,RB/0,OB/0.07,RP/0
1379.95;105.92;1.04;PP/0.07,TA/0.4,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1439.91;105.92;1.07;PP/0.07,TA/0.41,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1499.64;105.92;1.1;PP/0.08,TA/0.42,IS/0,PS/0.15,RB/0,OB/0.07,RP/0
1559.87;105.92;1.12;PP/0.08,TA/0.42,IS/0,PS/0.16,RB/0,OB/0.07,RP/0
1619.8;105.92;1.15;PP/0.08,TA/0.42,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1679.97;105.92;1.18;PP/0.08,TA/0.44,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1739.85;105.92;1.21;PP/0.09,TA/0.44,IS/0,PS/0.16,RB/0,OB/0.08,RP/0
1799.72;105.92;1.25;PP/0.09,TA/0.45,IS/0,PS/0.17,RB/0,OB/0.08,RP/0
