#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.84;0;0;1;3;0/59.84;0/46.48,1/59.84,2/50.61;0/59.84;0/59.84,1/59.84,2/59.84;0/0;0/10,1/10,2/11;0/0;0/15,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/0,2/3
119.82;0;3;1;3;0/119.82;0/52.33,1/72.35,2/66.38;0/119.82;0/119.82,1/119.82,2/119.82;0/0;0/9,1/6,2/10;0/0;0/14,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/18,1/13,2/14
179.9;0;6;1;3;0/179.9;0/83.15,1/79.27,2/95.84;0/179.9;0/179.9,1/179.9,2/179.9;0/0;0/12,1/6,2/9;0/0;0/18,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/25,1/27,2/22
239.77;0;9;1;3;0/239.77;0/102.84,1/94.21,2/103.22;0/239.77;0/239.77,1/239.77,2/239.77;0/0;0/11,1/6,2/16;0/0;0/17,1/17,2/24;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/36,1/38,2/36
299.64;0;11;1;3;0/299.64;0/130.01,1/97.95,2/122.11;0/299.64;0/299.64,1/299.64,2/299.64;0/0;0/8,1/8,2/14;0/0;0/18,1/20,2/16;0/0;0/2,1/2,2/2;0/0;0/4,1/3,2/4;0/0;0/44,1/53,2/47
359.88;0;14;1;3;0/359.88;0/143.75,1/103.46,2/154.92;0/359.88;0/359.88,1/359.88,2/359.88;0/0;0/8,1/9,2/14;0/0;0/15,1/15,2/19;0/0;0/2,1/2,2/2;0/0;0/5,1/4,2/5;0/0;0/57,1/67,2/54
419.69;0;17;1;3;0/419.69;0/150.42,1/112.03,2/161.11;0/419.69;0/419.69,1/419.69,2/419.69;0/0;0/9,1/10,2/14;0/0;0/16,1/19,2/19;0/0;0/2,1/2,2/2;0/0;0/6,1/5,2/6;0/0;0/71,1/80,2/67
479.7;0;20;1;3;0/479.7;0/157.19,1/134.94,2/193.99;0/479.7;0/479.7,1/479.7,2/479.7;0/0;0/13,1/8,2/14;0/0;0/13,1/12,2/18;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/7;0/0;0/84,1/90,2/74
539.99;0;23;1;3;0/539.99;0/217.47,1/147.75,2/211.31;0/539.99;0/539.99,1/539.99,2/539.99;0/0;0/9,1/8,2/18;0/0;0/13,1/12,2/22;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/9;0/0;0/84,1/102,2/86
599.83;0;26;1;3;0/599.83;0/236.11,1/184.33,2/252.56;0/599.83;0/599.83,1/599.83,2/599.83;0/0;0/8,1/8,2/17;0/0;0/13,1/13,2/21;0/0;0/2,1/2,2/2;0/0;0/9,1/8,2/9;0/0;0/95,1/109,2/90
659.93;0;30;1;3;0/659.93;0/259.43,1/198.77,2/273.72;0/659.93;0/659.93,1/659.93,2/659.93;0/0;0/13,1/10,2/21;0/0;0/15,1/13,2/21;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/11;0/0;0/104,1/120,2/100
719.94;0;34;1;3;0/719.94;0/311.83,1/238.81,2/318.89;0/719.94;0/719.94,1/719.94,2/719.94;0/0;0/13,1/9,2/18;0/0;0/19,1/14,2/21;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/12;0/0;0/106,1/126,2/104
779.96;0;37;1;3;0/779.96;0/331.18,1/250.3,2/340.47;0/779.96;0/779.96,1/779.96,2/779.96;0/0;0/9,1/8,2/16;0/0;0/15,1/12,2/19;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/14;0/0;0/117,1/138,2/114
839.97;0;40;1;3;0/839.97;0/338.72,1/267.32,2/382.14;0/839.97;0/839.97,1/839.97,2/839.97;0/0;0/14,1/8,2/14;0/0;0/21,1/15,2/20;0/0;0/2,1/2,2/2;0/0;0/13,1/12,2/15;0/0;0/131,1/149,2/119
899.83;0;43;1;3;0/899.83;0/354.63,1/286.24,2/389.82;0/899.83;0/899.83,1/899.83,2/899.83;0/0;0/13,1/9,2/18;0/0;0/20,1/16,2/19;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/16;0/0;0/142,1/160,2/133
959.86;0;46;1;3;0/959.86;0/378.04,1/298.85,2/435.76;0/959.86;0/959.86,1/959.86,2/959.86;0/0;0/11,1/10,2/12;0/0;0/13,1/17,2/17;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/17;0/0;0/152,1/172,2/137
1019.78;0;50;1;3;0/1019.78;0/386.27,1/309.03,2/442.28;0/1019.78;0/1019.78,1/1019.78,2/1019.78;0/0;0/13,1/10,2/15;0/0;0/16,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/17,1/15,2/18;0/0;0/165,1/185,2/150
1079.97;0;54;1;3;0/1079.97;0/434.43,1/322.33,2/494.12;0/1079.97;0/1079.97,1/1079.97,2/1079.97;0/0;0/10,1/13,2/15;0/0;0/15,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/17,1/17,2/20;0/0;0/168,1/198,2/153
1139.99;0;58;1;3;0/1139.99;0/454.67,1/356.28,2/524.67;0/1139.99;0/1139.99,1/1139.99,2/1139.99;0/0;0/12,1/9,2/16;0/0;0/13,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/19,1/18,2/21;0/0;0/179,1/205,2/160
1199.8;0;60;1;3;0/1199.8;0/504.58,1/364.67,2/580.66;0/1199.8;0/1199.8,1/1199.8,2/1199.8;0/0;0/10,1/13,2/15;0/0;0/15,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/19,1/19,2/22;0/0;0/181,1/218,2/161
1259.68;0;64;1;3;0/1259.68;0/522.72,1/408.87,2/598.15;0/1259.68;0/1259.68,1/1259.68,2/1259.68;0/0;0/12,1/11,2/16;0/0;0/16,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/20,1/20,2/24;0/0;0/192,1/222,2/172
1319.82;0;67;1;3;0/1319.82;0/537.05,1/417.09,2/634.98;0/1319.82;0/1319.82,1/1319.82,2/1319.82;0/0;0/11,1/10,2/16;0/0;0/15,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/21,1/21,2/25;0/0;0/204,1/236,2/178
1379.97;0;70;1;3;0/1379.97;0/574.18,1/435.2,2/690.8;0/1379.97;0/1379.97,1/1379.97,2/1379.97;0/0;0/10,1/13,2/14;0/0;0/13,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/22,1/22,2/26;0/0;0/210,1/246,2/179
1439.85;0;75;1;3;0/1439.85;0/613.73,1/487.53,2/731.41;0/1439.85;0/1439.85,1/1439.85,2/1439.85;0/0;0/7,1/11,2/15;0/0;0/15,1/15,2/18;0/0;0/2,1/2,2/2;0/0;0/24,1/23,2/28;0/0;0/216,1/248,2/185
1499.83;0;78;1;3;0/1499.83;0/621.34,1/498.76,2/767.08;0/1499.83;0/1499.83,1/1499.83,2/1499.83;0/0;0/10,1/9,2/13;0/0;0/14,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/25,1/24,2/29;0/0;0/230,1/261,2/191
1559.94;0;81;1;3;0/1559.94;0/661.44,1/531.07,2/783.3;0/1559.94;0/1559.94,1/1559.94,2/1559.94;0/0;0/7,1/9,2/15;0/0;0/15,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/26,1/25,2/30;0/0;0/235,1/268,2/202
1619.84;0;85;1;3;0/1619.84;0/668.37,1/569.27,2/823.07;0/1619.84;0/1619.84,1/1619.84,2/1619.84;0/0;0/9,1/10,2/16;0/0;0/13,1/11,2/17;0/0;0/2,1/2,2/2;0/0;0/27,1/27,2/31;0/0;0/249,1/274,2/207
1679.64;0;89;1;3;0/1679.64;0/694.36,1/617.75,2/874.69;0/1679.64;0/1679.64,1/1679.64,2/1679.64;0/0;0/10,1/9,2/12;0/0;0/13,1/10,2/16;0/0;0/2,1/2,2/2;0/0;0/28,1/28,2/33;0/0;0/257,1/277,2/210
1739.86;0;92;1;3;0/1739.86;0/739.28,1/672.44,2/882.21;0/1739.86;0/1739.86,1/1739.86,2/1739.86;0/0;0/8,1/9,2/15;0/0;0/15,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/29,1/29,2/34;0/0;0/261,1/278,2/223
1799.8;0;96;1;3;0/1799.8;0/776.35,1/715.26,2/940.89;0/1799.8;0/1799.8,1/1799.8,2/1799.8;0/0;0/8,1/8,2/11;0/0;0/14,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/30,1/31,2/35;0/0;0/267,1/283,2/224
