#TimeStamp;Bot;Pod;OutputStation
45.94;2;57;0
50.35;2;57;0
52.15;3;18;2
54.77;2;57;0
55.63;5;32;1
56.19;3;18;2
58.5;2;57;0
59.58;5;32;1
60.49;3;18;2
62.7;2;57;0
63.82;5;32;1
66.82;2;57;0
68.24;5;32;1
70.86;2;57;0
72.53;5;32;1
75.04;2;57;0
76.33;5;32;1
79.08;2;57;0
80.58;5;32;1
83.16;2;57;0
84.91;5;32;1
87.58;2;57;0
89.02;5;32;1
91.62;2;57;0
93.44;5;32;1
93.44;1;26;2
95.75;2;57;0
97.75;5;32;1
97.75;1;26;2
99.79;2;57;0
101.79;5;32;1
101.79;1;26;2
103.84;2;57;0
105.77;1;26;2
105.84;5;32;1
107.88;2;57;0
109.53;1;26;2
109.88;5;32;1
111.93;2;57;0
113.53;1;26;2
113.93;5;32;1
115.97;2;57;0
117.74;1;26;2
117.97;5;32;1
121.84;1;26;2
122.02;5;32;1
124.44;4;34;0
125.88;1;26;2
128.48;4;34;0
128.97;0;38;1
130.3;1;26;2
132.5;4;34;0
133.15;0;38;1
134.45;1;26;2
136.5;4;34;0
137.19;0;38;1
138.56;1;26;2
140.56;4;34;0
141.07;0;38;1
142.61;1;26;2
144.61;4;34;0
145.23;0;38;1
146.65;1;26;2
148.58;4;34;0
149.28;0;38;1
150.7;1;26;2
152.65;4;34;0
155.12;1;26;2
157.07;4;34;0
159.56;1;26;2
161.5;4;34;0
164.01;1;26;2
165.92;4;34;0
168.38;1;26;2
170.34;4;34;0
175.36;3;52;2
177.56;2;37;0
179.24;3;52;2
181.89;2;37;0
183.52;3;52;2
184.87;5;49;1
185.98;2;37;0
187.44;3;52;2
188.98;5;49;1
189.61;2;37;0
191.6;3;52;2
193.16;5;49;1
194.02;2;37;0
195.86;3;52;2
197.4;5;49;1
198.07;2;37;0
200.04;3;52;2
201.43;5;49;1
202.1;2;37;0
204.09;3;52;2
205.19;5;49;1
206.17;2;37;0
208.15;3;52;2
209.48;5;49;1
212.22;3;52;2
213.53;5;49;1
216.36;3;52;2
217.62;5;49;1
220.4;3;52;2
222.03;5;49;1
226.45;5;49;1
230.91;5;49;1
235.33;5;49;1
236.58;1;4;2
239.79;5;49;1
240.46;1;4;2
243.62;5;49;1
244.86;1;4;2
249.28;1;4;2
250.96;0;24;1
253.59;1;4;2
255.14;0;24;1
257.22;4;5;0
257.69;1;4;2
258.84;0;24;1
261.27;4;5;0
261.69;1;4;2
263.18;0;24;1
265.27;4;5;0
265.69;1;4;2
266.97;0;24;1
269.27;4;5;0
269.69;1;4;2
271.26;0;24;1
273.68;4;5;0
273.77;1;4;2
275.68;0;24;1
277.73;4;5;0
279.73;0;24;1
281.7;4;5;0
283.77;0;24;1
285.77;4;5;0
287.7;0;24;1
289.83;4;5;0
290.76;3;13;2
293.58;4;5;0
294.91;3;13;2
298.8;3;13;2
300.63;2;14;0
302.71;3;13;2
304.55;2;14;0
307.09;3;13;2
308.69;2;14;0
311.2;3;13;2
312.73;2;14;0
316.78;2;14;0
320.82;2;14;0
331.35;1;19;2
332.58;5;16;1
335.61;1;19;2
336.84;5;16;1
339.74;1;19;2
341.03;5;16;1
343.86;1;19;2
345.19;5;16;1
348;1;19;2
349.58;5;16;1
352.09;1;19;2
353.54;5;16;1
355.83;1;19;2
357.54;5;16;1
358.86;4;54;0
360.09;1;19;2
361.63;5;16;1
362.9;4;54;0
