#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;109.24;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.82;109;0.1;PP/0,TA/0.07,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.88;107.75;0.19;PP/0,TA/0.13,IS/0,PS/0.06,RB/0,OB/0.01,RP/0
179.98;107.17;0.25;PP/0.01,TA/0.17,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
239.79;107.02;0.29;PP/0.01,TA/0.18,IS/0,PS/0.11,RB/0,OB/0.01,RP/0
299.74;107.02;0.33;PP/0.01,TA/0.2,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
359.67;107.02;0.36;PP/0.01,TA/0.21,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
419.79;107.02;0.4;PP/0.02,TA/0.23,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
479.6;106.84;0.43;PP/0.02,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
539.84;106.54;0.46;PP/0.02,TA/0.25,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
599.62;106.52;0.5;PP/0.02,TA/0.26,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
659.86;106.3;0.55;PP/0.03,TA/0.27,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
719.59;106.06;0.58;PP/0.03,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
779.95;105.77;0.62;PP/0.04,TA/0.29,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
839.65;105.51;0.66;PP/0.04,TA/0.31,IS/0,PS/0.15,RB/0,OB/0.04,RP/0
899.86;105.42;0.69;PP/0.04,TA/0.32,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
959.99;105.42;0.72;PP/0.04,TA/0.32,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
1019.73;105.42;0.76;PP/0.05,TA/0.33,IS/0,PS/0.16,RB/0,OB/0.05,RP/0
1080;105.42;0.79;PP/0.05,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1139.94;105.3;0.81;PP/0.05,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1199.8;105.12;0.84;PP/0.05,TA/0.35,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1259.96;105.12;0.87;PP/0.06,TA/0.36,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1319.86;105.12;0.89;PP/0.06,TA/0.36,IS/0,PS/0.17,RB/0,OB/0.06,RP/0
1379.99;104.86;0.92;PP/0.06,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1439.7;104.7;0.96;PP/0.07,TA/0.38,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1499.95;104.62;0.99;PP/0.07,TA/0.39,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1559.71;104.56;1.02;PP/0.07,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.07,RP/0
1619.78;104.51;1.05;PP/0.08,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1679.63;104.5;1.08;PP/0.08,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1739.78;104.5;1.1;PP/0.08,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
1799.75;104.5;1.13;PP/0.08,TA/0.43,IS/0,PS/0.19,RB/0,OB/0.08,RP/0
