#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.44
59.86;200;200;0;54.02;0;59.86;0;0.51
119.99;200;200;0;72.91;0;115.17;0;0.41
179.63;200;200;0;84.48;0;168.15;0;0.4
239.98;200;200;0;90.09;0;205.38;0;0.32
299.98;200;200;0;112.63;0;239.53;0;0.5
359.89;200;200;0;121.82;0;240.1;0;0.42
419.96;200;200;0;151.7;0;306.54;0;0.47
479.64;200;200;0;165.34;0;372.15;0;0.56
539.79;200;200;0;199.4;0;443.75;0;0.46
599.62;200;200;0;211.14;0;446.26;0;0.57
659.87;200;200;0;222.21;0;462.83;0;0.55
719.95;200;200;0;225.26;0;531.01;0;0.61
779.93;200;200;0;260.54;0;551.38;0;0.48
839.96;200;200;0;286.85;0;612.3;0;0.57
899.74;200;200;0;292.06;0;571.6;0;0.62
959.96;200;187;0;329.24;0;688.77;0;0.61
1019.77;200;178;0;341.21;0;762.34;0;0.68
1079.98;200;161;0;362.38;0;884.86;0;0.57
1139.63;200;135;0;395.15;0;927.08;0;0.59
1199.94;200;124;0;398.18;0;996.44;0;0.58
1259.98;200;114;0;389.34;0;1052.57;0;0.52
1319.97;200;100;0;391.37;0;1033.25;0;0.6
1379.61;200;80;0;407.52;0;1078.12;0;0.59
1439.7;200;74;0;448.18;0;1183.73;0;0.58
1499.87;200;65;0;445.97;0;1307.97;0;0.5
1559.78;200;59;0;465.34;0;1402.18;0;0.49
1619.92;200;54;0;483.29;0;1523.38;0;0.51
1679.96;200;52;0;482.63;0;1576.94;0;0.51
1739.69;200;43;0;488.25;0;1531.62;0;0.56
1799.94;200;34;0;505.3;0;1536.01;0;0.55
