#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.86;0;0;1;3;0/59.86;0/46.85,1/48.46,2/55.62;0/59.86;0/59.86,1/59.86,2/59.86;0/0;0/5,1/9,2/5;0/0;0/16,1/19,2/14;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/3,2/2
119.99;0;1;1;3;0/119.99;0/51.75,1/74.09,2/61.15;0/119.99;0/119.99,1/119.99,2/119.99;0/0;0/9,1/7,2/5;0/0;0/19,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/0,1/1,2/0;0/0;0/18,1/12,2/16
179.63;0;4;1;3;0/179.63;0/56.06,1/82.36,2/66.54;0/179.63;0/179.63,1/179.63,2/179.63;0/0;0/7,1/18,2/4;0/0;0/13,1/19,2/13;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/1;0/0;0/32,1/26,2/30
239.98;0;7;1;3;0/239.98;0/71.4,1/133.75,2/74.77;0/239.98;0/239.98,1/239.98,2/239.98;0/0;0/6,1/11,2/18;0/0;0/15,1/18,2/20;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/2;0/0;0/44,1/28,2/44
299.98;0;9;1;3;0/299.98;0/80.93,1/139.54,2/108.92;0/299.98;0/299.98,1/299.98,2/299.98;0/0;0/9,1/11,2/11;0/0;0/19,1/17,2/22;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/57,1/42,2/50
359.89;0;12;1;3;0/359.89;0/89.57,1/146.76,2/116.2;0/359.89;0/359.89,1/359.89,2/359.89;0/0;0/10,1/10,2/15;0/0;0/18,1/16,2/21;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/71,1/56,2/64
419.96;0;13;1;3;0/419.96;0/93.45,1/156.96,2/140.12;0/419.96;0/419.96,1/419.96,2/419.96;0/0;0/7,1/9,2/9;0/0;0/16,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/4,1/5,2/4;0/0;0/85,1/69,2/73
479.64;0;17;1;3;0/479.64;0/109.35,1/165.02,2/158.95;0/479.64;0/479.64,1/479.64,2/479.64;0/0;0/6,1/11,2/10;0/0;0/12,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/6;0/0;0/97,1/83,2/84
539.79;0;19;1;3;0/539.79;0/116.88,1/170.82,2/202.4;0/539.79;0/539.79,1/539.79,2/539.79;0/0;0/9,1/10,2/7;0/0;0/13,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/6;0/0;0/111,1/97,2/88
599.62;0;21;1;3;0/599.62;0/127.43,1/173.25,2/209.5;0/599.62;0/599.62,1/599.62,2/599.62;0/0;0/8,1/7,2/7;0/0;0/12,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/124,1/111,2/102
659.87;0;24;1;3;0/659.87;0/136.59,1/178.84,2/217.13;0/659.87;0/659.87,1/659.87,2/659.87;0/0;0/9,1/6,2/10;0/0;0/13,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/137,1/125,2/116
719.95;0;27;1;3;0/719.95;0/157.04,1/184.86,2/239.92;0/719.95;0/719.95,1/719.95,2/719.95;0/0;0/11,1/5,2/8;0/0;0/13,1/13,2/13;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/147,1/140,2/126
779.93;0;30;1;3;0/779.93;0/196.09,1/191.37,2/246.14;0/779.93;0/779.93,1/779.93,2/779.93;0/0;0/10,1/14,2/6;0/0;0/13,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/152,1/153,2/140
839.96;0;33;1;3;0/839.96;0/221.08,1/232.73,2/284.15;0/839.96;0/839.96,1/839.96,2/839.96;0/0;0/10,1/10,2/6;0/0;0/13,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/11;0/0;0/162,1/158,2/146
899.74;0;36;1;3;0/899.74;0/255.64,1/241.94,2/290.13;0/899.74;0/899.74,1/899.74,2/899.74;0/0;0/9,1/8,2/8;0/0;0/13,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/168,1/171,2/159
959.96;0;38;1;3;0/959.96;0/290.96,1/248.94,2/302.98;0/959.96;0/959.96,1/959.96,2/959.96;0/0;0/9,1/6,2/10;0/0;0/13,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/12;0/0;0/175,1/185,2/171
1019.77;0;41;1;3;0/1019.77;0/298.4,1/265.54,2/309.82;0/1019.77;0/1019.77,1/1019.77,2/1019.77;0/0;0/9,1/6,2/6;0/0;0/12,1/15,2/12;0/0;0/2,1/2,2/2;0/0;0/14,1/14,2/13;0/0;0/189,1/197,2/185
1079.98;0;44;1;3;0/1079.98;0/333.1,1/271.66,2/330.39;0/1079.98;0/1079.98,1/1079.98,2/1079.98;0/0;0/8,1/7,2/11;0/0;0/12,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/15,1/15,2/14;0/0;0/195,1/211,2/195
1139.63;0;47;1;3;0/1139.63;0/341.32,1/274.61,2/357.25;0/1139.63;0/1139.63,1/1139.63,2/1139.63;0/0;0/7,1/7,2/12;0/0;0/12,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/16,1/15,2/16;0/0;0/209,1/225,2/204
1199.94;0;50;1;3;0/1199.94;0/354.07,1/284.43,2/414.98;0/1199.94;0/1199.94,1/1199.94,2/1199.94;0/0;0/9,1/9,2/8;0/0;0/12,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/17,1/16,2/17;0/0;0/221,1/238,2/205
1259.98;0;54;1;3;0/1259.98;0/399.96,1/313.44,2/434.58;0/1259.98;0/1259.98,1/1259.98,2/1259.98;0/0;0/9,1/8,2/8;0/0;0/13,1/13,2/11;0/0;0/2,1/2,2/2;0/0;0/19,1/17,2/18;0/0;0/225,1/246,2/215
1319.97;0;57;1;3;0/1319.97;0/447.93,1/342.54,2/462.09;0/1319.97;0/1319.97,1/1319.97,2/1319.97;0/0;0/7,1/5,2/7;0/0;0/15,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/20,1/18,2/19;0/0;0/228,1/254,2/224
