#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;80.37;0.05;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.03,RP/0
59.86;80.15;0.17;PP/0,TA/0.1,IS/0,PS/0.03,RB/0,OB/0.03,RP/0
119.72;79.8;0.19;PP/0.01,TA/0.1,IS/0,PS/0.03,RB/0,OB/0.03,RP/0
179.99;79.45;0.29;PP/0.01,TA/0.18,IS/0,PS/0.1,RB/0,OB/0.04,RP/0
239.89;79.45;0.32;PP/0.01,TA/0.18,IS/0,PS/0.1,RB/0,OB/0.04,RP/0
299.61;79.45;0.37;PP/0.01,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.05,RP/0
359.96;79.4;0.39;PP/0.01,TA/0.21,IS/0,PS/0.1,RB/0,OB/0.05,RP/0
419.97;79.39;0.43;PP/0.01,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.05,RP/0
479.88;79.16;0.47;PP/0.02,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.06,RP/0
539.96;78.95;0.5;PP/0.02,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.06,RP/0
599.79;78.93;0.53;PP/0.02,TA/0.25,IS/0,PS/0.12,RB/0,OB/0.06,RP/0
659.97;78.93;0.62;PP/0.03,TA/0.27,IS/0,PS/0.13,RB/0,OB/0.07,RP/0
719.93;78.93;0.69;PP/0.03,TA/0.27,IS/0,PS/0.14,RB/0,OB/0.09,RP/0
779.64;78.93;0.74;PP/0.03,TA/0.29,IS/0,PS/0.14,RB/0,OB/0.1,RP/0
839.68;78.83;0.77;PP/0.04,TA/0.3,IS/0,PS/0.15,RB/0,OB/0.1,RP/0
899.96;78.68;0.81;PP/0.04,TA/0.31,IS/0,PS/0.15,RB/0,OB/0.1,RP/0
959.96;78.68;0.85;PP/0.04,TA/0.32,IS/0,PS/0.15,RB/0,OB/0.11,RP/0
1019.78;78.68;0.88;PP/0.04,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.11,RP/0
1079.96;78.59;0.9;PP/0.05,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.11,RP/0
1139.89;78.44;0.93;PP/0.05,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.11,RP/0
1199.84;78.34;0.95;PP/0.05,TA/0.35,IS/0,PS/0.16,RB/0,OB/0.12,RP/0
1259.98;78.27;0.99;PP/0.05,TA/0.37,IS/0,PS/0.16,RB/0,OB/0.12,RP/0
1319.73;78.26;1.02;PP/0.06,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.12,RP/0
1379.97;78.26;1.05;PP/0.06,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.12,RP/0
1439.98;78.26;1.09;PP/0.07,TA/0.39,IS/0,PS/0.18,RB/0,OB/0.12,RP/0
1499.95;78.26;1.13;PP/0.07,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.12,RP/0
1559.91;78.26;1.15;PP/0.07,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.13,RP/0
1619.91;78.19;1.17;PP/0.07,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.13,RP/0
1679.75;78.02;1.2;PP/0.08,TA/0.41,IS/0,PS/0.19,RB/0,OB/0.13,RP/0
1739.92;77.95;1.22;PP/0.08,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.13,RP/0
1799.65;77.9;1.25;PP/0.08,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.13,RP/0
