#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;91.04;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0,RP/0
59.86;91.01;0.12;PP/0.01,TA/0.08,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.94;90.59;0.18;PP/0.01,TA/0.12,IS/0,PS/0.03,RB/0,OB/0.01,RP/0
179.86;89.87;0.28;PP/0.01,TA/0.2,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
239.61;89.55;0.31;PP/0.01,TA/0.21,IS/0,PS/0.1,RB/0,OB/0.01,RP/0
299.82;89.39;0.35;PP/0.01,TA/0.22,IS/0,PS/0.1,RB/0,OB/0.02,RP/0
359.8;89.37;0.38;PP/0.01,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
419.73;89.37;0.41;PP/0.01,TA/0.23,IS/0,PS/0.11,RB/0,OB/0.02,RP/0
479.78;89.14;0.43;PP/0.02,TA/0.24,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
539.7;89.05;0.46;PP/0.02,TA/0.25,IS/0,PS/0.11,RB/0,OB/0.03,RP/0
599.58;88.77;0.49;PP/0.02,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.03,RP/0
659.84;88.72;0.52;PP/0.02,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
719.95;88.72;0.56;PP/0.02,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
779.96;88.6;0.58;PP/0.03,TA/0.28,IS/0,PS/0.12,RB/0,OB/0.04,RP/0
839.74;88.36;0.61;PP/0.03,TA/0.29,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
899.92;88.04;0.65;PP/0.03,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
959.82;87.9;0.68;PP/0.03,TA/0.32,IS/0,PS/0.13,RB/0,OB/0.05,RP/0
1019.98;87.8;0.7;PP/0.03,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1079.68;87.75;0.72;PP/0.03,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1139.93;87.51;0.75;PP/0.04,TA/0.33,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
1199.86;87.48;0.77;PP/0.04,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1259.8;87.48;0.8;PP/0.04,TA/0.34,IS/0,PS/0.14,RB/0,OB/0.06,RP/0
1319.74;87.48;0.82;PP/0.04,TA/0.35,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1379.69;87.48;0.84;PP/0.05,TA/0.35,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1439.8;87.48;0.88;PP/0.05,TA/0.36,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
1499.92;87.31;0.98;PP/0.07,TA/0.38,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1559.94;87.2;1.02;PP/0.07,TA/0.39,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
1619.9;87.14;1.04;PP/0.07,TA/0.39,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1679.85;87.09;1.06;PP/0.08,TA/0.39,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1739.83;87.09;1.09;PP/0.08,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1799.9;87.09;1.12;PP/0.08,TA/0.41,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
