#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.89;1;49.89;49.89;-9362.38
57.61;0;57.61;57.61;-9161
61.92;0;61.92;11.79;-10329.61
66.08;1;66.08;66.08;-9567.95
66.7;2;66.7;66.7;-9619.54
69.16;0;69.16;69.16;-8830.68
71.23;2;71.23;71.23;-9644.85
73.27;0;73.27;73.27;-9270.54
74.41;1;74.41;74.41;-9344.11
78.83;1;78.83;78.83;-9400.6
78.93;2;78.93;78.93;-9726.15
83.31;1;83.31;33.17;-10089.94
83.35;2;83.35;83.35;-9747.17
87.39;1;87.39;37.26;-9938.41
87.44;2;87.44;21.16;-8881.07
89.07;0;89.07;89.07;-9212.39
91.48;1;91.48;25.2;-10200.93
91.81;2;91.81;24.82;-9912.03
95.9;1;95.9;21.2;-10394.11
96.23;2;96.23;24.96;-10020.25
100.46;1;100.46;21.53;-10430.12
100.65;2;25.96;21.33;-8702.87
101.07;0;101.07;34.8;-10073.24
104.95;1;26.01;21.6;-10113.45
105.07;2;105.07;21.68;-10221.75
105.44;0;105.44;36.17;-10260.82
109.41;1;109.41;21.97;-10486.61
109.46;2;109.46;21.64;-10419.67
109.5;0;109.5;36.18;-10333.11
113.47;1;113.47;21.66;-10557.81
113.56;0;113.56;24.17;-10531.36
117.49;1;25.68;21.26;-10464.55
117.49;2;117.49;25.26;-10527.49
117.95;0;21.3;16.52;-10591.75
121.79;1;121.79;21.14;-10579.14
121.79;2;121.79;25.14;-10616.63
121.87;0;121.87;16.38;-10694.8
125.86;1;125.86;20.78;-10597.49
125.86;2;125.86;24.78;-10963.1
126.05;0;126.05;16.51;-10822.33
129.7;1;129.7;20.24;-11289.95
129.7;2;129.7;24.26;-11012.28
130.1;0;130.1;16.13;-10893.63
133.87;2;133.87;24.37;-11151.1
134.14;0;134.14;16.13;-10914.27
137.44;1;137.44;137.44;-9494.85
138.11;2;138.11;20.55;-11233.14
138.19;0;138.19;16.13;-11110.99
141.79;1;141.79;141.79;-9520.35
141.95;2;141.95;20.09;-11978.77
142.23;0;142.23;16.13;-11109.37
145.87;1;145.87;145.87;-9522.4
146;0;79.72;15.85;-11195.42
153.92;2;153.92;153.92;-9623.91
153.96;1;82.68;36.4;-8999.29
157.76;0;157.76;95.57;-9785.59
161.74;0;161.74;161.74;-9228.11
162.05;1;72.66;40.18;-9917.89
165.59;2;165.59;35.49;-10975.56
169.78;0;169.78;31.55;-10879.87
169.78;2;169.78;35.64;-9835.25
174.09;2;174.09;35.9;-10256.37
178.13;2;178.13;35.9;-10495.89
182.08;0;182.08;28.12;-10009.12
182.17;1;182.17;48.03;-9842.76
182.48;2;182.48;36.53;-11351.54
186.15;0;186.15;28.19;-11166.9
186.51;1;186.51;49.02;-9886.59
190.11;0;52.62;28.11;-11180.07
190.78;1;190.78;48.87;-10183.1
195.01;1;89.94;49.06;-10286.98
199.47;1;73.42;45.46;-11048.63
203.64;1;203.64;41.21;-11578.49
206.14;0;11.08;10.66;-10007.68
215.17;2;215.17;215.17;-9603.78
219.1;1;219.1;219.1;-9184.98
223.15;1;223.15;93.05;-10509.62
225.19;0;225.19;225.19;-8794.02
226.93;1;226.93;226.93;-9436.05
229.07;0;229.07;86.79;-9623.31
233.31;0;86.99;51.18;-9733.62
237.5;0;237.5;51.31;-9991.43
239.28;1;239.28;48.31;-10118.59
243.37;1;243.37;48.31;-10150.06
245.88;0;245.88;55.46;-10519.02
250.25;0;128.19;27.03;-9772.06
254.69;0;254.69;29.43;-10072.39
259.05;0;31.79;29.74;-9363.48
262.87;2;262.87;262.87;-9491.64
263.1;0;263.1;29.74;-10290.33
263.72;1;133.58;48.5;-9495.35
266.77;2;128.53;84.24;-8854.37
267.52;0;267.52;29.74;-10381.17
267.89;1;101.88;48.71;-11362.83
271.84;1;80.87;48.62;-11816.08
275.85;1;80.37;48.59;-12022.02
280;1;280;40.67;-12142.33
287.41;2;287.41;28.17;-9039.74
290.66;0;290.66;290.66;-8803.2
291.54;2;203.72;28.49;-9296.54
294.99;1;294.99;108.44;-10056.15
