#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.78;0;0;1;3;0/59.78;0/52.25,1/47.58,2/59.78;0/59.78;0/59.78,1/59.78,2/59.78;0/0;0/4,1/5,2/4;0/0;0/18,1/14,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/2,1/4,2/0
119.67;0;0;1;3;0/119.67;0/57.92,1/56.16,2/76.85;0/119.67;0/119.67,1/119.67,2/119.67;0/0;0/6,1/5,2/4;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/17,1/17,2/12
179.98;0;3;1;3;0/179.98;0/64.62,1/63.63,2/83.61;0/179.98;0/179.98,1/179.98,2/179.98;0/0;0/6,1/6,2/6;0/0;0/13,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/30,1/31,2/25
239.86;0;7;1;3;0/239.86;0/86.89,1/69.52,2/100.73;0/239.86;0/239.86,1/239.86,2/239.86;0/0;0/6,1/12,2/13;0/0;0/18,1/21,2/21;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/40,1/46,2/37
299.85;0;9;1;3;0/299.85;0/92.07,1/95.01,2/110.04;0/299.85;0/299.85,1/299.85,2/299.85;0/0;0/6,1/11,2/7;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/55,1/55,2/50
359.92;0;12;1;3;0/359.92;0/98.02,1/121.22,2/148.1;0/359.92;0/359.92,1/359.92,2/359.92;0/0;0/4,1/10,2/4;0/0;0/15,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/69,1/63,2/56
419.99;0;16;1;3;0/419.99;0/126.55,1/152.45,2/154.67;0/419.99;0/419.99,1/419.99,2/419.99;0/0;0/4,1/8,2/4;0/0;0/16,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/5;0/0;0/77,1/71,2/69
479.82;0;18;1;3;0/479.82;0/131.93,1/157.12,2/163.44;0/479.82;0/479.82,1/479.82,2/479.82;0/0;0/11,1/8,2/8;0/0;0/14,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/91,1/85,2/83
539.86;0;21;1;3;0/539.86;0/162.75,1/166.67,2/184.34;0/539.86;0/539.86,1/539.86,2/539.86;0/0;0/4,1/11,2/6;0/0;0/12,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/99,1/98,2/93
599.64;0;24;1;3;0/599.64;0/170.05,1/184.51,2/191.76;0/599.64;0/599.64,1/599.64,2/599.64;0/0;0/12,1/10,2/7;0/0;0/12,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/8,1/9,2/7;0/0;0/113,1/109,2/106
659.67;0;27;1;3;0/659.67;0/226.1,1/198.8,2/202.28;0/659.67;0/659.67,1/659.67,2/659.67;0/0;0/5,1/11,2/7;0/0;0/14,1/13,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/10,2/9;0/0;0/113,1/121,2/120
719.88;0;29;1;3;0/719.88;0/235.96,1/246.14,2/217.21;0/719.88;0/719.88,1/719.88,2/719.88;0/0;0/5,1/8,2/7;0/0;0/12,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/10;0/0;0/127,1/124,2/132
779.82;0;32;1;3;0/779.82;0/244.08,1/256.25,2/243.08;0/779.82;0/779.82,1/779.82,2/779.82;0/0;0/9,1/9,2/7;0/0;0/13,1/13,2/17;0/0;0/2,1/2,2/2;0/0;0/10,1/12,2/10;0/0;0/140,1/138,2/140
839.96;0;34;1;3;0/839.96;0/259.21,1/282.04,2/255.6;0/839.96;0/839.96,1/839.96,2/839.96;0/0;0/7,1/11,2/4;0/0;0/14,1/16,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/12,2/11;0/0;0/152,1/146,2/153
899.9;0;38;1;3;0/899.9;0/290.43,1/292.84,2/261.69;0/899.9;0/899.9,1/899.9,2/899.9;0/0;0/6,1/11,2/6;0/0;0/15,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/12,1/14,2/12;0/0;0/159,1/159,2/167
959.87;0;40;1;3;0/959.87;0/296.93,1/295.75,2/274.7;0/959.87;0/959.87,1/959.87,2/959.87;0/0;0/9,1/9,2/7;0/0;0/14,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/13,1/14,2/13;0/0;0/173,1/174,2/179
1020;0;42;1;3;0/1020;0/330.09,1/300.51,2/282.35;0/1020;0/1020,1/1020,2/1020;0/0;0/12,1/8,2/10;0/0;0/15,1/12,2/19;0/0;0/2,1/2,2/2;0/0;0/14,1/15,2/13;0/0;0/180,1/188,2/192
1079.8;0;46;1;3;0/1079.8;0/368.02,1/306.1,2/287.73;0/1079.8;0/1079.8,1/1079.8,2/1079.8;0/0;0/13,1/11,2/7;0/0;0/13,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/16,1/16,2/14;0/0;0/186,1/202,2/206
