#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.36
59.64;200;200;0;47.62;0;59.64;0;0.36
119.96;200;200;0;87.12;0;119.96;0;0.41
179.94;200;200;0;119.78;0;172.43;0;0.4
239.99;200;200;0;156.36;0;214.36;0;0.48
299.94;200;200;0;176.87;0;283.51;0;0.48
359.85;200;200;0;196.26;0;293.85;0;0.4
420;200;200;0;215.6;0;346.85;0;0.43
479.85;200;200;0;246.18;0;392.63;0;0.49
539.98;200;200;0;272.75;0;453.5;0;0.51
599.93;200;200;0;290.61;0;473.45;0;0.52
659.9;200;200;0;305.67;0;508.7;0;0.54
719.68;200;200;0;308.39;0;620.67;0;0.48
779.95;200;200;0;342.08;0;662.76;0;0.56
839.99;200;200;0;320.23;0;744.12;0;0.44
900;200;200;0;323.6;0;747.58;0;0.42
959.81;200;200;0;359.31;0;778.24;0;0.4
1019.67;200;200;0;383.17;0;795.15;0;0.41
1079.98;200;197;0;401.6;0;847.16;0;0.42
1139.72;200;182;0;444.98;0;978.76;0;0.45
1199.87;200;176;0;477.22;0;1009.69;0;0.48
1260;200;160;0;485.49;0;1057.75;0;0.42
1319.78;200;150;0;522.98;0;1077.34;0;0.47
1379.98;200;143;0;527.4;0;1138.03;0;0.51
1439.81;200;132;0;502.88;0;1251;0;0.49
1499.75;200;129;0;501.85;0;1300.4;0;0.49
1559.64;200;123;0;483.8;0;1265.57;0;0.46
1619.93;200;118;0;506.9;0;1422.28;0;0.47
1679.96;200;112;0;491.27;0;1475.07;0;0.44
1739.96;200;108;0;512.93;0;1498.84;0;0.47
1799.9;200;102;0;552.52;0;1578.72;0;0.45
