#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
48.82;0;48.82;48.82;-8851.02
52.21;2;52.21;52.21;-9759.07
57.42;0;57.42;57.42;-8961.79
61.21;1;61.21;61.21;-9351.07
64.63;2;64.63;64.63;-9761.57
69.05;2;69.05;69.05;-9761.47
69.5;0;69.5;69.5;-9274.3
73.92;1;73.92;73.92;-9594.35
77.09;2;77.09;28.06;-10050.62
77.98;1;77.98;77.98;-9380.81
81.53;2;32.5;29.13;-9358.88
82.4;1;82.4;82.4;-9551.64
85.95;0;85.95;36.92;-10111.27
85.95;2;85.95;21.16;-10563.21
86.83;1;86.83;29.37;-9756.68
90.01;0;90.01;40.98;-9951.69
90.01;2;90.01;20.8;-11216.06
91.25;1;91.25;29.72;-9900.1
94.81;0;94.81;37.34;-10197.6
94.81;2;94.81;17.3;-11949.03
95.69;1;95.69;21.73;-9929.24
99.25;0;41.78;29.7;-9576.29
100;1;100;21.98;-9956.37
103.29;0;103.29;17.3;-10262.97
104.55;1;104.55;22.11;-9968.54
108.1;0;108.1;17.69;-10334.5
108.99;1;108.99;22.11;-10021.54
111.21;2;16.36;15.94;-11699
112.38;0;112.38;17.53;-10348.29
113.03;1;113.03;21.74;-10061.28
116.6;0;116.6;17.3;-10417.37
117.48;1;117.48;21.74;-10264.65
118.55;2;118.55;118.55;-9597.53
120.8;0;120.8;17.09;-10458.57
122.05;1;122.05;21.89;-10475.53
122.25;2;122.25;122.25;-9715.97
125.3;0;20.7;17.15;-9866.15
125.9;1;125.9;21.3;-10597.45
126.63;2;126.63;126.63;-9678.46
129.72;0;129.72;17.15;-10571.22
130.32;1;52.3;21.29;-11063.05
134.33;1;134.33;21.04;-11061.2
134.33;2;134.33;48.33;-9515.28
136.7;0;136.7;136.7;-8789.75
140.77;0;140.77;140.77;-8953.09
142.39;2;93.36;25.76;-9352.04
145.06;0;145.06;145.06;-9073.54
146.66;2;146.66;28.06;-9857.19
148.91;0;148.91;148.91;-9152.56
150.05;1;150.05;150.05;-9512.09
150.7;2;150.7;28.06;-9965.78
154.17;1;154.17;154.17;-9508.81
154.69;2;154.69;28.01;-10121.29
158.92;2;158.92;24.19;-10269.73
163.26;2;163.26;20.48;-10390.17
167.33;2;167.33;20.51;-10527.27
168.92;0;73.18;39.02;-9662.38
173.23;0;173.23;38.5;-9852.57
175.18;2;113.65;24.32;-10573.57
177.02;0;91.03;40.27;-10614.05
177.92;1;177.92;37.11;-10673.15
179.06;2;179.06;24.16;-10821.13
