#TimeStamp;Bot;Pod;OutputStation
38.84;4;31;0
41.17;5;12;1
42.73;4;31;0
43.51;3;16;2
45.18;5;12;1
47.07;4;31;0
47.57;3;16;2
51.13;4;31;0
51.8;3;16;2
55.55;4;31;0
56.15;3;16;2
59.97;4;31;0
60.48;3;16;2
64.02;4;31;0
64.57;0;5;1
64.57;3;16;2
68.44;4;31;0
68.9;0;5;1
68.95;3;16;2
72.86;4;31;0
72.95;0;5;1
73.06;3;16;2
76.95;0;5;1
77.19;3;16;2
79.53;2;6;0
80.95;0;5;1
81.61;3;16;2
83.61;2;6;0
85.06;0;5;1
85.65;3;16;2
87.65;2;6;0
89.11;0;5;1
89.7;3;16;2
91.7;2;6;0
93.53;0;5;1
93.74;3;16;2
95.74;2;6;0
97.74;0;5;1
97.79;3;16;2
99.78;2;6;0
101.96;3;16;2
103.64;2;6;0
106.38;3;16;2
107.84;2;6;0
108.89;5;40;1
110.43;3;16;2
112.26;2;6;0
112.85;5;40;1
114.81;3;16;2
116.3;2;6;0
117.05;5;40;1
119.05;3;16;2
120.39;2;6;0
121.01;5;40;1
123.1;3;16;2
124.81;2;6;0
124.85;5;40;1
128.85;2;6;0
129.1;5;40;1
130.36;1;30;2
132.89;2;6;0
133.52;5;40;1
134.65;1;30;2
136.61;2;6;0
137.94;5;40;1
138.94;1;30;2
140.57;2;6;0
142.36;5;40;1
142.98;1;30;2
144.83;2;6;0
146.78;5;40;1
146.94;1;30;2
148.9;2;6;0
150.9;5;40;1
151.03;1;30;2
154.95;5;40;1
155.24;1;30;2
156.12;4;49;0
159.28;1;30;2
160.19;4;49;0
163.33;1;30;2
164.23;4;49;0
167.12;1;30;2
167.84;0;24;1
168.24;4;49;0
172.26;0;24;1
172.3;4;49;0
176.3;0;24;1
176.72;4;49;0
180.45;0;24;1
180.72;4;49;0
184.72;4;49;0
184.72;0;24;1
188.44;4;49;0
204.73;2;4;0
208.9;2;4;0
210.03;3;2;2
212.69;5;3;1
213.16;2;4;0
214.07;3;2;2
216.74;5;3;1
216.99;2;4;0
218.29;3;2;2
220.76;5;3;1
220.87;2;4;0
222.64;3;2;2
224.74;5;3;1
225.27;2;4;0
226.71;3;2;2
228.46;5;3;1
229.22;2;4;0
232.8;5;3;1
233.31;2;4;0
237.05;5;3;1
237.36;2;4;0
240.86;1;46;2
241.26;5;3;1
241.78;2;4;0
245.21;1;46;2
246.02;2;4;0
249.23;1;46;2
250.09;2;4;0
253.39;1;46;2
254.06;0;45;1
254.51;2;4;0
257.6;1;46;2
258.01;0;45;1
258.93;2;4;0
261.98;1;46;2
262.02;0;45;1
263.35;2;4;0
265.82;1;46;2
266.35;0;45;1
267.77;2;4;0
269.69;1;46;2
270.39;0;45;1
273.9;1;46;2
274.44;4;54;0
274.52;0;45;1
277.9;1;46;2
278.52;4;54;0
278.81;0;45;1
281.9;1;46;2
282.56;4;54;0
283.23;0;45;1
285.74;1;46;2
286.32;4;54;0
287.64;0;45;1
290.02;1;46;2
290.36;4;54;0
294.27;4;54;0
298.5;4;54;0
302.6;4;54;0
303.23;3;37;2
306.65;4;54;0
307.45;3;37;2
310.69;4;54;0
311.87;3;37;2
314.33;5;25;1
314.74;4;54;0
316.09;3;37;2
318.37;5;25;1
318.78;4;54;0
320.22;3;37;2
322.79;5;25;1
322.84;4;54;0
324.21;3;37;2
326.75;5;25;1
326.91;4;54;0
328.26;3;37;2
330.77;5;25;1
330.97;4;54;0
332.25;3;37;2
334.84;5;25;1
335.44;4;54;0
336.31;3;37;2
338.93;5;25;1
339.81;4;54;0
340.42;3;37;2
343.36;5;25;1
344.73;3;37;2
346.43;2;31;0
347.78;5;25;1
348.77;3;37;2
350.73;2;31;0
352.23;5;25;1
353.05;3;37;2
354.77;2;31;0
356.65;5;25;1
357.47;3;37;2
358.83;2;31;0
360.6;5;25;1
361.74;3;37;2
363.25;2;31;0
364.45;5;25;1
365.76;3;37;2
367.32;2;31;0
369.45;3;37;2
371.36;2;31;0
371.36;0;58;1
373.43;3;37;2
375.06;0;58;1
375.41;2;31;0
379.41;0;58;1
383.45;0;58;1
385.5;1;17;2
387.35;0;58;1
389.59;1;17;2
391.37;0;58;1
393.68;1;17;2
395.36;0;58;1
396.15;4;47;0
398.1;1;17;2
399.35;0;58;1
400.31;4;47;0
402.31;1;17;2
403.5;0;58;1
403.96;4;47;0
406.4;1;17;2
408.01;4;47;0
410.72;1;17;2
412.29;4;47;0
416;4;47;0
420.36;4;47;0
424.78;4;47;0
429.1;4;47;0
432.19;3;29;2
433.12;5;38;1
433.52;4;47;0
436.25;3;29;2
437.18;5;38;1
437.94;4;47;0
440.32;3;29;2
441.59;5;38;1
444.74;3;29;2
445.58;5;38;1
445.63;2;25;0
448.81;3;29;2
449.58;5;38;1
449.75;2;25;0
452.96;3;29;2
453.63;5;38;1
453.87;2;25;0
457.14;3;29;2
457.89;2;25;0
457.89;5;38;1
461.19;3;29;2
461.77;2;25;0
462.09;5;38;1
465.3;3;29;2
466.51;5;38;1
469.72;3;29;2
470.64;5;38;1
474.13;3;29;2
475.06;5;38;1
478.3;3;29;2
482.08;0;7;1
482.48;3;29;2
486.12;0;7;1
486.9;3;29;2
490.17;0;7;1
491.23;3;29;2
494.09;0;7;1
495.57;3;29;2
498.25;0;7;1
499.41;3;29;2
502.27;0;7;1
506.32;0;7;1
506.78;1;27;2
510.36;0;7;1
511.14;1;27;2
514.41;0;7;1
515.18;1;27;2
516.87;2;9;0
518.45;0;7;1
519.21;1;27;2
521.18;2;9;0
522.5;0;7;1
522.96;1;27;2
525.04;2;9;0
526.55;0;7;1
527.26;1;27;2
528.99;2;9;0
530.97;0;7;1
531.26;1;27;2
533.26;2;9;0
535.02;0;7;1
535.3;1;27;2
537.32;2;9;0
539.07;0;7;1
539.35;1;27;2
541.39;2;9;0
543.35;0;7;1
545.39;2;9;0
547.39;0;7;1
549.46;2;9;0
553.88;2;9;0
554.3;5;43;1
558.59;5;43;1
561.38;4;44;0
562.42;5;43;1
565.47;4;44;0
566.63;5;43;1
569.52;4;44;0
570.42;5;43;1
572.33;3;55;2
573.46;4;44;0
574.46;5;43;1
576.38;3;55;2
577.56;4;44;0
578.68;5;43;1
580.68;3;55;2
581.63;4;44;0
582.72;5;43;1
584.72;3;55;2
585.95;4;44;0
586.79;5;43;1
588.77;3;55;2
590.33;4;44;0
591.24;5;43;1
592.84;3;55;2
594.37;4;44;0
597.19;3;55;2
601.38;3;55;2
605.8;3;55;2
610.13;3;55;2
614.29;3;55;2
618.72;3;55;2
618.84;0;32;1
621.72;2;23;0
622.79;3;55;2
623.06;0;32;1
625.8;2;23;0
626.78;3;55;2
627.48;0;32;1
630.11;2;23;0
630.57;3;55;2
631.68;0;32;1
634.15;2;23;0
635.68;0;32;1
637.74;1;37;2
637.95;2;23;0
639.9;0;32;1
641.9;1;37;2
641.99;2;23;0
643.56;0;32;1
645.99;2;23;0
647.95;0;32;1
649.85;2;23;0
652.23;0;32;1
654.23;2;23;0
656.28;0;32;1
658.28;2;23;0
660.32;0;32;1
662.33;2;23;0
664.36;0;32;1
666.38;2;23;0
668.41;0;32;1
673.29;4;34;0
675.59;5;8;1
677.48;4;34;0
679.97;5;8;1
681.57;4;34;0
684.03;5;8;1
685.84;4;34;0
688.28;5;8;1
689.71;4;34;0
692.03;5;8;1
693.73;4;34;0
696.42;5;8;1
697.62;4;34;0
700.49;5;8;1
701.99;4;34;0
704.45;3;39;2
