#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.5
59.67;200;200;0;52.32;0;58.27;0;0.52
119.83;200;200;0;91.6;0;111.59;0;0.5
179.96;200;200;0;102.12;0;161.63;0;0.47
239.69;200;200;0;116.82;0;210.86;0;0.6
299.8;200;200;0;131.47;0;228.6;0;0.52
359.84;200;200;0;140.32;0;276.02;0;0.54
419.84;200;200;0;170.38;0;336.2;0;0.49
479.97;200;200;0;154.95;0;334.66;0;0.61
539.76;200;200;0;192.81;0;429.12;0;0.6
599.94;200;200;0;179.85;0;430.59;0;0.59
659.95;200;200;0;180.12;0;392.03;0;0.59
719.63;200;200;0;182.35;0;423.9;0;0.63
779.68;200;200;0;234.83;0;562.01;0;0.62
839.92;200;200;0;242.91;0;644.14;0;0.61
899.74;200;200;0;256.56;0;549.56;0;0.64
959.98;200;198;0;253.97;0;665.3;0;0.58
1019.69;200;192;0;295.23;0;756.13;0;0.59
1079.76;200;173;0;287.9;0;692.24;0;0.69
1139.68;200;148;0;276.6;0;647.35;0;0.62
1199.93;200;127;0;311.48;0;895.39;0;0.57
1259.65;200;119;0;277.56;0;1002.23;0;0.59
1319.86;200;110;0;260.15;0;1043.79;0;0.62
1379.94;200;104;0;275.84;0;1101.34;0;0.64
1439.82;200;83;0;297.88;0;1203.61;0;0.61
1499.79;200;73;0;325.29;0;1305.36;0;0.51
1559.94;200;65;0;343.62;0;1335.65;0;0.49
1619.92;200;58;0;377.66;0;1355.37;0;0.5
1679.73;200;47;0;349.02;0;1444.52;0;0.56
1739.7;200;39;0;326.99;0;1494.15;0;0.55
1799.78;200;32;0;350.79;0;1560.01;0;0.67
