#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
48.66;2;48.66;48.66;-9705.85
53.09;2;53.09;53.09;-9751.99
57.16;2;57.16;57.16;-9773.35
61.21;2;61.21;12.25;-10367.44
62.89;1;62.89;62.89;-9349.39
63.04;0;63.04;63.04;-9326.8
65.63;2;65.63;16.67;-10226.78
67.58;0;67.58;18.63;-9259.57
69.76;2;69.76;16.59;-10420.25
71.58;0;71.58;8.42;-9771.93
73.83;2;73.83;16.63;-10456.76
75.06;1;75.06;75.06;-9593.21
75.58;0;75.58;7.96;-9949.35
78.25;2;78.25;16.63;-10517.77
79.35;1;79.35;79.35;-9400.08
80;0;80;8.24;-9993.09
82.71;2;82.71;17.04;-10733.95
83.77;1;83.77;83.77;-9579.21
84.42;0;84.42;8.58;-10387.69
87.13;2;87.13;17.33;-10861.25
88.19;1;88.19;26.57;-8744.43
88.84;0;88.84;8.58;-10449.63
91.55;2;19.8;17.68;-10119.66
92.61;1;92.61;29.57;-10037.91
93.26;0;9.26;8.58;-11382.71
95.97;2;95.97;17.68;-10927.76
97.11;1;97.11;21.94;-10076.14
97.68;0;97.68;8.58;-12318.53
100.35;2;100.35;17.59;-10948.06
101.32;1;101.32;21.74;-10329.13
104.77;2;104.77;17.59;-11146.84
105.99;1;105.99;21.99;-10399.5
108.61;0;108.61;108.61;-8985.24
108.61;2;21.43;17.01;-10591.62
110.45;1;110.45;22.03;-10534.47
112.94;2;112.94;16.92;-11448.22
114.87;1;23.27;22.03;-10606.03
116.74;0;116.74;116.74;-9101.86
117.03;2;117.03;16.59;-11559.95
118.95;1;22.93;21.69;-9778.85
120.7;0;120.7;120.7;-9180.77
121.49;2;21.06;16.64;-11767.12
122.97;1;61.34;21.29;-11213.8
124.75;0;124.75;124.75;-9214.57
127.01;1;127.01;20.91;-11284.08
131.1;1;30.66;20.58;-11745.19
133.06;0;52.79;35.11;-9937.76
135.34;1;46.92;20.4;-11869.2
136.82;2;136.82;136.82;-9579.26
137.1;0;137.1;36.66;-9888.7
139.88;1;50.77;20.88;-11953.82
140.91;2;140.91;140.91;-9685.28
141.14;0;141.14;32.24;-10214.95
145.13;2;145.13;32.14;-9707.25
145.17;0;145.17;28.19;-10228.71
146.98;1;146.98;146.98;-9257.1
149.26;0;149.26;28.23;-10232.87
151.1;1;151.1;151.1;-9481.2
153.3;0;153.3;28.23;-10238.22
157.46;0;64.62;24.34;-10312.3
158.97;1;158.97;158.97;-9299.81
161.26;2;161.26;28.14;-11265.88
161.88;0;161.88;24.72;-10581.92
165.32;2;63.64;28.27;-11933.56
170.32;0;170.32;29.12;-10879.34
170.95;1;170.95;43.87;-10222.48
174.46;0;57.47;29.21;-11064.58
175.25;1;105.45;44.11;-8623.37
178.5;0;178.5;29.2;-11174.55
179.13;1;57.52;43.56;-9571.41
185.46;0;185.46;185.46;-8714.39
187.27;1;187.27;42.1;-10341.86
189.5;0;189.5;189.5;-8904.36
191.12;1;191.12;43.99;-10509.81
193.54;0;193.54;193.54;-9053.47
195.42;1;195.42;44.24;-11175.84
199.5;1;41.99;40.29;-11422.72
205.81;0;46.6;43.88;-9739.74
209.96;0;209.96;39.6;-9793.88
215.71;1;36.34;36.3;-11860.61
222.04;0;84.88;43.21;-9796.98
226.13;0;226.13;40.3;-10862.83
230.53;0;44.7;40.66;-11522.68
231.04;1;231.04;91.06;-9866.86
234.31;2;101.19;38.81;-8881.71
235.04;1;235.04;235.04;-9398.99
242.8;2;242.8;242.8;-9535.02
251.19;1;251.19;24.68;-11033.77
251.19;2;251.19;251.19;-9587.03
255.48;1;69.65;24.39;-12032.74
255.48;2;39.52;12.54;-9355.75
257.75;0;257.75;257.75;-8668.71
259.63;1;259.63;24.46;-12162.7
259.63;2;259.63;16.7;-8708.87
263.42;2;263.42;12.18;-9741.61
266.23;0;266.23;80.4;-10733.96
267.6;2;267.6;11.94;-10059.22
272.14;2;272.14;12.44;-10054.94
276.54;2;276.54;12.79;-10276.89
278.35;0;278.35;68.34;-10178.86
280.42;2;16.67;12.42;-9662.12
282.63;0;161.6;76.66;-10597.51
284.7;2;284.7;12.51;-10453.73
288.74;2;37.5;12.13;-10482.18
290.48;0;290.48;68.39;-10894.46
293.16;2;293.16;12.51;-10848.82
297.21;2;297.21;12.47;-11408.8
301.59;2;301.59;12.8;-11734.97
305.81;2;305.81;12.6;-11738.03
307.18;1;307.18;111.68;-10018.88
309.91;2;309.91;12.48;-11877.58
313.91;0;313.91;83.33;-9853.08
314.11;2;16.68;12.33;-10549.12
315.79;1;166.49;140.47;-10417.61
318.09;0;318.09;318.09;-8701.13
318.22;2;243.06;12.37;-12128.03
320.04;1;215.19;128.59;-9711.94
324.04;1;215.14;124.5;-10073.04
325.99;2;200.92;180.82;-9719.53
330.09;2;330.09;208.48;-10875.54
344.39;1;86.43;84.69;-10045.52
346.3;2;346.3;22.14;-12083.4
348.72;1;269.14;46.93;-9231.12
350.73;2;350.73;24.69;-12461.3
352.89;1;207.72;45.44;-9274.45
357.05;1;151.08;41.18;-9523.34
358.68;2;12.34;11.92;-9405.13
360.85;1;245.91;40.74;-9654.34
365.49;1;280.8;41.33;-9865.44
369.59;1;293.75;25.02;-9937.28
373.93;1;59.86;25.17;-9976.77
378.35;1;59.86;25.31;-10018.98
389.9;1;292.64;173.93;-10370.77
393.98;1;393.98;393.98;-9291.46
397.83;2;397.83;397.83;-9288.41
397.93;0;397.93;131.61;-9913.09
401.98;0;268.86;144.02;-10754.91
405.91;2;87.78;87.42;-9082.78
409.91;1;409.91;44.36;-11113.95
410.13;0;410.13;183.62;-9713.09
413.88;2;106.43;67.53;-10165.24
417.96;1;116.17;47.98;-11248.25
417.96;2;116.17;23.91;-10764.15
422;2;24.02;23.91;-10180.2
422.6;0;98.44;28.55;-9048.68
426.13;1;426.13;51.95;-11375.33
427.17;0;427.17;29.19;-9614.54
431.47;0;431.47;29.38;-10217.22
434.13;1;371.09;55.53;-11410.99
436.06;0;436.06;25.65;-10213.1
438.01;1;438.01;48.01;-9736.31
441.64;2;441.64;441.64;-9369.63
442.3;1;442.3;52.3;-9614.07
444.1;0;444.1;21.28;-10320.8
445.64;2;445.64;131.26;-10064.32
446.76;1;255.3;52.71;-9929.24
448.38;0;448.38;21.13;-10431.76
450.09;2;288.79;11.8;-9982.29
451.18;1;241.17;41.09;-10511.55
453.02;0;164.23;21.36;-10453.99
454.15;2;109.57;12.14;-12358.25
455.02;1;52.93;36.89;-10846.44
457.11;0;378.81;21.01;-10551.07
459.28;1;328.14;33.11;-10904.55
461.06;0;309.89;16.77;-10559.07
465.06;0;182.37;16.35;-10796.04
469.65;0;469.65;16.52;-10836.42
470.58;1;470.58;470.58;-8947.94
474.1;0;474.1;16.83;-10945.55
474.61;1;474.61;295.24;-10307.49
477.87;0;315.95;16.56;-10957.86
485.6;0;259.09;171.53;-8443.1
486.49;1;68.35;44.15;-8238.18
489.58;2;489.58;39.45;-11272.38
490.04;0;490.04;490.04;-8853.77
490.51;1;350.52;43.71;-8745.94
494.51;0;324.14;319.72;-10345.21
494.6;1;120.42;43.37;-9019.87
502.01;2;354.88;47.45;-11383.73
506.01;2;506.01;20.37;-10165.27
506.64;1;116.64;41.28;-9809.03
510.51;2;510.51;20.89;-10645.27
510.55;0;510.55;24.91;-10570.61
510.68;1;510.68;40.06;-9855.57
514.63;2;461.47;12.58;-11011.84
514.68;0;284.1;29.03;-10576.8
514.72;1;259.06;39.98;-10080.85
518.31;2;518.31;12.22;-11045.6
518.72;0;33.08;28.63;-11101.34
519.01;1;77;32.22;-10874.76
522.81;2;327.31;12.25;-11254.92
523.01;0;91.34;28.46;-12617.97
523.05;1;37.41;32.22;-11164.32
526.95;2;202.79;12.27;-11358.58
527.1;1;25.04;25;-10485.48
537.65;2;294.71;119.52;-9467.6
545.81;2;439.71;123.63;-9886.55
545.87;1;151.82;90.6;-9052.73
549.91;1;549.91;294.25;-10721.82
553.87;2;374.46;30.87;-9644.3
557.55;0;278.89;274.85;-10551.09
561.96;0;561.96;271.21;-10760.4
561.96;1;561.96;50.99;-11052.16
561.96;2;147.87;24.13;-10095.53
565.71;0;299.38;247.57;-8576.39
565.71;2;51.03;27.88;-10018.59
569.64;1;143.47;23.78;-11379.95
570.05;0;380.17;100.35;-9484.95
570.05;2;223.29;24.18;-10882.95
574.09;2;24.13;20.17;-10559.79
584.2;2;353.11;57.15;-9065.69
586.11;0;586.11;63.06;-10743.45
590.53;0;211.94;36.61;-9697.65
592.44;2;315.83;233.4;-10240.14
593.75;1;7.6;7.18;-9757.89
594.38;0;594.38;36.79;-9848.23
598.64;0;515.88;36.64;-9974.35
602.73;0;113.1;36.68;-9994.7
607.17;0;480.09;37.08;-10006.68
611.17;0;436.39;25.02;-10203.04
612.4;2;612.4;28.15;-10110.95
615.17;0;557.97;24.6;-10234.99
616.78;2;555.15;32.54;-10022.53
619.35;0;478.15;24.69;-10476.87
620.23;1;620.23;181.94;-11327.01
621.37;2;260.23;28.7;-10229.34
623.37;0;623.37;24.66;-10625.81
625.07;2;489.5;12.36;-10996.64
627.37;0;168.04;24.6;-11015.9
628.62;1;109.57;105.52;-9813.64
629.33;2;629.33;12.2;-10999.45
631.54;0;631.54;24.32;-11120.01
632.78;1;58.65;15.65;-8895.25
637.09;1;175.78;16.81;-10826.54
637.25;2;20.12;15.8;-10395.98
638;0;638;118.99;-10496.59
641.51;1;381.81;12.81;-10970.8
641.58;2;22.14;16.1;-11152.79
645.6;1;251.55;12.77;-11034.34
646;2;340.15;16.47;-11380.64
646.22;0;331.83;168.03;-9959.5
649.99;1;143.89;12.75;-11214.98
650.22;2;228.04;12.63;-11420.11
654.02;1;305.25;12.44;-11688.32
654.3;2;131.25;12.3;-11609.43
658.05;1;34.57;12.05;-11771.33
662.35;1;205.08;12.13;-12447.59
665.1;2;349.23;251.01;-8938.19
667.01;1;29.76;12.71;-12589.08
669.1;2;669.1;103.05;-11470.38
670.14;0;670.14;32.9;-11228.51
674.32;0;625.37;36.08;-11787.67
675.11;1;9.93;9.88;-12090.38
678.41;0;629.45;32.11;-11993.39
682.33;1;171.37;167.32;-9404.76
682.45;0;619.29;12.11;-12557.88
686.12;1;686.12;226.79;-9257.24
688.96;2;266.14;30.62;-9385.41
692.96;2;207.32;27.78;-9912.85
696.95;2;227.26;27.73;-10043.73
698.43;1;249.72;19.97;-10361.51
701.05;2;230.42;11.77;-10328.97
702.55;1;136.51;20.14;-10937.5
705.22;2;218.43;11.9;-10665.26
706.68;1;215.85;20.23;-10948.5
709.27;2;299.18;11.9;-11055.38
710.7;1;156.78;12.16;-11806.92
713.42;2;343.44;12.01;-11082.84
714.75;1;272.41;12.15;-11945.61
717.52;2;190.38;12.07;-11232.08
718.79;1;60.44;12.01;-12229.91
721.46;2;175.59;11.96;-11852.38
722.92;1;115.7;12.1;-13440.26
735.98;0;735.98;457.33;-10574.01
736.06;2;736.06;574.75;-9217.9
740;0;740;108.42;-9457.22
740.33;2;342.25;166.2;-9491.5
744.11;0;744.11;116.57;-9383.61
748.84;1;330.71;198.89;-10173.17
752.39;0;752.39;69.51;-10211.58
753.32;1;98.97;90.68;-11482.89
756.44;0;318.14;20.38;-10001.68
760.88;0;295.53;24.83;-8920.2
761.77;1;582.94;42.86;-10138.52
765.32;0;227.5;24.99;-10244.4
765.95;1;765.95;42.98;-10240.91
769.45;0;119.23;25.07;-10298.28
773.87;0;108.65;21.44;-10664.72
774.08;1;51.11;29.7;-9283.38
778.45;1;140.21;29.48;-9390.22
781.74;0;258.64;25.25;-10719.61
782.91;1;157.43;29.52;-9399.64
785.99;0;395.99;25.06;-10725.44
787.04;1;241.17;25.22;-9723.61
790.28;0;148.7;24.92;-10790.28
791.49;1;188.72;25.26;-9823.77
794.79;0;794.79;25.3;-10826.15
795.41;1;21.49;21.1;-9042.38
797.46;2;184.75;61.12;-8722.1
798.99;0;798.99;25.08;-10838.99
799.41;1;344.14;20.68;-10244.66
801.68;2;801.68;151.38;-9549.47
803.72;0;141.09;21.69;-10865.39
803.77;1;86.18;20.7;-10487.87
805.72;2;185.44;10.73;-11627.61
807.79;0;608.24;21.59;-10966.59
807.88;1;448.83;20.72;-10869.05
812.32;1;285.27;20.75;-10878.59
814.51;0;814.51;136.05;-9811.32
816.44;1;250.39;20.73;-10980.86
820.71;1;183.12;20.96;-11389.99
822.59;0;822.59;348.45;-9267.95
827.02;2;827.02;827.02;-8991.93
830.93;0;830.93;35.94;-9636.91
831.06;1;193.82;155.83;-9590.08
831.06;2;831.06;113.47;-10018.44
