#TimeStamp;Runtime;Requests
0.88;0;6
3.55;0;1
4.85;0;1
5.94;0;1
7.03;0;3
8.12;0;2
10.06;0;1
11.06;0;1
12.11;0;1
13.15;0;1
14.29;0;1
17.53;0;1
20;0;1
22.63;0;1
24.28;0;1
27.28;0;1
29.05;0;1
30.46;0;1
31.55;0;1
32.64;0;2
35.46;0;2
36.76;0;1
38.1;0;1
39.23;0;1
40.23;0;1
41.26;0;1
42.27;0;1
43.31;0;2
44.31;0;2
45.4;0;1
46.45;0;1
47.49;0;1
48.54;0;1
49.58;0;1
50.62;0;2
51.67;0;1
54.75;0;1
56.55;0;1
58.7;0;1
62.92;0;1
67.75;0;1
72.25;0;1
74.38;0;1
79.22;0;1
94.93;0;1
104.6;0;1
113.91;0;1
115.31;0;1
122.74;0;1
125.41;0;1
126.46;0;1
132.67;0;1
134.75;0;1
136.13;0;2
138.18;0;1
139.26;0;1
140.92;0;1
143.01;0;1
148.43;0;1
149.51;0;1
151.97;0;1
153.97;0;1
157.48;0;1
158.57;0;1
166.89;0;1
170.34;0;1
171.44;0;1
173.55;0;1
174.64;0;1
175.73;0;1
177.91;0;1
181.47;0;1
183.72;0;1
184.98;0;1
186.31;0;1
187.65;0;1
188.73;0;1
193.98;0;1
197.11;0;1
198.16;0;1
199.44;0;1
200.78;0;1
201.87;0;1
204.83;0;1
205.92;0;1
206.92;0;1
207.96;0;1
209;0;1
210.04;0;2
211.09;0;1
212.13;0;2
213.18;0;2
214.22;0;3
216.05;0;1
217.72;0;1
219.77;0;1
221.89;0;1
228.18;0;1
231.11;0;1
233.74;0;1
236.41;0;1
237.7;0;1
238.72;0;1
241.24;0;1
248.89;0;1
250.08;0;1
251.24;0;1
254.51;0;1
258.87;0;1
259.91;0;1
261.23;0;1
262.43;0;2
267.26;0;1
273.27;0;1
274.6;0;1
276.69;0;1
280;0;1
283.48;0;1
284.57;0;1
287.04;0;1
289.41;0;1
290.49;0;1
297.95;0;1
300.62;0;1
301.94;0;1
302.95;0;1
305.44;0;1
308.93;0;1
310;0;1
311.58;0;1
313.77;0;1
315.73;0;1
317.94;0;1
322.42;0;1
327.22;0;1
328.39;0;1
329.84;0;1
332.39;0;1
333.56;0;1
336.39;0;1
337.7;0;1
339.11;0;1
343.1;0;1
344.56;0;1
350.54;0;1
351.57;0;1
352.86;0;1
354.86;0;1
355.95;0;1
359.7;0;1
360.7;0;2
363.37;0;1
364.37;0;1
