#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;108.81;0.03;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
60;109.77;0.18;PP/0,TA/0.13,IS/0,PS/0.04,RB/0,OB/0.01,RP/0
119.86;108.14;0.27;PP/0.01,TA/0.19,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
179.94;107.54;0.38;PP/0.01,TA/0.25,IS/0,PS/0.13,RB/0,OB/0.02,RP/0
239.96;107.52;0.45;PP/0.02,TA/0.28,IS/0,PS/0.14,RB/0,OB/0.03,RP/0
299.95;107.52;0.56;PP/0.02,TA/0.3,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
359.6;107.52;0.67;PP/0.03,TA/0.32,IS/0,PS/0.16,RB/0,OB/0.09,RP/0
419.95;107.46;0.74;PP/0.03,TA/0.34,IS/0,PS/0.16,RB/0,OB/0.1,RP/0
479.75;107.11;0.8;PP/0.03,TA/0.36,IS/0,PS/0.17,RB/0,OB/0.11,RP/0
539.93;106.86;0.86;PP/0.04,TA/0.38,IS/0,PS/0.17,RB/0,OB/0.11,RP/0
599.61;106.69;0.9;PP/0.04,TA/0.39,IS/0,PS/0.18,RB/0,OB/0.12,RP/0
659.91;106.64;0.94;PP/0.04,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.12,RP/0
719.86;106.47;0.98;PP/0.05,TA/0.41,IS/0,PS/0.19,RB/0,OB/0.13,RP/0
779.7;106.32;1.01;PP/0.05,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.13,RP/0
839.89;106.18;1.05;PP/0.05,TA/0.42,IS/0,PS/0.19,RB/0,OB/0.14,RP/0
899.91;106.07;1.08;PP/0.06,TA/0.43,IS/0,PS/0.19,RB/0,OB/0.14,RP/0
959.73;105.93;1.12;PP/0.06,TA/0.44,IS/0,PS/0.2,RB/0,OB/0.14,RP/0
1019.66;105.77;1.18;PP/0.06,TA/0.47,IS/0,PS/0.2,RB/0,OB/0.15,RP/0
1079.94;105.62;1.22;PP/0.06,TA/0.47,IS/0,PS/0.21,RB/0,OB/0.15,RP/0
1139.94;105.48;1.28;PP/0.07,TA/0.5,IS/0,PS/0.21,RB/0,OB/0.16,RP/0
1199.59;105.38;1.3;PP/0.07,TA/0.5,IS/0,PS/0.22,RB/0,OB/0.16,RP/0
1259.6;105.36;1.35;PP/0.08,TA/0.52,IS/0,PS/0.22,RB/0,OB/0.16,RP/0
1319.62;105.36;1.38;PP/0.09,TA/0.52,IS/0,PS/0.22,RB/0,OB/0.16,RP/0
1379.99;105.36;1.43;PP/0.1,TA/0.53,IS/0,PS/0.22,RB/0,OB/0.17,RP/0
1439.99;105.36;1.47;PP/0.1,TA/0.54,IS/0,PS/0.23,RB/0,OB/0.17,RP/0
1499.68;105.36;1.5;PP/0.11,TA/0.55,IS/0,PS/0.23,RB/0,OB/0.17,RP/0
1559.89;105.36;1.53;PP/0.11,TA/0.55,IS/0,PS/0.24,RB/0,OB/0.17,RP/0
1619.76;105.36;1.57;PP/0.11,TA/0.56,IS/0,PS/0.24,RB/0,OB/0.18,RP/0
1679.92;105.36;1.61;PP/0.12,TA/0.57,IS/0,PS/0.24,RB/0,OB/0.18,RP/0
1739.76;105.36;1.65;PP/0.12,TA/0.58,IS/0,PS/0.24,RB/0,OB/0.18,RP/0
1799.98;105.24;1.68;PP/0.14,TA/0.59,IS/0,PS/0.24,RB/0,OB/0.18,RP/0
