#TimeStamp;TripTime;Type
35;24;O
38;11;O
38;14;O
41;27;O
80;26;O
81;31;O
163;31;O
177;17;O
189;24;O
225;15;O
247;11;O
269;22;O
272;23;O
274;13;O
352;24;O
365;28;O
396;19;O
417;20;O
419;16;O
429;20;O
484;16;O
485;17;O
503;15;O
557;24;O
558;19;O
567;13;O
573;22;O
638;29;O
667;25;O
699;20;O
706;32;O
710;26;O
743;22;O
754;23;O
788;20;O
794;23;O
817;22;O
863;15;O
878;21;O
882;17;O
907;11;O
922;19;O
941;18;O
962;20;O
987;19;O
999;31;O
1010;24;O
1027;18;O
1094;19;O
1105;30;O
1109;12;O
1162;33;O
1162;17;O
1172;26;O
1188;21;O
1198;17;O
1206;18;O
1242;12;O
1257;25;O
1261;28;O
1280;30;O
1296;26;O
1301;31;O
1336;16;O
1355;7;O
1363;16;O
1369;22;O
1413;32;O
1426;34;O
1435;42;O
1473;19;O
1477;22;O
1519;29;O
1527;12;O
1545;99;O
1564;23;O
1570;25;O
1598;16;O
1603;29;O
1614;19;O
1642;14;O
1669;19;O
1672;24;O
1695;24;O
1699;29;O
1712;23;O
1744;16;O
1763;20;O
1781;17;O
1791;23;O
1793;24;O
