#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.83;0;0;1;3;0/59.83;0/43.63,1/48.16,2/47.87;0/59.83;0/59.83,1/59.83,2/59.83;0/0;0/5,1/9,2/7;0/0;0/17,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/5,1/4,2/4
119.78;0;2;1;3;0/119.78;0/52.68,1/57.95,2/55.82;0/119.78;0/119.78,1/119.78,2/119.78;0/0;0/7,1/10,2/8;0/0;0/17,1/20,2/15;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/0;0/0;0/18,1/17,2/18
179.77;0;3;1;3;0/179.77;0/56.27,1/62.2,2/73.69;0/179.77;0/179.77,1/179.77,2/179.77;0/0;0/7,1/10,2/10;0/0;0/17,1/16,2/17;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/33,1/31,2/28
239.74;0;6;1;3;0/239.74;0/62.99,1/76.43,2/97.42;0/239.74;0/239.74,1/239.74,2/239.74;0/0;0/5,1/13,2/7;0/0;0/12,1/18,2/12;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/47,1/43,2/38
299.97;0;10;1;3;0/299.97;0/69.7,1/110.25,2/106.7;0/299.97;0/299.97,1/299.97,2/299.97;0/0;0/7,1/8,2/6;0/0;0/14,1/21,2/12;0/0;0/2,1/2,2/2;0/0;0/3,1/4,2/3;0/0;0/61,1/50,2/51
359.84;0;12;1;3;0/359.84;0/76.03,1/114.12,2/116.01;0/359.84;0/359.84,1/359.84,2/359.84;0/0;0/11,1/9,2/10;0/0;0/16,1/14,2/13;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/75,1/65,2/64
419.96;0;15;1;3;0/419.96;0/90.18,1/134.32,2/144.25;0/419.96;0/419.96,1/419.96,2/419.96;0/0;0/10,1/8,2/8;0/0;0/17,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/87,1/75,2/73
479.63;0;17;1;3;0/479.63;0/94.73,1/158.59,2/153.17;0/479.63;0/479.63,1/479.63,2/479.63;0/0;0/8,1/6,2/12;0/0;0/14,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/5,1/6,2/6;0/0;0/101,1/85,2/86
539.63;0;19;1;3;0/539.63;0/104.52,1/165.17,2/156.59;0/539.63;0/539.63,1/539.63,2/539.63;0/0;0/10,1/12,2/8;0/0;0/17,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/6,1/7,2/6;0/0;0/114,1/99,2/101
599.91;0;22;1;3;0/599.91;0/140.3,1/207.67,2/162.18;0/599.91;0/599.91,1/599.91,2/599.91;0/0;0/7,1/6,2/8;0/0;0/14,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/7,1/8,2/7;0/0;0/121,1/103,2/115
