#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.5
59.81;200;200;0;53.93;0;59.81;0;0.5
119.99;200;200;0;93.24;0;119.99;0;0.49
179.59;200;200;0;98.62;0;169.46;0;0.38
239.99;200;200;0;120.18;0;221.26;0;0.43
299.79;200;200;0;148.35;0;264.49;0;0.38
359.92;200;200;0;149.27;0;271.55;0;0.53
419.72;200;200;0;158.29;0;301.78;0;0.35
479.7;200;200;0;175.41;0;343.24;0;0.43
539.82;200;200;0;195.56;0;452.85;0;0.44
599.89;200;200;0;209.53;0;461.27;0;0.46
659.91;200;200;0;247.45;0;531.1;0;0.41
720;200;200;0;267.14;0;559.8;0;0.37
779.8;200;200;0;280.27;0;516.89;0;0.41
839.95;200;200;0;315.14;0;642.8;0;0.41
899.73;200;200;0;310.64;0;681.76;0;0.48
959.62;200;186;0;323.86;0;781.9;0;0.47
1019.87;200;175;0;319.42;0;775.68;0;0.47
1079.77;200;162;0;346.45;0;861.35;0;0.45
1139.97;200;158;0;358.04;0;823.72;0;0.59
1199.64;200;136;0;370.11;0;803.95;0;0.55
1259.88;200;127;0;424.06;0;1129.79;0;0.54
1319.68;200;110;0;437.1;0;1114.87;0;0.43
1379.85;200;97;0;445.82;0;1236.02;0;0.52
1439.86;200;74;0;451.75;0;1317.4;0;0.36
1499.86;200;71;0;462.64;0;1338.26;0;0.43
1559.75;200;66;0;434.43;0;1377.17;0;0.47
1619.95;200;57;0;424.58;0;1432.4;0;0.53
1679.87;200;45;0;455.18;0;1466.69;0;0.52
1739.96;200;39;0;488.64;0;1516.64;0;0.54
1799.77;200;27;0;489.72;0;1512.26;0;0.55
