#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;1
5.01;0;1
6.39;0;1
7.48;0;2
9.26;0;1
10.34;0;1
11.34;0;1
12.39;0;1
13.4;0;2
14.44;0;1
15.49;0;1
16.53;0;2
17.57;0;2
18.62;0;1
19.66;0;1
20.66;0;2
21.71;0;2
22.75;0;1
24.16;0;2
25.24;0;2
27.39;0;1
28.43;0;1
30.96;0;1
32.05;0;3
33.05;0;1
34.05;0;1
35.55;0;1
37.6;0;1
38.93;0;1
39.94;0;1
43.23;0;1
48.07;0;1
51.86;0;1
55.11;0;1
59.94;0;1
61.15;0;1
64.15;0;1
65.24;0;1
68.04;0;1
103.41;0;1
109.92;0;1
112.25;0;1
114.92;0;1
119.43;0;1
125.17;0;1
126.71;0;1
127.8;0;1
129.68;0;1
132.97;0;1
135.55;0;1
138.3;0;1
139.52;0;1
140.76;0;1
147.92;0;1
149.01;0;1
152.71;0;1
153.77;0;2
156.44;0;1
161.28;0;1
162.86;0;1
164.25;0;1
169.05;0;1
170.11;0;1
172.55;0;1
173.57;0;2
174.95;0;1
177.25;0;1
182.4;0;1
183.81;0;1
185.07;0;1
186.41;0;1
187.7;0;1
193.92;0;1
195.24;0;1
197.79;0;1
200.04;0;1
206.87;0;1
210.04;0;1
211.09;0;1
214.39;0;1
215.84;0;1
220.56;0;1
224.46;0;1
226;0;1
227.04;0;1
228.05;0;1
229.14;0;1
230.84;0;1
231.88;0;1
234.34;0;1
235.94;0;1
248.27;0;1
249.6;0;1
250.74;0;1
252.11;0;1
256.71;0;1
260.91;0;1
263.02;0;1
266.27;0;1
267.55;0;1
271.07;0;1
273.27;0;1
274.36;0;1
277.67;0;1
278.67;0;2
279.71;0;1
280.76;0;1
281.8;0;1
282.84;0;1
283.89;0;1
284.93;0;1
285.98;0;1
287.02;0;1
288.07;0;1
289.11;0;1
290.15;0;2
291.2;0;1
292.78;0;1
293.82;0;2
295.82;0;1
297.07;0;1
302.95;0;1
304.99;0;1
307.33;0;1
308.52;0;1
310.73;0;1
311.82;0;1
314.84;0;1
315.91;0;1
317.96;0;2
319.28;0;1
321.3;0;1
322.78;0;1
325.46;0;1
327.94;0;1
330.92;0;1
332.2;0;1
334.87;0;1
335.91;0;2
337.09;0;1
339.18;0;1
340.42;0;2
342.03;0;1
343.7;0;1
345.26;0;1
349.92;0;1
350.92;0;1
352.39;0;1
358.59;0;1
363.09;0;1
364.88;0;1
368.88;0;1
372.59;0;1
380.23;0;1
381.31;0;1
382.65;0;1
383.95;0;1
386.81;0;1
390.31;0;1
392.12;0;1
395.5;0;1
396.85;0;1
403.62;0;1
406.34;0;1
407.43;0;1
411.6;0;1
416.61;0;1
419.44;0;1
425.89;0;1
429.19;0;1
434.69;0;1
437.31;0;1
438.4;0;1
439.49;0;1
440.58;0;1
441.67;0;1
447.24;0;1
449.74;0;1
450.92;0;1
452.1;0;1
453.36;0;1
462.03;0;1
465.33;0;1
466.45;0;1
469.34;0;1
473.5;0;1
475.61;0;1
476.84;0;1
482.08;0;1
483.31;0;1
486.45;0;1
492.15;0;1
493.74;0;1
495.28;0;1
496.4;0;1
497.6;0;1
498.95;0;2
503.54;0;1
507.51;0;1
508.58;0;1
509.67;0;1
511.25;0;1
512.29;0;1
513.43;0;2
516.93;0;1
519.13;0;1
521.22;0;2
522.46;0;1
526.35;0;1
529.69;0;1
530.72;0;1
531.78;0;1
535.6;0;1
540;0;1
544.85;0;1
547.18;0;1
549.89;0;1
550.98;0;1
553.5;0;1
554.69;0;1
556.73;0;1
560.86;0;1
563.75;0;1
567.72;0;1
569.11;0;1
570.14;0;1
578.26;0;1
581.21;0;1
589.1;0;1
591.3;0;1
592.71;0;1
596.21;0;1
599.27;0;1
602.97;0;1
609.41;0;1
612.24;0;1
613.26;0;1
615.93;0;1
620.1;0;1
626.17;0;1
631.63;0;1
632.66;0;1
634.1;0;1
636.14;0;1
637.23;0;1
638.59;0;1
639.63;0;1
640.93;0;1
642.09;0;1
643.39;0;1
644.46;0;1
645.85;0;1
646.93;0;1
648.32;0;1
649.39;0;1
650.51;0;3
651.85;0;1
653.01;0;1
654.32;0;1
655.48;0;1
656.55;0;1
657.94;0;1
659.01;0;1
660.03;0;1
661.06;0;1
662.08;0;1
663.08;0;2
664.12;0;1
665.12;0;2
666.21;0;2
667.22;0;2
668.25;0;1
669.3;0;2
670.34;0;1
671.39;0;2
672.43;0;1
673.48;0;1
674.65;0;1
676.15;0;1
677.96;0;1
679.15;0;3
680.3;0;1
681.82;0;1
682.92;0;2
685.25;0;1
686.42;0;1
687.42;0;1
688.47;0;2
689.86;0;1
691.38;0;1
692.64;0;1
693.72;0;2
694.9;0;1
695.96;0;1
698.4;0;1
699.46;0;1
702.94;0;1
705.61;0;1
707.76;0;1
708.95;0;2
711.62;0;1
712.71;0;1
713.8;0;1
715.09;0;1
716.32;0;1
717.55;0;1
721.16;0;1
722.46;0;1
724.88;0;1
726.14;0;1
727.25;0;1
728.33;0;1
729.42;0;1
