#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;109.14;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.99;108.72;0.11;PP/0,TA/0.07,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.97;107.77;0.22;PP/0,TA/0.15,IS/0,PS/0.08,RB/0,OB/0.01,RP/0
179.83;107.64;0.33;PP/0.01,TA/0.23,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
239.65;107.64;0.39;PP/0.01,TA/0.24,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
299.63;107.64;0.43;PP/0.01,TA/0.26,IS/0,PS/0.12,RB/0,OB/0.02,RP/0
359.71;107.25;0.47;PP/0.02,TA/0.27,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
419.99;107.13;0.52;PP/0.02,TA/0.3,IS/0,PS/0.13,RB/0,OB/0.03,RP/0
479.72;107.12;0.55;PP/0.02,TA/0.31,IS/0,PS/0.13,RB/0,OB/0.04,RP/0
540;106.95;0.58;PP/0.02,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.04,RP/0
599.95;106.77;0.61;PP/0.02,TA/0.32,IS/0,PS/0.14,RB/0,OB/0.05,RP/0
659.94;106.75;0.65;PP/0.03,TA/0.33,IS/0,PS/0.15,RB/0,OB/0.05,RP/0
719.71;106.75;0.69;PP/0.03,TA/0.34,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
779.78;106.75;0.72;PP/0.03,TA/0.35,IS/0,PS/0.15,RB/0,OB/0.06,RP/0
839.99;106.39;0.76;PP/0.03,TA/0.36,IS/0,PS/0.16,RB/0,OB/0.06,RP/0
899.66;106.12;0.79;PP/0.04,TA/0.37,IS/0,PS/0.16,RB/0,OB/0.07,RP/0
959.86;105.96;0.82;PP/0.04,TA/0.37,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1019.88;105.83;0.85;PP/0.04,TA/0.38,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1079.97;105.83;0.87;PP/0.04,TA/0.39,IS/0,PS/0.17,RB/0,OB/0.07,RP/0
1139.62;105.83;0.9;PP/0.05,TA/0.4,IS/0,PS/0.17,RB/0,OB/0.08,RP/0
1199.97;105.83;0.93;PP/0.05,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1259.93;105.83;0.95;PP/0.05,TA/0.4,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1319.77;105.83;0.97;PP/0.05,TA/0.41,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1379.96;105.83;1;PP/0.06,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1439.9;105.83;1.02;PP/0.06,TA/0.42,IS/0,PS/0.18,RB/0,OB/0.08,RP/0
1499.81;105.64;1.05;PP/0.06,TA/0.43,IS/0,PS/0.18,RB/0,OB/0.09,RP/0
1559.88;105.5;1.07;PP/0.07,TA/0.43,IS/0,PS/0.18,RB/0,OB/0.09,RP/0
1619.73;105.46;1.09;PP/0.07,TA/0.43,IS/0,PS/0.19,RB/0,OB/0.09,RP/0
1679.96;105.46;1.11;PP/0.07,TA/0.44,IS/0,PS/0.19,RB/0,OB/0.09,RP/0
1739.93;105.45;1.13;PP/0.07,TA/0.44,IS/0,PS/0.19,RB/0,OB/0.09,RP/0
1800;105.45;1.15;PP/0.08,TA/0.45,IS/0,PS/0.19,RB/0,OB/0.09,RP/0
