#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.71;0;0;1;3;0/59.71;0/44.65,1/59.71,2/49.46;0/59.71;0/59.71,1/59.71,2/59.71;0/0;0/2,1/7,2/9;0/0;0/14,1/16,2/18;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/0,2/3
119.98;0;1;1;3;0/119.98;0/53.2,1/64.21,2/55.4;0/119.98;0/119.98,1/119.98,2/119.98;0/0;0/3,1/7,2/14;0/0;0/16,1/12,2/20;0/0;0/2,1/2,2/2;0/0;0/1,1/0,2/0;0/0;0/18,1/15,2/18
179.85;0;4;1;3;0/179.85;0/58.92,1/71.4,2/69.39;0/179.85;0/179.85,1/179.85,2/179.85;0/0;0/9,1/6,2/9;0/0;0/21,1/13,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/1,2/1;0/0;0/32,1/29,2/29
239.91;0;7;1;3;0/239.91;0/64.32,1/84.11,2/96.75;0/239.91;0/239.91,1/239.91,2/239.91;0/0;0/6,1/8,2/8;0/0;0/17,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/3,1/2,2/2;0/0;0/46,1/41,2/38
299.84;0;9;1;3;0/299.84;0/67.63,1/127.98,2/104.7;0/299.84;0/299.84,1/299.84,2/299.84;0/0;0/5,1/7,2/11;0/0;0/14,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/3,1/3,2/3;0/0;0/61,1/45,2/52
359.84;0;12;1;3;0/359.84;0/73.69,1/133.39,2/123.04;0/359.84;0/359.84,1/359.84,2/359.84;0/0;0/6,1/10,2/6;0/0;0/14,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/75,1/59,2/62
419.76;0;14;1;3;0/419.76;0/83.39,1/159.39,2/127.36;0/419.76;0/419.76,1/419.76,2/419.76;0/0;0/5,1/8,2/7;0/0;0/12,1/17,2/12;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/4;0/0;0/89,1/68,2/77
479.89;0;17;1;3;0/479.89;0/89.49,1/187.51,2/134.52;0/479.89;0/479.89,1/479.89,2/479.89;0/0;0/6,1/7,2/9;0/0;0/13,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/5;0/0;0/102,1/76,2/90
539.97;0;19;1;3;0/539.97;0/101.34,1/191.79,2/156.26;0/539.97;0/539.97,1/539.97,2/539.97;0/0;0/5,1/7,2/7;0/0;0/13,1/11,2/11;0/0;0/2,1/2,2/2;0/0;0/7,1/6,2/6;0/0;0/115,1/91,2/100
599.62;0;22;1;3;0/599.62;0/111.67,1/199.54,2/162.69;0/599.62;0/599.62,1/599.62,2/599.62;0/0;0/6,1/7,2/6;0/0;0/19,1/13,2/12;0/0;0/2,1/2,2/2;0/0;0/8,1/7,2/7;0/0;0/128,1/105,2/114
659.97;0;24;1;3;0/659.97;0/116.1,1/220.36,2/193.68;0/659.97;0/659.97,1/659.97,2/659.97;0/0;0/7,1/6,2/5;0/0;0/16,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/142,1/115,2/122
719.9;0;26;1;3;0/719.9;0/122.56,1/228.68,2/199.83;0/719.9;0/719.9,1/719.9,2/719.9;0/0;0/6,1/11,2/6;0/0;0/16,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/8;0/0;0/156,1/129,2/136
779.96;0;28;1;3;0/779.96;0/130.21,1/262.63,2/205.49;0/779.96;0/779.96,1/779.96,2/779.96;0/0;0/7,1/5,2/7;0/0;0/14,1/15,2/11;0/0;0/2,1/2,2/2;0/0;0/10,1/9,2/9;0/0;0/170,1/135,2/150
839.97;0;31;1;3;0/839.97;0/159.77,1/276.32,2/239.55;0/839.97;0/839.97,1/839.97,2/839.97;0/0;0/6,1/5,2/5;0/0;0/13,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/10;0/0;0/178,1/147,2/157
899.74;0;34;1;3;0/899.74;0/166.99,1/281.88,2/246.27;0/899.74;0/899.74,1/899.74,2/899.74;0/0;0/10,1/7,2/9;0/0;0/19,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/11;0/0;0/192,1/162,2/171
959.94;0;36;1;3;0/959.94;0/182.66,1/294.37,2/281.35;0/959.94;0/959.94,1/959.94,2/959.94;0/0;0/7,1/5,2/7;0/0;0/14,1/16,2/11;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/203,1/174,2/178
1019.71;0;39;1;3;0/1019.71;0/191.54,1/303.33,2/300.65;0/1019.71;0/1019.71,1/1019.71,2/1019.71;0/0;0/9,1/6,2/12;0/0;0/17,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/13,1/13,2/13;0/0;0/217,1/188,2/188
1079.8;0;41;1;3;0/1079.8;0/205.91,1/310.07,2/341.83;0/1079.8;0/1079.8,1/1079.8,2/1079.8;0/0;0/10,1/10,2/11;0/0;0/13,1/18,2/15;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/14;0/0;0/228,1/201,2/194
1139.74;0;44;1;3;0/1139.74;0/243.13,1/316.08,2/355.65;0/1139.74;0/1139.74,1/1139.74,2/1139.74;0/0;0/8,1/7,2/16;0/0;0/14,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/15;0/0;0/235,1/216,2/205
1199.99;0;46;1;3;0/1199.99;0/253.78,1/342.26,2/415.9;0/1199.99;0/1199.99,1/1199.99,2/1199.99;0/0;0/8,1/10,2/11;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/16,1/15,2/15;0/0;0/247,1/224,2/205
1259.81;0;50;1;3;0/1259.81;0/283.43,1/384.05,2/437.28;0/1259.81;0/1259.81,1/1259.81,2/1259.81;0/0;0/6,1/6,2/14;0/0;0/12,1/17,2/18;0/0;0/2,1/2,2/2;0/0;0/17,1/16,2/17;0/0;0/255,1/229,2/215
1320;0;52;1;3;0/1320;0/305.64,1/389.4,2/493.56;0/1320;0/1320,1/1320,2/1320;0/0;0/7,1/7,2/13;0/0;0/15,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/18,1/16,2/18;0/0;0/265,1/243,2/216
1379.67;0;55;1;3;0/1379.67;0/315.56,1/395.48,2/533.84;0/1379.67;0/1379.67,1/1379.67,2/1379.67;0/0;0/7,1/11,2/12;0/0;0/14,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/19,1/17,2/19;0/0;0/278,1/257,2/221
1440;0;58;1;3;0/1440;0/342.19,1/432.9,2/541.84;0/1440;0/1440,1/1440,2/1440;0/0;0/5,1/7,2/14;0/0;0/15,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/20,1/18,2/20;0/0;0/287,1/263,2/235
1499.9;0;62;1;3;0/1499.9;0/348.34,1/444.03,2/591.55;0/1499.9;0/1499.9,1/1499.9,2/1499.9;0/0;0/9,1/12,2/14;0/0;0/18,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/21,1/19,2/22;0/0;0/301,1/276,2/237
1559.8;0;66;1;3;0/1559.8;0/361.87,1/488.09,2/642.25;0/1559.8;0/1559.8,1/1559.8,2/1559.8;0/0;0/7,1/13,2/13;0/0;0/12,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/22,1/20,2/24;0/0;0/313,1/280,2/240
1619.98;0;70;1;3;0/1619.98;0/391.7,1/536.6,2/680.46;0/1619.98;0/1619.98,1/1619.98,2/1619.98;0/0;0/17,1/14,2/12;0/0;0/19,1/17,2/15;0/0;0/2,1/2,2/2;0/0;0/23,1/22,2/25;0/0;0/320,1/283,2/245
1679.71;0;75;1;3;0/1679.71;0/443.63,1/577.11,2/713.78;0/1679.71;0/1679.71,1/1679.71,2/1679.71;0/0;0/18,1/15,2/13;0/0;0/19,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/24,1/24,2/27;0/0;0/322,1/288,2/252
1739.93;0;80;1;3;0/1739.93;0/500.25,1/631.97,2/754.76;0/1739.93;0/1739.93,1/1739.93,2/1739.93;0/0;0/18,1/15,2/16;0/0;0/20,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/25,1/26,2/29;0/0;0/323,1/290,2/257
1799.76;0;84;1;3;0/1799.76;0/552.66,1/682.24,2/799.74;0/1799.76;0/1799.76,1/1799.76,2/1799.76;0/0;0/16,1/17,2/11;0/0;0/20,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/27,1/27,2/30;0/0;0/325,1/292,2/261
