#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.72;0;0;1;3;0/59.72;0/45.24,1/59.72,2/49.72;0/59.72;0/59.72,1/59.72,2/59.72;0/0;0/6,1/8,2/8;0/0;0/16,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/4,1/0,2/3
119.97;0;2;1;3;0/119.97;0/48.15,1/70.58,2/56.73;0/119.97;0/119.97,1/119.97,2/119.97;0/0;0/6,1/9,2/11;0/0;0/14,1/16,2/23;0/0;0/2,1/2,2/2;0/0;0/0,1/1,2/1;0/0;0/19,1/14,2/17
179.61;0;3;1;3;0/179.61;0/54.91,1/75.5,2/59.27;0/179.61;0/179.61,1/179.61,2/179.61;0/0;0/5,1/7,2/8;0/0;0/14,1/16,2/14;0/0;0/2,1/2,2/2;0/0;0/1,1/1,2/1;0/0;0/33,1/27,2/32
239.63;0;6;1;3;0/239.63;0/60.55,1/82.04,2/64.74;0/239.63;0/239.63,1/239.63,2/239.63;0/0;0/6,1/3,2/9;0/0;0/20,1/12,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/2,2/2;0/0;0/47,1/42,2/46
299.98;0;8;1;3;0/299.98;0/68.98,1/88.55,2/81.51;0/299.98;0/299.98,1/299.98,2/299.98;0/0;0/10,1/3,2/9;0/0;0/22,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/3;0/0;0/60,1/56,2/57
359.94;0;11;1;3;0/359.94;0/75.79,1/94.88,2/87.91;0/359.94;0/359.94,1/359.94,2/359.94;0/0;0/8,1/2,2/10;0/0;0/15,1/18,2/18;0/0;0/2,1/2,2/2;0/0;0/3,1/4,2/4;0/0;0/74,1/70,2/71
419.81;0;12;1;3;0/419.81;0/82.17,1/97.72,2/91.8;0/419.81;0/419.81,1/419.81,2/419.81;0/0;0/11,1/7,2/9;0/0;0/18,1/19,2/20;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/4;0/0;0/88,1/84,2/85
479.97;0;15;1;3;0/479.97;0/87.89,1/103.09,2/104.58;0/479.97;0/479.97,1/479.97,2/479.97;0/0;0/10,1/5,2/6;0/0;0/16,1/13,2/15;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/5;0/0;0/102,1/99,2/98
539.89;0;18;1;3;0/539.89;0/94.03,1/111.79,2/111.25;0/539.89;0/539.89,1/539.89,2/539.89;0/0;0/14,1/6,2/10;0/0;0/18,1/18,2/19;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/6;0/0;0/116,1/112,2/112
599.62;0;21;1;3;0/599.62;0/119.3,1/124.03,2/116.22;0/599.62;0/599.62,1/599.62,2/599.62;0/0;0/12,1/3,2/8;0/0;0/15,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/7;0/0;0/125,1/125,2/126
659.99;0;24;1;3;0/659.99;0/127.29,1/134.03,2/129.72;0/659.99;0/659.99,1/659.99,2/659.99;0/0;0/10,1/3,2/8;0/0;0/16,1/17,2/14;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/8;0/0;0/139,1/138,2/138
719.88;0;27;1;3;0/719.88;0/136.98,1/140.25,2/144.51;0/719.88;0/719.88,1/719.88,2/719.88;0/0;0/9,1/7,2/7;0/0;0/17,1/18,2/14;0/0;0/2,1/2,2/2;0/0;0/9,1/9,2/9;0/0;0/152,1/152,2/150
779.92;0;30;1;3;0/779.92;0/142.83,1/160.68,2/152.27;0/779.92;0/779.92,1/779.92,2/779.92;0/0;0/9,1/5,2/14;0/0;0/16,1/20,2/18;0/0;0/2,1/2,2/2;0/0;0/10,1/10,2/10;0/0;0/166,1/162,2/164
839.98;0;33;1;3;0/839.98;0/150.12,1/167.03,2/173.95;0/839.98;0/839.98,1/839.98,2/839.98;0/0;0/13,1/3,2/8;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/11,1/11,2/11;0/0;0/180,1/176,2/174
899.82;0;36;1;3;0/899.82;0/194.23,1/171.72,2/181.73;0/899.82;0/899.82,1/899.82,2/899.82;0/0;0/8,1/4,2/10;0/0;0/14,1/18,2/21;0/0;0/2,1/2,2/2;0/0;0/12,1/12,2/12;0/0;0/184,1/190,2/188
959.59;0;37;1;3;0/959.59;0/201.84,1/176.15,2/185.98;0/959.59;0/959.59,1/959.59,2/959.59;0/0;0/11,1/7,2/10;0/0;0/12,1/19,2/17;0/0;0/2,1/2,2/2;0/0;0/13,1/12,2/12;0/0;0/198,1/205,2/202
1019.65;0;40;1;3;0/1019.65;0/248.14,1/186,2/197.81;0/1019.65;0/1019.65,1/1019.65,2/1019.65;0/0;0/8,1/6,2/12;0/0;0/13,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/13;0/0;0/201,1/218,2/214
1079.99;0;43;1;3;0/1079.99;0/254.02,1/192.06,2/234.34;0/1079.99;0/1079.99,1/1079.99,2/1079.99;0/0;0/11,1/4,2/9;0/0;0/13,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/14;0/0;0/215,1/232,2/221
1139.81;0;46;1;3;0/1139.81;0/297.74,1/198.86,2/256.99;0/1139.81;0/1139.81,1/1139.81,2/1139.81;0/0;0/10,1/6,2/15;0/0;0/13,1/12,2/18;0/0;0/2,1/2,2/2;0/0;0/16,1/15,2/15;0/0;0/219,1/246,2/230
1199.81;0;50;1;3;0/1199.81;0/310.26,1/204.65,2/289.75;0/1199.81;0/1199.81,1/1199.81,2/1199.81;0/0;0/9,1/7,2/10;0/0;0/12,1/11,2/15;0/0;0/2,1/2,2/2;0/0;0/17,1/16,2/17;0/0;0/232,1/260,2/238
1259.9;0;52;1;3;0/1259.9;0/343.75,1/227.31,2/323.21;0/1259.9;0/1259.9,1/1259.9,2/1259.9;0/0;0/7,1/10,2/9;0/0;0/12,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/18,1/17,2/17;0/0;0/238,1/270,2/244
1319.74;0;55;1;3;0/1319.74;0/390.92,1/244.79,2/330.36;0/1319.74;0/1319.74,1/1319.74,2/1319.74;0/0;0/7,1/5,2/15;0/0;0/13,1/14,2/20;0/0;0/2,1/2,2/2;0/0;0/19,1/18,2/18;0/0;0/242,1/281,2/258
1379.97;0;58;1;3;0/1379.97;0/398.16,1/259.33,2/362.82;0/1379.97;0/1379.97,1/1379.97,2/1379.97;0/0;0/7,1/15,2/15;0/0;0/12,1/15,2/17;0/0;0/2,1/2,2/2;0/0;0/20,1/19,2/19;0/0;0/256,1/292,2/265
1439.96;0;63;1;3;0/1439.96;0/412.83,1/314.8,2/405.12;0/1439.96;0/1439.96,1/1439.96,2/1439.96;0/0;0/11,1/14,2/15;0/0;0/11,1/14,2/17;0/0;0/2,1/2,2/2;0/0;0/21,1/21,2/21;0/0;0/268,1/294,2/270
1499.75;0;65;1;3;0/1499.75;0/469.27,1/367.48,2/455.75;0/1499.75;0/1499.75,1/1499.75,2/1499.75;0/0;0/8,1/15,2/12;0/0;0/12,1/18,2/17;0/0;0/2,1/2,2/2;0/0;0/21,1/22,2/22;0/0;0/268,1/295,2/272
1559.8;0;71;1;3;0/1559.8;0/498.86,1/411.85,2/479.18;0/1559.8;0/1559.8,1/1559.8,2/1559.8;0/0;0/9,1/16,2/13;0/0;0/13,1/18,2/16;0/0;0/2,1/2,2/2;0/0;0/23,1/24,2/24;0/0;0/276,1/299,2/282
1619.77;0;75;1;3;0/1619.77;0/530.45,1/463.96,2/514.26;0/1619.77;0/1619.77,1/1619.77,2/1619.77;0/0;0/10,1/18,2/12;0/0;0/13,1/19,2/16;0/0;0/2,1/2,2/2;0/0;0/25,1/25,2/25;0/0;0/284,1/301,2/288
1679.96;0;79;1;3;0/1679.96;0/562.67,1/516.5,2/554.43;0/1679.96;0/1679.96,1/1679.96,2/1679.96;0/0;0/11,1/18,2/13;0/0;0/14,1/20,2/14;0/0;0/2,1/2,2/2;0/0;0/26,1/27,2/26;0/0;0/291,1/303,2/294
1739.93;0;83;1;3;0/1739.93;0/609.68,1/568.88,2/606.09;0/1739.93;0/1739.93,1/1739.93,2/1739.93;0/0;0/7,1/21,2/10;0/0;0/15,1/22,2/14;0/0;0/2,1/2,2/2;0/0;0/27,1/28,2/28;0/0;0/294,1/305,2/296
1799.86;0;88;1;3;0/1799.86;0/643.39,1/624.85,2/639.62;0/1799.86;0/1799.86,1/1799.86,2/1799.86;0/0;0/8,1/18,2/12;0/0;0/12,1/22,2/16;0/0;0/2,1/2,2/2;0/0;0/29,1/30,2/29;0/0;0/301,1/307,2/302
