#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
49.54;1;49.54;49.54;-9613.44
52.53;2;52.53;52.53;-9663.56
60.92;2;60.92;60.92;-9765.28
61.9;0;61.9;61.9;-8837.94
65.29;2;65.29;15.71;-10065.24
66.59;0;66.59;66.59;-9277.22
69.1;2;69.1;16.53;-10206.88
73.55;2;73.55;12.56;-10381.29
74.98;0;74.98;74.98;-9172.03
77.55;2;77.55;12.14;-10475.88
79.22;0;79.22;79.22;-9222.24
81.99;2;81.99;12.49;-10612.61
83.48;0;33.89;22.49;-9411.51
86;2;86;12.32;-11002.96
87.89;0;87.89;25.65;-9903.47
90.35;2;90.35;12.62;-11583.47
92.06;0;92.06;25.43;-9911.78
94.79;2;94.79;12.76;-11967.52
96.47;0;96.47;21.38;-9928.47
97.76;1;97.76;97.76;-9314.51
98.98;2;98.98;12.8;-12122.65
100.9;0;100.9;21.39;-9955.47
103.4;2;103.4;13.02;-12312.8
105.32;0;105.32;21.77;-9967.78
107.82;2;107.82;12.99;-12314.5
109.52;0;109.52;21.55;-10064.8
112.2;2;112.2;13.11;-12686.28
114.13;0;114.13;21.76;-10178.28
116.68;1;116.68;67.1;-9362.14
118.59;0;23.76;21.8;-10362.87
120.44;2;12.51;12.22;-12096.04
120.73;1;120.73;120.73;-9358.7
122.66;0;122.66;21.72;-10799.87
128.61;2;128.61;128.61;-9557.63
128.95;1;76.38;16.71;-9314.99
130.93;0;130.93;25.57;-10918.72
132.74;2;132.74;132.74;-9697.78
133.07;1;70.82;16.2;-9547.25
135;0;135;25.22;-11218.05
137.1;1;27.32;16.19;-9859.53
139;0;26.75;24.8;-11724.85
140.95;1;140.95;11.96;-9900.75
143;0;22.08;22.04;-10995.92
144.77;2;144.77;16.12;-11532.2
145;1;145;11.76;-10327.11
149.8;0;149.8;149.8;-9189.53
152.89;2;19.65;19.61;-10752.77
170.03;0;170.03;24.67;-11728.62
176.52;1;176.52;78.71;-11537.44
180.46;1;180.46;180.46;-9453.57
188.54;1;188.54;43.17;-9837.26
192.43;1;192.43;15.87;-10478.86
197.01;1;197.01;20.45;-10194.52
197.68;2;197.68;197.68;-9621.27
201.44;1;201.44;20.81;-10653.31
202.1;2;202.1;69.19;-9820.12
205.85;1;205.85;17.06;-10916.33
210.48;1;40.4;17.64;-11257.03
210.53;2;210.53;13.27;-12601.5
214.73;1;214.73;17.47;-11406.21
219.15;1;219.15;17.47;-11420.68
223.2;1;20.86;17.1;-10273.3
224.62;0;224.62;224.62;-9165.22
226.38;2;226.38;226.38;-9584.9
227.2;1;227.2;16.67;-11818.84
228.38;0;228.38;97.4;-8542.48
230.4;2;230.4;77.41;-11378.7
234.99;1;6.25;6.21;-11916.74
235.33;0;235.33;235.33;-8858.53
246.16;1;246.16;246.16;-9212.63
250.74;2;250.74;35.97;-9592.77
255.12;2;255.12;28.39;-11172.02
258.23;1;258.23;34.98;-10386.76
259.41;2;259.41;28.63;-12363.13
270.28;1;270.28;24.02;-10172.33
274.41;1;173.47;28.14;-9562.09
277.33;2;277.33;277.33;-9560.89
278.55;1;278.55;20.23;-10211.46
282.84;1;282.84;12.48;-10246.29
286.64;1;110.08;12.19;-10274.77
290.64;1;290.64;11.77;-10306.94
294.93;1;162.02;12.02;-10376.93
297.56;2;72.89;27.19;-8976.94
299.02;1;299.02;12.06;-10424.33
299.44;0;299.44;74.77;-10584.75
301.48;2;301.48;24.1;-10104.59
302.98;1;216.81;11.98;-10488.26
303.6;0;303.6;303.6;-8915.01
305.65;2;305.65;7.85;-10199.54
306.9;1;306.9;11.85;-10693.29
307.65;0;307.65;172.6;-10003.38
309.69;2;309.69;7.85;-10339.47
310.94;1;310.94;11.85;-10712.79
311.69;0;311.69;16.64;-10146.88
