#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
51.22;0;51.22;51.22;-9250.24
55.16;0;55.16;55.16;-9284.16
59.02;0;59.02;7.69;-9982.69
63.48;0;63.48;12.15;-9962.32
63.48;2;63.48;63.48;-9652.61
67.57;0;67.57;12.19;-10105.68
71.91;2;71.91;71.91;-9733.18
76.08;0;76.08;16.66;-10121.14
76.08;2;76.08;16.66;-8892.42
78.61;1;78.61;78.61;-9339.91
80.42;0;80.42;16.9;-10275.68
80.42;2;80.42;16.9;-10036.06
83.05;1;83.05;83.05;-9579.93
84.57;0;84.57;16.63;-10289.31
84.57;2;84.57;12.62;-10653.86
87.2;1;87.2;19.26;-10239.62
89.01;0;89.01;12.86;-10555.91
89.01;2;89.01;12.86;-10999.95
91.2;1;91.2;12.54;-10275.06
93.08;0;93.08;12.52;-10578.2
93.08;2;93.08;12.52;-11048.9
95.62;1;16.96;12.52;-10122.5
97.5;0;97.5;12.88;-10603.43
97.5;2;97.5;12.88;-12324.83
100.04;1;100.04;12.79;-10430.55
101.97;0;38.45;12.91;-11236.69
106.01;0;106.01;12.86;-11305.08
107.32;1;107.32;107.32;-9296.76
110.54;0;110.54;12.96;-11450.62
111.32;1;111.32;111.32;-9300.96
113.27;2;113.27;113.27;-9664.55
115.4;1;115.4;115.4;-9552.87
117.36;0;117.36;117.36;-8782.48
123.62;1;123.62;27.84;-10333.59
125.34;2;125.34;125.34;-9705.18
125.61;0;125.61;125.61;-9218.2
132.07;1;132.07;31.87;-10377.89
136.12;1;136.12;29.68;-9867.73
137.47;2;137.47;39.89;-9644.26
138.07;0;138.07;31.64;-11003.07
140.2;1;140.2;32.69;-9884.74
141.63;2;141.63;30.77;-8691
144.25;1;144.25;32.7;-9928.84
145.98;2;39.54;32.66;-9762.24
148.22;1;41.79;32.63;-10335.13
150.04;2;150.04;24.66;-9980.48
150.18;0;150.18;36.87;-9906.19
152.22;1;152.22;28.57;-10591.58
153.9;2;153.9;16.29;-10318.21
154.38;0;154.38;36.79;-10138.03
156.27;1;156.27;24.15;-11196.78
158.21;2;158.21;16.54;-10347.28
158.26;0;158.26;32.61;-10284.35
160.46;1;160.46;24.3;-11460.48
162.35;2;62.15;16.26;-10567.15
162.47;0;162.47;24.35;-10327.54
164.51;1;53.66;24.27;-11722.19
166.24;2;73.08;16.1;-11318.89
166.51;0;166.51;16.29;-10857.22
168.56;1;55.25;24.24;-11941.95
170.39;2;72.81;16.21;-11843.31
170.56;0;170.56;16.13;-10877.85
174.37;2;19.95;16.11;-9861.91
174.6;0;174.6;16.13;-11074.57
178.29;2;80.72;15.82;-11923.88
178.65;0;178.65;16.13;-11942.07
193.67;2;193.67;193.67;-9644.56
195.26;1;195.26;195.26;-9437.04
197.68;0;90.17;86.82;-10573.24
199.55;1;199.55;43.09;-10891.94
201.75;2;51.53;27.15;-8931.37
201.83;0;201.83;201.83;-8892.03
205.75;2;205.75;27.11;-10121.33
207.47;1;207.47;38.87;-10331
209.8;0;209.8;39.2;-10592.04
209.8;2;209.8;16.02;-11094.78
213.91;0;59.73;39.27;-11762.13
213.91;2;213.91;20.13;-11750.87
217.97;0;47.37;24.19;-9738.97
217.97;2;217.97;16.14;-11825.87
222.17;2;141.6;16.3;-12229.48
230.25;0;28.38;28.34;-11539
230.43;2;12.42;12;-9662.01
240.6;1;240.6;240.6;-9218.18
242.23;2;104.11;71.67;-10655
246.18;2;246.18;246.18;-9565.09
252.9;1;189.38;12.05;-10388.31
257.11;1;168.06;16.27;-10322.17
261.26;1;261.26;8.32;-10462.09
265.2;1;265.2;8.01;-10589.55
269.22;1;98.66;7.92;-11366.05
269.39;0;269.39;269.39;-8824.47
273.36;1;273.36;8.01;-11478.18
277.53;0;277.53;277.53;-9112.31
277.53;1;81.91;8.14;-11815.04
289.37;1;289.37;289.37;-9344.66
289.83;0;90.17;71.82;-9928.6
292.82;2;177.23;74.81;-10149.03
296.97;2;132.41;83.01;-10451.69
301.12;2;301.12;11.7;-10780.05
301.79;1;301.79;12.37;-9703.24
305.21;2;305.21;12.26;-11406.88
306.01;1;145.5;16.6;-9336.66
310.25;1;310.25;8.42;-10118.4
314.82;1;314.82;8.57;-10238.61
317.58;0;317.58;317.58;-8701.64
318.75;1;150.15;8.26;-10718.81
321.37;0;179.7;107.42;-9740.75
322;2;165.54;75.44;-8930.92
323;1;190.88;8.13;-10931.17
325.79;0;325.79;10.93;-12006.82
327.55;1;22.3;8.64;-10956.11
331.67;1;331.67;8.34;-11095.47
334.54;2;334.54;16.82;-10821.24
336.01;1;161.36;8.26;-11112.44
338.52;2;338.52;16.18;-10913.09
340.45;1;281.03;8.65;-11192.28
344.28;1;130.32;8.22;-11451.91
348.95;1;10.27;8.45;-10068.57
353.28;1;353.28;8.71;-11683.28
357.66;1;357.66;8.67;-11829.83
362.23;1;362.23;8.83;-12260.32
363.41;2;363.41;363.41;-9462.79
369.45;1;369.45;173.83;-11286.06
373.24;1;373.24;373.24;-9106.19
381.4;1;179.48;19.13;-9685.63
385.45;1;116.06;15.85;-10223.86
389.75;1;26.15;20.15;-9391.32
389.8;0;389.8;211.1;-9553.56
397.55;1;15.86;15.82;-11302.01
397.89;0;397.89;72.05;-8929.27
401.89;0;317.27;20.2;-9182.99
406.38;0;313.23;16.54;-9833.01
410.67;0;327.57;12.63;-9903.46
411.05;2;411.05;72.37;-10264.14
415.12;0;415.12;12.91;-10233.56
419.28;0;419.28;12.65;-10229.88
423.28;0;423.28;12.23;-10250.74
423.28;2;78.71;16.65;-9068.4
427.25;1;91.19;45.56;-9079.37
427.92;2;150.06;16.76;-11202.55
431.09;1;431.09;41.29;-10605.94
431.83;0;431.83;16.66;-10333.07
435.83;0;435.83;16.51;-10444.31
439.8;1;439.8;20.48;-10015.04
440.42;0;355.8;16.84;-10574.08
443.68;1;384.26;16.38;-10408.69
444.42;0;444.42;12.42;-10861.65
448.39;1;66.66;16.98;-10422.92
448.64;0;448.64;12.6;-11115.28
453.26;0;401.93;12.8;-12011.1
454.49;2;454.49;454.49;-9300.03
457.68;0;406.35;13.1;-12216.49
462.11;0;394.17;13.1;-12783
462.69;2;172.62;99.09;-9443.73
469.95;0;227.65;200.51;-9191.15
471.06;2;51.74;17.63;-10847.63
475.45;2;153.11;20.85;-11567.67
476.73;1;476.73;316.23;-9595.37
477.96;0;299.26;276.09;-10370.09
481.11;1;228.17;203.25;-9534.15
494.12;0;494.12;31.85;-11029.74
498.54;0;91.91;28.47;-9833.76
500.42;2;500.42;72.42;-9590.12
502.67;0;104.83;32.61;-9035.46
506.73;0;70.68;28.62;-11577.46
508.58;2;180.84;37.15;-10110.49
514.71;0;14.01;13.96;-11169.93
515.95;1;515.95;308.24;-9835.2
520.46;1;520.46;122.61;-11193.5
520.5;2;65.91;21.89;-10253.92
524.46;1;398.8;47.68;-9501.45
528.71;2;528.71;28.01;-10800.84
529.34;0;529.34;239.27;-10347.16
532.99;2;26.22;24.21;-9189.51
533.34;0;243.93;211.58;-8631.85
537.19;2;22.37;16.33;-10537.02
541.56;2;139.34;12.65;-10982.09
541.63;0;347.84;43.02;-10373.61
544.18;1;162.49;62.98;-12035.68
545.4;2;16.49;12.1;-10103.67
548.29;1;116.29;99.85;-8190.24
549.64;0;121.65;20.74;-10121.76
549.64;2;20.07;12.31;-10863.63
553.57;0;183.97;23.99;-10922.27
553.57;2;553.57;11.94;-11152.44
556.24;1;102.81;40.2;-11278.65
557.7;0;56.96;24.08;-10945.37
557.7;2;557.7;12.03;-11488.34
561.72;0;150.67;20.05;-11135.22
561.72;2;383.07;12.01;-12109.91
565.82;0;196.22;16.11;-11797.35
568.09;1;39.19;26.47;-11095.22
569.89;0;71.28;16.13;-12581.39
572.6;1;47.74;28.3;-11153.98
576.45;2;576.45;576.45;-9242.51
580.58;2;22.78;18.73;-12056.33
584.72;2;144.25;12.04;-9507.3
586.11;0;586.11;128.26;-10200.25
588.75;2;262.92;12.2;-9773.72
590.19;0;590.19;83.42;-11357.06
592.43;2;592.43;11.8;-9813.64
596.85;2;596.85;12.09;-9833.6
598.61;0;598.61;13.85;-9729.66
600.6;2;91.81;11.79;-10179.18
604.26;1;604.26;160.26;-9523.45
604.64;2;294.15;11.79;-10324.07
608.64;2;23.88;11.75;-10560.05
612.62;1;612.62;15.72;-11803.59
612.82;2;612.82;11.88;-10806.82
616.92;2;193.34;11.94;-11161.22
621.04;2;621.04;12.01;-11277.61
625;2;276.01;11.93;-11285.36
629.09;2;56.42;11.97;-11366.04
633.05;2;48.29;11.89;-11979.68
637.29;2;275.02;12.09;-12192.8
645.26;2;352.31;344.1;-10203.67
648.44;0;229.12;78.5;-9604.63
654.25;1;330.92;133.75;-9940.75
656.76;0;656.76;656.76;-8590.25
661.3;0;442.87;70.7;-8952.4
661.39;2;498.87;24.05;-11239.74
662.39;1;662.39;106;-9189.99
665.06;0;524.82;66.21;-9104.11
665.68;2;665.68;20.34;-9792.89
669.27;0;669.27;23.93;-9505.05
670.06;2;495.45;24.72;-9775.63
670.94;1;281.14;58.28;-12480.16
673.61;0;275.57;24.86;-9634.02
674.54;2;578.76;13.1;-10034.3
674.72;1;530.4;20.43;-9956.37
677.49;0;23.19;20.47;-8883.65
678.54;2;484.76;12.81;-10154.67
679.23;1;679.23;24.93;-9916.79
681.86;0;44.52;20.51;-9993.36
682.86;2;682.86;12.71;-10265.53
683.56;1;683.56;20.84;-10133.11
686.27;0;367.36;20.88;-10512.96
687.35;2;529.1;12.77;-10425.92
687.98;1;447.13;17;-10413.77
690.6;0;690.6;21.01;-10680.65
691.57;2;233.72;12.84;-10718.03
692.31;1;79.65;17.28;-10498.13
695.02;0;106.22;21.37;-11857.48
696.19;2;696.19;13.05;-10980.78
696.82;1;544.41;17.37;-10941.74
699.44;0;237.17;21.74;-11980.85
700.46;2;588.92;12.91;-11199.26
701.15;1;131.21;17.34;-11032.65
704.99;2;95.96;13.09;-11445.66
705.57;1;705.57;17.34;-11367.71
709.61;1;261.17;17.05;-12448.14
716.33;1;154.48;147.86;-9768.73
720.53;1;720.53;147.86;-10061.56
722.67;0;311.51;160.82;-8893.04
724.46;2;127.57;91.17;-9880.43
724.58;1;724.58;724.58;-8960.86
732.58;1;732.58;26.76;-9458.61
735.04;0;735.04;735.04;-8483.56
739.5;0;739.5;53.11;-9358.4
744.38;2;194.67;27.85;-9874.94
747.6;0;277.54;52.53;-10552.35
748.43;2;206.8;23.9;-10303.72
751.87;0;751.87;52.38;-10857.23
752.5;2;186.6;7.88;-11554.08
755.66;0;54.94;35.09;-12235.41
760;0;105.7;37;-13450.25
768.34;1;768.34;51.81;-9075.18
772.56;1;483.15;47.94;-9195.64
772.81;2;302.74;67.66;-11576.65
777.03;2;536.19;534.73;-8166.01
785.78;2;164.62;33.07;-9376.56
790.02;2;291.41;21.64;-10297.39
794.43;2;193.49;21.42;-11037.76
794.69;1;794.69;630.13;-9512.93
798.54;2;93.39;21.11;-12006.92
799.17;1;283.12;66.46;-10188.89
805.38;0;473.58;290.56;-8813.84
807.48;1;123.67;34.67;-9406.75
809.48;0;508.32;118.83;-10321.67
821.41;0;821.41;15.88;-11608.3
832.2;2;832.2;832.2;-8854.04
840.63;2;409.22;50.36;-10094.67
842.16;0;842.16;564.3;-9324.83
844.78;2;149.71;50.09;-10944.17
848.67;1;174.09;49.46;-9689.21
849.11;2;80.72;16.86;-9747.37
852.8;1;239.73;142.89;-8714.17
853.06;2;207.72;20.82;-9143.08
857.29;2;324;16.62;-9783.81
861.64;2;138.64;16.81;-10785.92
865.62;2;117.65;16.37;-10783.87
870;2;16.94;16.71;-9923.16
874.22;2;20.92;16.5;-9042.96
875.09;1;716.62;173.69;-9103.98
878.43;2;122.37;16.61;-11029.6
882.3;2;50.06;16.44;-11071.71
887.13;1;640.57;34.07;-10507.6
887.67;0;887.67;131.62;-9468.16
891.55;1;573.84;17.29;-9991.97
892.18;0;892.18;70.49;-10795.82
896.55;0;217.11;136.46;-9566.79
898.97;2;11.72;11.3;-11069.51
905.97;2;196.06;107.18;-11072.32
908.98;0;336.31;21.73;-10135.6
910.02;2;348.17;209.29;-9909.75
