#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;1
4.85;0;2
6.18;0;1
7.27;0;2
8.34;0;1
9.74;0;1
11.88;0;1
12.97;0;1
14.35;0;3
16.47;0;3
17.47;0;2
18.51;0;1
19.51;0;1
20.6;0;2
21.69;0;1
23.01;0;1
24.06;0;1
25.1;0;1
26.9;0;1
27.99;0;1
29.06;0;1
30.42;0;1
31.51;0;1
32.78;0;1
34.06;0;3
35.64;0;1
36.73;0;1
37.78;0;1
38.89;0;1
39.98;0;2
43.28;0;1
44.65;0;2
46.03;0;1
50.44;0;1
54.07;0;1
55.36;0;1
57.41;0;1
58.54;0;1
60.9;0;1
61.96;0;2
66.8;0;1
106.95;0;1
108.32;0;1
115.78;0;1
117.12;0;1
118.21;0;1
119.54;0;1
125.96;0;1
128.5;0;1
129.63;0;2
130.72;0;1
132.14;0;1
133.38;0;1
137.55;0;1
139.77;0;1
141.01;0;1
142.6;0;1
145.72;0;1
149.26;0;1
150.42;0;1
151.72;0;1
153.77;0;1
155.05;0;1
156.1;0;1
157.72;0;1
159.6;0;1
165.14;0;1
166.43;0;1
167.61;0;1
168.94;0;1
175.18;0;1
179.11;0;1
182.61;0;1
184.02;0;1
192.08;0;1
197.01;0;1
200.91;0;1
203.96;0;1
207.18;0;1
214.1;0;1
217.43;0;1
218.76;0;1
219.93;0;1
224.81;0;1
228.06;0;1
229.35;0;1
231.49;0;1
234.11;0;1
235.2;0;1
238.7;0;1
239.72;0;1
241.72;0;1
242.81;0;1
245.22;0;1
246.24;0;1
255.75;0;1
257.07;0;1
259.7;0;1
262.63;0;1
267.21;0;2
269.87;0;1
270.96;0;1
280;0;1
281.13;0;1
282.46;0;1
283.8;0;1
285.34;0;1
289.96;0;1
291.21;0;1
292.59;0;2
300;0;1
301.38;0;2
302.7;0;1
304.01;0;2
305.5;0;1
307.06;0;1
309;0;1
311.51;0;2
312.95;0;1
313.97;0;1
315.06;0;1
316.43;0;1
319.23;0;1
320.6;0;1
322.77;0;1
327.56;0;1
330.44;0;1
331.64;0;1
332.9;0;2
334.11;0;1
335.45;0;1
336.48;0;2
339.98;0;1
341.36;0;1
345.07;0;1
346.19;0;1
347.23;0;1
350.73;0;1
352.57;0;1
370.21;0;1
376.09;0;1
378.25;0;1
379.59;0;1
387.76;0;1
389.98;0;1
392.86;0;1
396.69;0;1
398.01;0;1
399.08;0;1
401.48;0;1
402.62;0;1
406.11;0;1
411.11;0;1
412.2;0;1
413.38;0;1
414.67;0;1
415.74;0;1
418.21;0;1
419.51;0;1
420.53;0;2
422.35;0;1
424.03;0;1
425.04;0;1
428;0;1
429.2;0;1
431.25;0;1
432.45;0;1
433.88;0;1
442.08;0;1
443.34;0;2
445.58;0;1
446.59;0;1
447.62;0;1
454.46;0;1
462.6;0;1
467.52;0;1
470.62;0;1
471.87;0;1
473.91;0;1
480;0;1
486.03;0;1
487.36;0;1
489.36;0;1
492.35;0;1
493.78;0;2
495.02;0;1
497.64;0;1
503.24;0;1
505.27;0;1
506.7;0;1
507.75;0;1
509.14;0;1
510.33;0;1
515.12;0;1
516.21;0;1
519.3;0;2
521.05;0;1
522.21;0;1
523.27;0;2
525.39;0;1
526.7;0;1
527.81;0;1
530.38;0;1
532.2;0;1
535.6;0;1
536.72;0;1
537.88;0;2
540.02;0;1
542.04;0;1
544.72;0;1
547.82;0;1
549.52;0;1
550.61;0;1
551.63;0;2
553.02;0;1
554.05;0;2
560.22;0;1
561.24;0;1
568.3;0;1
573.84;0;1
576.48;0;1
577.97;0;1
579.08;0;1
580.42;0;1
585.26;0;1
586.59;0;1
587.93;0;1
591.01;0;1
592.58;0;1
599.42;0;1
604.13;0;1
607.58;0;1
609.58;0;1
610.72;0;1
612.88;0;1
615.64;0;1
617.55;0;1
618.8;0;1
619.8;0;1
620.8;0;1
621.85;0;1
622.89;0;1
623.94;0;2
624.98;0;1
626.03;0;2
627.07;0;1
629.32;0;2
630.36;0;1
636.16;0;1
640.52;0;1
645.61;0;1
648.37;0;1
650.61;0;1
651.78;0;1
652.79;0;1
653.83;0;2
661.63;0;1
666.66;0;1
670.85;0;1
671.92;0;1
673.96;0;1
675.05;0;1
677.03;0;1
680.52;0;1
681.93;0;1
684.49;0;1
687.16;0;1
689.75;0;1
691.07;0;1
695.44;0;1
696.52;0;1
697.71;0;1
699.92;0;1
701.3;0;1
702.39;0;1
705.38;0;1
707.75;0;1
709.12;0;1
716.83;0;1
719.31;0;1
722.71;0;1
725.29;0;1
726.43;0;2
727.91;0;1
729.93;0;1
738.08;0;1
740;0;1
742.92;0;1
746.42;0;1
749.08;0;1
750.46;0;1
751.55;0;1
757.87;0;1
759.17;0;2
763.3;0;1
765.34;0;1
766.71;0;1
769.42;0;1
772.21;0;1
773.55;0;1
776.02;0;2
778.74;0;1
781.84;0;2
782.84;0;2
785.46;0;1
786.6;0;2
795.39;0;1
796.48;0;1
798.06;0;1
799.15;0;1
800.26;0;1
801.56;0;1
802.63;0;1
806.79;0;1
