#TimeStamp;Bot;Pod;OutputStation
42.77;4;40;0
46.63;4;40;0
50.73;4;40;0
57.42;2;34;0
59.51;3;49;2
61.47;2;34;0
63.84;3;49;2
65.51;2;34;0
66.93;5;13;1
68.26;3;49;2
69.55;2;34;0
71.34;5;13;1
72.63;3;49;2
73.6;2;34;0
75.26;5;13;1
77.05;3;49;2
77.61;2;34;0
79.6;5;13;1
81.47;2;34;0
81.47;3;49;2
85.65;2;34;0
85.65;3;49;2
87.29;0;32;1
89.69;2;34;0
89.69;3;49;2
91.45;0;32;1
93.78;2;34;0
93.78;3;49;2
95.49;0;32;1
97.82;2;34;0
97.82;3;49;2
99.67;0;32;1
101.87;2;34;0
101.87;3;49;2
103.74;0;32;1
105.54;3;49;2
105.91;2;34;0
107.51;0;32;1
109.96;2;34;0
111.89;0;32;1
113.56;1;44;2
113.98;2;34;0
115.97;0;32;1
117.88;1;44;2
117.93;2;34;0
120.06;0;32;1
121.93;1;44;2
121.97;2;34;0
124.46;0;32;1
125.55;1;44;2
128.9;0;32;1
129.32;4;43;0
129.64;1;44;2
133.51;4;43;0
133.97;1;44;2
137.53;4;43;0
138.04;1;44;2
141.57;4;43;0
142.15;1;44;2
145.62;4;43;0
146.2;1;44;2
150.24;1;44;2
154.28;1;44;2
158.33;1;44;2
160.65;5;10;1
164.78;5;10;1
169.23;5;10;1
173.31;5;10;1
177.16;5;10;1
180.98;5;10;1
185.36;5;10;1
189.63;5;10;1
193.99;5;10;1
198.34;5;10;1
202.41;4;40;0
202.41;3;22;2
206.59;3;22;2
210.89;3;22;2
215.27;3;22;2
216.2;0;49;1
217.36;2;14;0
219.11;3;22;2
220.44;0;49;1
221.73;2;14;0
223.24;3;22;2
224.57;0;49;1
225.94;2;14;0
227.28;3;22;2
228.45;0;49;1
229.95;2;14;0
231.28;3;22;2
233.99;2;14;0
234.95;3;22;2
238.41;2;14;0
239.32;3;22;2
242.46;2;14;0
243.74;3;22;2
246.57;2;14;0
248.21;3;22;2
250.79;2;14;0
252.63;3;22;2
255.21;2;14;0
257.07;3;22;2
258.3;5;3;1
259.63;2;14;0
261.53;3;22;2
262.04;5;3;1
263.99;2;14;0
265.95;3;22;2
266.39;5;3;1
267.96;2;14;0
270.03;3;22;2
270.66;5;3;1
271.78;2;14;0
274.08;3;22;2
274.7;5;3;1
278.5;3;22;2
278.96;4;13;0
279.12;5;3;1
283.54;5;3;1
285.5;1;48;2
287.59;5;3;1
289.59;1;48;2
293.63;1;48;2
316.27;0;0;1
320.42;0;0;1
324.66;0;0;1
328.91;0;0;1
333.05;0;0;1
337.09;0;0;1
341.14;0;0;1
342.27;3;25;2
343.38;2;41;0
345.34;0;0;1
346.22;3;25;2
347.55;2;41;0
349.55;0;0;1
350.26;3;25;2
351.47;2;41;0
353.59;0;0;1
354.58;3;25;2
357.63;0;0;1
358.97;3;25;2
361.64;0;0;1
363.01;3;25;2
367.3;3;25;2
369.02;5;1;1
371.34;3;25;2
373.3;5;1;1
375.39;3;25;2
377.36;5;1;1
379.77;3;25;2
381.75;5;1;1
383.83;4;39;0
383.83;3;25;2
385.79;5;1;1
387.85;4;39;0
387.9;3;25;2
389.8;5;1;1
391.94;4;39;0
392.14;3;25;2
393.82;5;1;1
395.9;4;39;0
396.56;3;25;2
400;4;39;0
400.6;3;25;2
403.89;4;39;0
407.64;1;59;2
408.14;4;39;0
411.9;1;59;2
412.47;4;39;0
415.95;1;59;2
416.89;4;39;0
420.16;1;59;2
421.31;4;39;0
424.57;1;59;2
425.36;4;39;0
428.61;1;59;2
429.78;4;39;0
432.57;1;59;2
434.2;4;39;0
436.66;1;59;2
438.62;4;39;0
440.71;1;59;2
443.55;0;20;1
446.24;2;2;0
447.26;0;20;1
450.29;2;2;0
451.64;0;20;1
454.1;2;2;0
456.09;0;20;1
457.77;3;7;2
458.05;2;2;0
460.09;0;20;1
462.05;3;7;2
462.33;2;2;0
464.33;0;20;1
466.18;3;7;2
466.38;2;2;0
468.38;0;20;1
470.38;3;7;2
470.42;2;2;0
472.42;0;20;1
474.35;3;7;2
474.46;2;2;0
476.48;0;20;1
478.42;3;7;2
478.51;2;2;0
480.55;0;20;1
482.17;3;7;2
482.55;2;2;0
484.6;0;20;1
486.51;3;7;2
486.6;2;2;0
488.66;0;20;1
490.6;3;7;2
490.64;2;2;0
493.08;0;20;1
494.64;3;7;2
494.69;2;2;0
497.28;0;20;1
498.69;3;7;2
501.33;0;20;1
502.73;3;7;2
505.37;0;20;1
507.1;3;7;2
507.14;4;38;0
509.5;0;20;1
511;3;7;2
511.5;4;38;0
513.55;0;20;1
515.14;3;7;2
515.55;4;38;0
519.46;3;7;2
519.55;4;38;0
520.13;5;4;1
523.55;4;38;0
524.37;5;4;1
526.26;1;54;2
527.56;4;38;0
528.41;5;4;1
530.41;1;54;2
532.14;5;4;1
534.42;1;54;2
536.46;5;4;1
538.48;1;54;2
540.41;5;4;1
544.1;5;4;1
548.5;5;4;1
552.55;5;4;1
556.59;5;4;1
557.98;2;30;0
560.66;5;4;1
562.15;2;30;0
564.8;5;4;1
566.19;2;30;0
568.85;5;4;1
570.58;2;30;0
572.67;5;4;1
574.65;2;30;0
576.61;5;4;1
578.9;2;30;0
583.32;2;30;0
584.46;0;34;1
587.38;2;30;0
588.71;0;34;1
591.8;2;30;0
596.01;2;30;0
