#TimeStamp;TripTime;Type
35;17;O
40;27;O
49;11;O
49;20;O
62;12;O
79;21;O
137;12;O
145;24;O
178;19;O
178;21;O
188;26;O
242;12;O
249;18;O
273;21;O
276;14;O
304;23;O
316;13;O
348;19;O
361;23;O
378;15;O
415;23;O
424;24;O
454;23;O
470;28;O
510;21;O
534;21;O
555;32;O
555;21;O
561;22;O
579;26;O
602;18;O
636;20;O
638;23;O
672;16;O
677;22;O
700;7;O
740;19;O
769;31;O
782;18;O
799;33;O
804;24;O
829;26;O
837;16;O
901;22;O
939;41;O
943;21;O
968;18;O
976;13;O
977;24;O
1006;22;O
1018;13;O
1048;29;O
1052;15;O
1088;18;O
1108;22;O
1117;25;O
1120;18;O
1142;21;O
1179;18;O
1187;25;O
1207;23;O
1210;22;O
1223;24;O
1245;18;O
1284;30;O
1297;19;O
1304;24;O
1341;30;O
1353;23;O
1362;11;O
1398;14;O
1398;15;O
1400;13;O
1429;13;O
1450;21;O
1471;28;O
1480;26;O
1481;18;O
1512;20;O
1525;24;O
1548;20;O
1567;14;O
1573;16;O
1590;22;O
1592;14;O
1609;18;O
1645;16;O
1657;29;O
1660;21;O
1664;25;O
1682;15;O
1699;25;O
1737;21;O
1758;26;O
1763;14;O
1776;26;O
1777;22;O
1795;24;O
