#TimeStamp;Runtime;Requests
0.88;0;6
3.76;0;2
5.01;0;1
6.1;0;1
7.19;0;3
9.86;0;1
10.93;0;1
12.69;0;1
13.78;0;1
15.36;0;1
18.68;0;1
20.77;0;1
21.9;0;1
23.19;0;1
24.37;0;1
25.61;0;1
26.86;0;1
31.65;0;1
32.95;0;3
34.32;0;1
35.41;0;2
36.46;0;1
37.87;0;1
38.88;0;1
40.63;0;1
41.95;0;1
43.09;0;1
44.62;0;1
45.92;0;1
52.55;0;1
53.8;0;1
54.98;0;1
56.56;0;1
60.01;0;1
64.74;0;2
66.18;0;1
67.74;0;1
72.24;0;1
82.66;0;1
84.75;0;1
92.92;0;1
97.75;0;1
98.93;0;1
107.77;0;1
110.44;0;1
120.69;0;1
123.36;0;1
125.57;0;1
128.86;0;1
129.86;0;1
130.95;0;1
134.41;0;1
137.08;0;1
138.7;0;1
141.12;0;1
142.21;0;1
144.83;0;1
147.33;0;1
148.38;0;1
149.54;0;1
151.39;0;1
152.46;0;1
154.37;0;1
155.43;0;3
159.6;0;1
161.01;0;1
162.27;0;1
164.27;0;1
167.96;0;1
170.01;0;1
171.18;0;1
172.54;0;1
173.73;0;1
175.03;0;1
179.86;0;1
181.12;0;1
182.49;0;1
184.04;0;1
185.23;0;1
186.36;0;1
189.13;0;1
192.21;0;1
199.25;0;1
201.92;0;1
205.46;0;1
206.55;0;1
207.64;0;1
212.48;0;1
217.39;0;1
227.51;0;1
231.4;0;1
244.84;0;1
246.1;0;1
249.26;0;1
251.01;0;1
256.23;0;1
257.54;0;1
258.77;0;1
265.73;0;1
267.73;0;1
268.98;0;1
270.56;0;1
276.37;0;1
277.45;0;1
281.87;0;1
282.96;0;2
285.2;0;1
286.46;0;2
287.46;0;1
288.5;0;2
290.88;0;1
291.97;0;2
296.05;0;1
297.14;0;1
300.04;0;1
301.27;0;1
302.92;0;1
309.4;0;1
310.6;0;1
311.71;0;1
313.07;0;1
315.21;0;1
316.52;0;1
319.17;0;1
320.44;0;1
321.64;0;1
323.91;0;1
327.41;0;1
329.14;0;1
330.67;0;1
333.29;0;1
334.32;0;1
336.37;0;1
337.67;0;1
340.8;0;1
346.96;0;1
349.14;0;1
351.49;0;1
352.51;0;1
354.6;0;1
355.69;0;1
357.06;0;1
359.19;0;1
360.52;0;1
361.66;0;1
367.35;0;1
371.78;0;1
372.82;0;1
374.66;0;1
375.74;0;1
383.41;0;1
386.22;0;1
387.97;0;1
389.71;0;1
390.84;0;1
392.22;0;1
398.34;0;1
400.57;0;1
404.11;0;1
405.85;0;1
410.07;0;1
414.36;0;1
415.61;0;1
417.65;0;1
419.32;0;1
420.35;0;2
422.49;0;1
423.58;0;1
424.62;0;1
426.44;0;1
427.75;0;1
428.84;0;1
429.93;0;1
431.85;0;1
432.99;0;1
439.41;0;1
442.1;0;1
443.24;0;4
444.93;0;1
446.07;0;1
447.16;0;2
448.25;0;1
451.33;0;1
454.42;0;1
456.66;0;1
458.55;0;1
461.45;0;1
462.52;0;2
464.93;0;1
466.22;0;1
468.65;0;1
469.73;0;1
471.31;0;1
472.45;0;1
477.48;0;1
482.81;0;1
483.95;0;1
486.18;0;1
487.45;0;1
492.92;0;1
495.15;0;1
496.51;0;1
499.99;0;1
501.15;0;1
506.76;0;1
509.42;0;1
513.08;0;1
514.21;0;1
516.25;0;1
523.33;0;1
524.43;0;1
526.16;0;1
527.17;0;1
530.33;0;1
533;0;1
534.21;0;1
539.04;0;1
540.79;0;1
541.8;0;1
543.06;0;1
544.3;0;1
550.19;0;1
552.29;0;1
560.99;0;1
562.54;0;1
566.66;0;1
574.49;0;1
577.53;0;1
578.88;0;1
580.92;0;1
583.04;0;1
584.42;0;2
587.23;0;1
588.39;0;1
591.4;0;1
600.57;0;1
601.98;0;1
603.15;0;1
604.56;0;1
607.27;0;1
608.73;0;1
609.77;0;1
613.41;0;1
615.44;0;1
617.08;0;1
618.94;0;1
620;0;1
621.66;0;1
623.66;0;1
625.74;0;1
626.91;0;1
630.15;0;1
631.54;0;1
632.57;0;1
633.65;0;1
637.41;0;1
640.32;0;1
641.63;0;1
642.81;0;2
645.48;0;1
647.94;0;1
650.87;0;1
652.5;0;1
653.79;0;1
654.88;0;1
656.31;0;1
659.92;0;1
661.29;0;1
662.38;0;1
663.96;0;1
664.96;0;1
667.63;0;1
668.97;0;1
672.13;0;1
677.8;0;1
681.05;0;1
682.35;0;1
684.39;0;1
685.64;0;1
689.22;0;1
691.89;0;1
692.94;0;1
697.82;0;1
700.86;0;1
704.89;0;1
706.82;0;1
709.91;0;1
711;0;1
713.04;0;1
714.13;0;1
717.88;0;1
719.63;0;1
722.8;0;1
729.56;0;1
730.72;0;1
731.93;0;1
732.95;0;1
737.12;0;1
743.48;0;1
749.08;0;1
750.15;0;1
751.7;0;1
752.79;0;1
753.84;0;1
756.54;0;1
760.04;0;1
762.3;0;1
765.79;0;1
766.83;0;1
770.33;0;1
773.98;0;1
777.02;0;1
780.15;0;1
782.73;0;1
784.03;0;1
787.26;0;1
790.52;0;1
791.53;0;1
793.43;0;1
796.32;0;1
797.46;0;2
798.46;0;1
799.46;0;1
800.54;0;1
801.54;0;1
802.71;0;2
809.63;0;1
813.05;0;1
814.88;0;1
816.15;0;1
817.18;0;1
818.38;0;1
820.32;0;1
825.09;0;1
826.18;0;1
828.66;0;1
831.43;0;1
832.52;0;1
835.93;0;1
836.98;0;1
838.18;0;1
845.69;0;1
847.02;0;1
848.27;0;1
850.57;0;1
856.15;0;1
857.23;0;1
861.23;0;1
864.48;0;1
874.06;0;1
875.11;0;1
877.31;0;1
879.57;0;1
882.15;0;1
883.53;0;1
885.32;0;1
892.32;0;1
893.41;0;1
898.36;0;1
901.15;0;1
902.83;0;1
903.95;0;1
905.29;0;1
906.45;0;1
907.87;0;2
909.28;0;1
910.79;0;1
911.84;0;1
914.29;0;1
916.12;0;1
918.58;0;1
920.42;0;1
922.71;0;1
923.71;0;1
928.04;0;1
931.22;0;1
932.96;0;1
934.06;0;1
935.19;0;1
936.56;0;1
937.6;0;2
940.03;0;1
941.12;0;1
943.51;0;1
944.85;0;1
945.9;0;1
947.01;0;1
948.15;0;1
951.62;0;1
955.62;0;1
959.65;0;1
960.74;0;1
961.87;0;1
964.59;0;2
965.98;0;1
968.76;0;1
976.31;0;1
977.43;0;1
981.71;0;1
983.04;0;1
984.38;0;1
985.6;0;2
986.62;0;1
989.29;0;2
995.61;0;1
996.7;0;1
997.77;0;1
1000.86;0;2
1003.55;0;1
1005.46;0;1
1006.95;0;1
1008.02;0;1
1009.15;0;1
1011.61;0;1
1015.32;0;2
1019.03;0;1
1028.28;0;1
1029.36;0;2
1030.95;0;1
1034.03;0;1
1035.06;0;1
1038.2;0;1
1040.2;0;1
1042.46;0;1
1043.7;0;1
1045.02;0;1
1047.29;0;1
1049.71;0;1
1051.36;0;1
1052.54;0;1
1055.16;0;1
1056.17;0;1
1059.64;0;1
1065.17;0;1
1066.34;0;1
1067.96;0;1
1069.01;0;2
1072.06;0;1
1073.18;0;1
1074.22;0;1
1078.1;0;2
1081.94;0;1
1082.98;0;1
1084.07;0;1
1085.4;0;1
1086.7;0;1
1087.82;0;1
1089.82;0;1
1090.86;0;1
1092.19;0;1
1096.32;0;1
1097.45;0;1
1098.83;0;1
1100.36;0;1
1101.79;0;1
1103.73;0;1
1104.81;0;1
1110.2;0;1
1111.44;0;1
1112.83;0;2
1113.92;0;2
1117.21;0;1
1118.24;0;1
1119.38;0;1
1122.72;0;1
1125;0;1
1127.03;0;1
1128.89;0;1
1130.17;0;1
1132.97;0;1
1135.67;0;1
1137.05;0;1
1138.3;0;2
1139.6;0;1
1140.73;0;1
