#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;77.07;0.02;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.92;77.07;0.11;PP/0.01,TA/0.06,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.59;76.73;0.34;PP/0.01,TA/0.24,IS/0,PS/0.18,RB/0,OB/0.02,RP/0
179.85;76.65;0.41;PP/0.02,TA/0.29,IS/0,PS/0.18,RB/0,OB/0.02,RP/0
239.58;76.65;0.45;PP/0.02,TA/0.3,IS/0,PS/0.19,RB/0,OB/0.03,RP/0
299.92;76.65;0.49;PP/0.02,TA/0.31,IS/0,PS/0.19,RB/0,OB/0.03,RP/0
359.82;76.65;0.55;PP/0.02,TA/0.34,IS/0,PS/0.19,RB/0,OB/0.04,RP/0
419.82;76.65;0.58;PP/0.03,TA/0.35,IS/0,PS/0.2,RB/0,OB/0.04,RP/0
479.85;76.55;0.62;PP/0.03,TA/0.36,IS/0,PS/0.2,RB/0,OB/0.04,RP/0
539.91;76.24;0.68;PP/0.03,TA/0.39,IS/0,PS/0.2,RB/0,OB/0.04,RP/0
599.73;76.24;0.71;PP/0.03,TA/0.39,IS/0,PS/0.2,RB/0,OB/0.05,RP/0
659.58;76.24;0.75;PP/0.04,TA/0.4,IS/0,PS/0.21,RB/0,OB/0.05,RP/0
719.96;76.01;0.78;PP/0.04,TA/0.41,IS/0,PS/0.21,RB/0,OB/0.05,RP/0
779.9;75.93;0.81;PP/0.04,TA/0.41,IS/0,PS/0.22,RB/0,OB/0.06,RP/0
839.96;75.81;0.88;PP/0.05,TA/0.43,IS/0,PS/0.22,RB/0,OB/0.06,RP/0
899.97;75.81;0.92;PP/0.05,TA/0.45,IS/0,PS/0.22,RB/0,OB/0.07,RP/0
959.96;75.81;0.96;PP/0.05,TA/0.46,IS/0,PS/0.23,RB/0,OB/0.07,RP/0
1019.87;75.7;1.01;PP/0.06,TA/0.47,IS/0,PS/0.24,RB/0,OB/0.08,RP/0
1079.94;75.59;1.05;PP/0.06,TA/0.48,IS/0,PS/0.24,RB/0,OB/0.09,RP/0
1139.96;75.41;1.08;PP/0.06,TA/0.49,IS/0,PS/0.24,RB/0,OB/0.09,RP/0
1199.65;75.35;1.11;PP/0.07,TA/0.49,IS/0,PS/0.25,RB/0,OB/0.09,RP/0
1259.95;75.35;1.14;PP/0.07,TA/0.5,IS/0,PS/0.25,RB/0,OB/0.1,RP/0
1319.9;75.35;1.17;PP/0.07,TA/0.51,IS/0,PS/0.25,RB/0,OB/0.1,RP/0
1379.92;75.35;1.19;PP/0.07,TA/0.51,IS/0,PS/0.25,RB/0,OB/0.1,RP/0
1439.85;75.18;1.22;PP/0.08,TA/0.52,IS/0,PS/0.26,RB/0,OB/0.1,RP/0
1499.94;75.1;1.24;PP/0.08,TA/0.52,IS/0,PS/0.26,RB/0,OB/0.1,RP/0
1559.87;75.1;1.27;PP/0.08,TA/0.52,IS/0,PS/0.26,RB/0,OB/0.1,RP/0
1619.63;75.1;1.3;PP/0.09,TA/0.53,IS/0,PS/0.26,RB/0,OB/0.11,RP/0
1679.85;74.96;1.32;PP/0.09,TA/0.54,IS/0,PS/0.26,RB/0,OB/0.11,RP/0
1739.78;74.78;1.35;PP/0.09,TA/0.54,IS/0,PS/0.26,RB/0,OB/0.11,RP/0
1799.64;74.65;1.37;PP/0.09,TA/0.55,IS/0,PS/0.27,RB/0,OB/0.11,RP/0
