#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/17,1/16,2/16;0/0;0/17,1/16,2/16;0/2;0/2,1/1,2/1;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.97;0;0;1;3;0/59.97;0/49.25,1/45.18,2/59.97;0/59.97;0/59.97,1/59.97,2/59.97;0/0;0/7,1/11,2/11;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/0,1/0,2/0;0/0;0/3,1/4,2/0
119.85;0;2;1;3;0/119.85;0/54.4,1/54.25,2/72.1;0/119.85;0/119.85,1/119.85,2/119.85;0/0;0/7,1/13,2/14;0/0;0/13,1/16,2/15;0/0;0/2,1/2,2/2;0/0;0/0,1/1,2/1;0/0;0/17,1/18,2/13
179.74;0;4;1;3;0/179.74;0/62.69,1/66.35,2/127.66;0/179.74;0/179.74,1/179.74,2/179.74;0/0;0/8,1/7,2/11;0/0;0/16,1/17,2/16;0/0;0/2,1/2,2/2;0/0;0/1,1/2,2/1;0/0;0/31,1/30,2/14
239.92;0;8;1;3;0/239.92;0/106.85,1/76.3,2/139.28;0/239.92;0/239.92,1/239.92,2/239.92;0/0;0/9,1/9,2/11;0/0;0/21,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/2,1/3,2/3;0/0;0/35,1/43,2/27
299.82;0;11;1;3;0/299.82;0/111.87,1/102.4,2/158.8;0/299.82;0/299.82,1/299.82,2/299.82;0/0;0/8,1/6,2/10;0/0;0/16,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/3,1/4,2/4;0/0;0/49,1/52,2/38
359.78;0;13;1;3;0/359.78;0/119.16,1/106.21,2/174.31;0/359.78;0/359.78,1/359.78,2/359.78;0/0;0/8,1/8,2/12;0/0;0/15,1/15,2/16;0/0;0/2,1/2,2/2;0/0;0/4,1/4,2/5;0/0;0/63,1/66,2/49
419.64;0;16;1;3;0/419.64;0/127.62,1/112.68,2/182.98;0/419.64;0/419.64,1/419.64,2/419.64;0/0;0/12,1/10,2/15;0/0;0/15,1/16,2/16;0/0;0/2,1/2,2/2;0/0;0/5,1/5,2/6;0/0;0/77,1/80,2/63
479.87;0;19;1;3;0/479.87;0/157.82,1/142.28,2/233.87;0/479.87;0/479.87,1/479.87,2/479.87;0/0;0/9,1/9,2/11;0/0;0/13,1/13,2/18;0/0;0/2,1/2,2/2;0/0;0/6,1/6,2/7;0/0;0/84,1/88,2/65
539.85;0;22;1;3;0/539.85;0/175.27,1/164.91,2/240.9;0/539.85;0/539.85,1/539.85,2/539.85;0/0;0/15,1/10,2/11;0/0;0/17,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/7,1/7,2/8;0/0;0/95,1/98,2/79
599.9;0;25;1;3;0/599.9;0/213.88,1/193.1,2/256.69;0/599.9;0/599.9,1/599.9,2/599.9;0/0;0/12,1/7,2/14;0/0;0/16,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/8,1/8,2/9;0/0;0/101,1/106,2/90
659.97;0;30;1;3;0/659.97;0/249.02,1/224.88,2/307.02;0/659.97;0/659.97,1/659.97,2/659.97;0/0;0/11,1/9,2/12;0/0;0/14,1/20,2/16;0/0;0/2,1/2,2/2;0/0;0/9,1/10,2/11;0/0;0/107,1/114,2/93
719.96;0;33;1;3;0/719.96;0/289.67,1/228.33,2/347.64;0/719.96;0/719.96,1/719.96,2/719.96;0/0;0/9,1/7,2/11;0/0;0/13,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/11,1/10,2/12;0/0;0/112,1/129,2/98
779.75;0;36;1;3;0/779.75;0/325.57,1/234.35,2/356.16;0/779.75;0/779.75,1/779.75,2/779.75;0/0;0/6,1/8,2/12;0/0;0/12,1/14,2/15;0/0;0/2,1/2,2/2;0/0;0/12,1/11,2/13;0/0;0/119,1/143,2/112
839.82;0;39;1;3;0/839.82;0/332.75,1/239.57,2/385.05;0/839.82;0/839.82,1/839.82,2/839.82;0/0;0/8,1/8,2/10;0/0;0/13,1/12,2/18;0/0;0/2,1/2,2/2;0/0;0/13,1/12,2/14;0/0;0/133,1/157,2/120
899.97;0;42;1;3;0/899.97;0/346.49,1/252.06,2/391.67;0/899.97;0/899.97,1/899.97,2/899.97;0/0;0/6,1/10,2/12;0/0;0/11,1/12,2/15;0/0;0/2,1/2,2/2;0/0;0/14,1/13,2/15;0/0;0/145,1/169,2/134
959.99;0;45;1;3;0/959.99;0/366.3,1/304.2,2/428.79;0/959.99;0/959.99,1/959.99,2/959.99;0/0;0/7,1/10,2/10;0/0;0/12,1/15,2/13;0/0;0/2,1/2,2/2;0/0;0/15,1/14,2/16;0/0;0/155,1/171,2/140
1019.86;0;48;1;3;0/1019.86;0/398.68,1/318.04,2/439.87;0/1019.86;0/1019.86,1/1019.86,2/1019.86;0/0;0/11,1/9,2/11;0/0;0/13,1/14,2/14;0/0;0/2,1/2,2/2;0/0;0/16,1/15,2/17;0/0;0/162,1/184,2/152
1079.61;0;51;1;3;0/1079.61;0/443.26,1/325.32,2/471.61;0/1079.61;0/1079.61,1/1079.61,2/1079.61;0/0;0/12,1/5,2/8;0/0;0/13,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/17,1/16,2/18;0/0;0/166,1/197,2/160
1139.93;0;54;1;3;0/1139.93;0/499.97,1/331.49,2/478.13;0/1139.93;0/1139.93,1/1139.93,2/1139.93;0/0;0/10,1/9,2/9;0/0;0/13,1/16,2/13;0/0;0/2,1/2,2/2;0/0;0/18,1/17,2/19;0/0;0/167,1/211,2/174
1199.93;0;57;1;3;0/1199.93;0/522.2,1/355.83,2/500.76;0/1199.93;0/1199.93,1/1199.93,2/1199.93;0/0;0/10,1/6,2/13;0/0;0/13,1/15,2/15;0/0;0/2,1/2,2/2;0/0;0/19,1/18,2/20;0/0;0/177,1/220,2/183
1259.79;0;60;1;3;0/1259.79;0/551.55,1/389.79,2/528.82;0/1259.79;0/1259.79,1/1259.79,2/1259.79;0/0;0/9,1/7,2/9;0/0;0/13,1/15,2/14;0/0;0/2,1/2,2/2;0/0;0/20,1/19,2/21;0/0;0/185,1/227,2/192
1319.77;0;64;1;3;0/1319.77;0/583.27,1/398.74,2/535.38;0/1319.77;0/1319.77,1/1319.77,2/1319.77;0/0;0/10,1/12,2/11;0/0;0/13,1/12,2/14;0/0;0/2,1/2,2/2;0/0;0/22,1/20,2/22;0/0;0/193,1/240,2/206
1380;0;66;1;3;0/1380;0/621.39,1/452.18,2/577.3;0/1380;0/1380,1/1380,2/1380;0/0;0/9,1/7,2/9;0/0;0/13,1/12,2/12;0/0;0/2,1/2,2/2;0/0;0/22,1/21,2/23;0/0;0/198,1/242,2/210
